1 03145U 68014  B 68250.22994606  .00000117 +10070-7 +99999-4 0  9994
2 03145 036.3068 135.3627 8932281 340.0802 000.5178 00.38780721000162
1 03145U 68014  B 69126.63975488  .00000044 +21802-8 +99999-4 0  9994
2 03145 042.1785 137.1763 8188406 331.6346 001.6872 00.38782218001106
1 03145U 68014  B 69276.20126834 -.00000056 -14213-8 +99999-4 0  9999
2 03145 043.1454 130.5568 7795405 337.9256 001.7547 00.38774280000122
1 03145U 68014  B 69345.82566406 -.00000015 -22232-9 +99999-4 0  9993
2 03145 043.2860 128.6547 7646424 338.6445 001.8771 00.38777250000392
1 03145U 68014  B 70024.66067114  .00000004 +23683-9 +99999-4 0  9990
2 03145 043.2505 125.6281 7529937 342.7270 001.6267 00.38779195000298
1 03145U 68014  B 70024.66090839  .00000004 +23683-9 +99999-4 0  9990
2 03145 043.2505 125.6279 7529415 342.7273 001.6272 00.38779302000295
1 03145U 68014  B 70132.96339358  .00000012 +23683-9 +99999-4 0  9994
2 03145 043.2505 125.0133 7529355 343.4245 001.5602 00.38781144000718
1 03145U 68014  B 70212.89634836  .00000018 +23683-9 +99999-4 0  9990
2 03145 043.2505 124.5596 7529310 343.9391 001.5108 00.38783604001022
1 03145U 68014  B 70225.78829362  .00000019 +23683-9 +99999-4 0  9993
2 03145 043.2505 124.4864 7529284 344.0221 001.5028 00.38783990001077
1 03145U 68014  B 70243.83673452  .00000020 +23683-9 +99999-4 0  9998
2 03145 043.2505 124.3839 7529245 344.1383 001.4917 00.38784672001147
1 03145U 68014  B 70282.51055554  .00000023 +23683-9 +99999-4 0  9996
2 03145 043.2505 124.1645 7529272 344.3873 001.4679 00.38786477001292
1  3145U 68014B   70282.51055554 +.00000465 +00000-0 +00000-0 0  9996
2  3145 043.2505 124.1645 7529272 344.3873 001.4679 00.38786477001292
1  3145U 68014B   70282.51055554 +.00000465 +00000-0 +00000-0 0  9996
2  3145 043.2505 124.1645 7529272 344.3873 001.4679 00.38786477001292
1 03145U 68014B   70282.51055554 +.00000465 +00000-0 +00000-0 0  9996
2 03145 043.2505 124.1645 7529272 344.3873 001.4679 00.38786477001292
1 03145U 68014B   06072.69419618 -.00000232  00000-0  10000-3 0  9993
2 03145 051.9420 131.2749 4925153 043.4710 346.9030 00.38777497 51475
1 03145U 68014B   06080.45833333  .00000000  00000-0  00000+0 0  9997
2 03145 051.9566 131.2847 4936810 043.1031 350.2455 00.38779702 51504
1 03145U 68014B   06083.04166667  .00000000  00000-0  00000+0 0  9994
2 03145 051.9855 131.2831 4942185 043.0939 350.9677 00.38785236 51508
1 03145U 68014B   06085.66666667  .00000000  00000-0  00000+0 0  9999
2 03145 052.0150 131.2949 4954933 043.2064 357.1434 00.38798129 51508
1 03145U 68014B   06088.25000000  .00000000  00000-0  00000+0 0  9990
2 03145 051.9192 131.1857 4961756 043.4791 357.4304 00.38790518 51502
1 03145U 68014B   06090.83333333  .00000000  00000-0  00000+0 0  9995
2 03145 051.8492 131.0934 4960342 043.5316 358.1751 00.38780551 51503
1 03145U 68014B   06090.83333333  .00000000  00000-0  00000+0 0  9995
2 03145 051.8492 131.0934 4960342 043.5316 358.1751 00.38780551 51503
1 03145U 68014B   06093.41666667  .00000000  00000-0  00000+0 0  9991
2 03145 051.8528 131.0703 4964096 043.5454 358.9397 00.38781603 51503
1 03145U 68014B   06095.95833333  .00000000  00000-0  00000+0 0  9998
2 03145 051.8697 131.0685 4969177 043.5792 353.7370 00.38785132 51504
1 03145U 68014B   06098.54166667  .00000000  00000-0  00000+0 0  9995
2 03145 051.8646 131.0521 4974383 043.6745 354.2436 00.38787223 51503
1 03145U 68014B   06101.12500000 +.00000000 +00000-0 +00000-0 0  9998
2 03145 051.8302 131.0057 4977443 043.7997 354.7332 00.38787501051505
1 03145U 68014B   06103.75000000  .00000000  00000-0  00000+0 0  9993
