norad,npts,nfiltered,nremoved,nzones,ierr
  3553, 10502, 10587,   106, 8,0
 18983,  2109,  2164,    59, 8,0
   832,  1288,  1271,    16, 1,0
  8844,  1155,  1154,    17, 8,0
 13112,  1033,  1044,    24, 5,0
 28141,  1029,  1051,    25, 8,0
  2924,   704,   696,    14, 4,0
  8529,   562,   544,    12, 4,0
 19881,   370,   333,    18, 1,0
 32971,   281,   293,    15, 4,0
  5980,   260,   244,    12, 8,0
  6034,   226,   213,     2, 0,0
 21962,   182,   181,     5, 3,0
  6815,   180,   160,     7, 0,0
  6741,   162,   151,     5, 0,0
  4049,   137,   140,     7, 1,0
  5689,   127,   124,     5, 0,0
 24821,    53,    54,     4, 3,0
  5960,    73,    66,     2, 5,0
  5974,    51,    47,     2, 3,0
  5735,    46,    39,     1, 3,0
 23572,    36,    37,     4, 2,0
 23804,    37,    35,     1, 0,0
 14306,    17,    14,     6, 0,0
  5961,    32,    29,     3, 2,0
  9888,    25,    15,     2, 0,0
 19558,    26,    23,     1, 1,0
 32039,     9,     6,     2, 0,0
 18954,    21,    11,     0, 0,0
 24835,     1,     0,     0, 0,0
 24933,     8,     5,     0, 0,0
 21670,    15,     8,     2, 1,0
  5878,    21,    21,     3, 0,0
 24210,     4,     1,     0, 0,0
  6426,    14,    13,     5, 0,0
  5988,   423,   398,    14, 8,0
 14301,    54,    52,     2, 1,0
  9892,  5598,  5680,   104, 8,0
