norad,npts,nfiltered,nremoved,nzones,ierr
    15,     8,     4,     0, 0,0
   170,     3,     0,     0, 0,0
   838,     6,     0,     0, 0,0
   675,     6,     0,     0, 0,0
  1621,    12,     3,     0, 0,0
  2501,    39,    29,     2, 0,0
  4570,   137,   141,    10, 2,0
  3619,   176,   158,    11, 0,0
  7096,     4,     2,     1, 0,0
  5892,     9,     5,     2, 0,0
  5814,     2,     0,     0, 0,0
  5893,    22,    20,     1, 0,0
  5969,    27,    19,     1, 0,0
  4431,   452,   448,     9, 2,0
  3993,0,0,0,0, 2
  8080,   242,   249,    10, 5,0
  9454,     9,     6,     3, 0,0
  9542,    10,     7,     3, 0,0
  2805,   768,   746,     9, 5,0
  6364,     1,     0,     0, 0,0
  9557,     1,     0,     0, 0,0
  7568,0,0,0,0, 2
 11700,     1,     0,     0, 0,0
 10724,   165,   148,     4, 7,0
   830,  1186,  1154,    20, 2,0
 14095,   126,   122,     2, 0,0
 10422,   463,   441,    17, 0,0
 10423,   402,   374,    14, 0,0
 10425,0,0,0,0, 2
 15201,    10,     5,     1, 0,0
  7352,  1479,  1487,    14, 8,0
 20352,   318,   307,    11, 0,0
 28219,0,0,0,0, 2
 28927,0,0,0,0, 2
 28943,    37,    36,     2, 2,0
 28140,  1105,  1131,    29, 8,0
  3145,   646,   636,     3, 0,0
  3138,  1469,  1460,    13, 8,0
 37798,   317,   322,     8, 2,0
 39755,     3,     0,     0, 0,0
 32491,  1081,  1086,    22, 8,0
 42929,     3,     3,     3, 0,0
 42930,     6,     3,     0, 0,0
   879,  2752,  2734,     9, 8,0
 44911,   578,   590,    15, 8,0
 45464,     3,     1,     1, 0,0
 44482,   632,   648,    19, 8,0
 62189,    44,    48,     7, 3,0
 23126,  6622,  6692,    91, 8,0
 26463,  4118,  4149,    37, 8,0
 68539,     1,     0,     0, 0,0
 68541,     1,     0,     0, 0,0
 68538,     9,     8,     2, 0,0
 42908,  3184,  3213,    32, 8,0
