object,zone,nzone,zone_dur_days,e_lo,e_hi,bn_lo,bn_hi,e_opt,bn_opt,rms_fit_reported,rms_interp,rms_direct,ntraj_pts
42928                         , 1, 42,  19.481, 0.315762, 0.324799,  38.6430, 160.0000, 0.321707,  81.1953,    4.4204,    4.4204,   11.5354,  181
42928                         , 2, 48,  19.834, 0.287662, 0.302138,  50.8560, 111.5345, 0.295556, 110.9753,    6.3877,    6.3877,    6.2884,  196
42928                         , 3, 50,  19.961, 0.280294, 0.292528,  35.6864, 126.7041, 0.287835,  74.8837,    1.1550,    1.1550,    7.4265,  200
42928                         , 4, 47,  19.966, 0.273801, 0.285425,  52.1292,  97.6381, 0.280612,  82.7046,    0.9274,    0.9274,    1.9771,  203
42928                         , 5, 50,  19.897, 0.267251, 0.280001,  71.3274,  94.0818, 0.274880,  92.5839,    9.0905,    9.0905,    9.0046,  205
42928                         , 6, 47,  19.892, 0.218105, 0.232924,  65.6388,  99.7704, 0.226768,  99.3324,    4.0440,    4.0440,    3.9598,  225
42928                         , 7, 37,  19.339, 0.123481, 0.153514,  57.1059, 108.3033, 0.140337,  62.7525,    2.2424,    2.2424,    4.2686,  256
42928                         , 8, 39,  13.847, 0.025503, 0.094532,  44.3065, 121.1027, 0.080830, 120.6375,  133.0509,  133.0509,  222.6055,  196
35497                         , 1, 27,  19.674, 0.604630, 0.605414,  29.3155, 160.0000, 0.605222,  67.4689,    1.5400,    1.5400,    6.6697,   82
35497                         , 2, 36,  20.000, 0.601467, 0.602966,  29.3155, 160.0000, 0.602965,  94.9240,   12.3616,   12.3616,   12.3717,   84
35497                         , 3, 30,  19.637, 0.600789, 0.603135,  29.3155, 160.0000, 0.602449,  79.2980,    2.0698,    2.0698,   14.6892,   83
35497                         , 4, 38,  19.488, 0.595611, 0.599960,  29.3155, 160.0000, 0.598157,  80.2672,    2.0514,    2.0514,   23.9312,   84
35497                         , 5, 47,  19.713, 0.574469, 0.587564,  29.3155, 160.0000, 0.582345,  84.1776,    2.3111,    2.3111,   53.3185,   90
35497                         , 6, 35,  18.936, 0.534818, 0.568228,  51.5065, 116.8488, 0.557496, 116.6135,  312.6049,  312.6049,  313.6796,   95
35497                         , 7, 16,  18.720, 0.404739, 0.526679,  35.1710, 133.1843, 0.474087, 132.9032,  250.3151,  250.3151,  252.1890,  121
35497                         , 8, 47,  14.407, 0.046725, 0.462018,  21.8782, 157.6877, 0.356940, 155.8641, 2443.5477, 2443.5477, 2591.1530,   39
37151                         , 1, 43,  19.071, 0.555656, 0.558719,  17.2558, 160.0000, 0.558188,  57.6428,    1.3348,    1.3348,   40.2913,   94
37151                         , 2, 47,  19.817, 0.523476, 0.535807,  17.2558, 160.0000, 0.530443,  53.0143,    1.8234,    1.8234,  101.3497,  107
37151                         , 3, 52,  19.893, 0.510383, 0.520964,  17.7819, 160.0000, 0.516500,  70.4114,    4.6921,    4.6921,   78.4191,  112
37151                         , 4, 46,  19.016, 0.505333, 0.513966,  34.7253, 106.0974, 0.510287,  64.1443,    3.0996,    3.0996,   13.0575,  110
37151                         , 5, 40,  19.702, 0.473331, 0.488958,  46.3013,  81.9873, 0.481318,  46.5496,    9.9099,    9.9099,   10.0596,  124
37151                         , 6, 43,  19.721, 0.405052, 0.427261,  37.3798,  90.9089, 0.416151,  58.7718,   17.4573,   17.4573,   16.2964,  148
37151                         , 7, 41,  19.598, 0.350581, 0.384845,  45.3895,  72.1541, 0.369087,  69.9324,   14.3921,   14.3921,   13.8141,  165
37151                         , 8,  9,   2.258, 0.027525, 0.076531,  38.6984,  78.8452, 0.076509,  76.6827,  423.1379,  423.1379,  434.9634,   20
39615                         , 1, 24,  18.847, 0.541448, 0.565513,  32.6891, 160.0000, 0.553510,  82.6208,   15.7827,   15.7827,   84.1556,   96
39615                         , 2, 33,  19.455, 0.514537, 0.537519,  49.8747, 115.3669, 0.525612,  50.3034,   18.6858,   18.6858,   19.0587,  108
39615                         , 3, 32,  19.908, 0.484794, 0.502579,  33.8370, 131.7399, 0.494180,  60.9513,    6.5226,    6.5226,   47.3553,  121
39615                         , 4, 38,  19.054, 0.475664, 0.491470,  33.5017, 131.7399, 0.483796,  74.1821,    3.4012,    3.4012,   23.2467,  119
39615                         , 5, 43,  19.870, 0.433282, 0.453952,  33.5017, 131.7399, 0.443613,  69.5591,    2.6942,    2.6942,   40.2836,  139
39615                         , 6, 35,  19.197, 0.321948, 0.350801,  44.9995,  94.1187, 0.336552,  47.6895,    0.9735,    0.9735,    4.3819,  174
39615                         , 7, 20,  19.477, 0.281159, 0.321026,  32.7198, 106.3984, 0.301096,  60.3733,    3.9246,    3.9246,   32.9430,  190
39615                         , 8, 37,  13.824, 0.024119, 0.199461,  41.9536,  78.7930, 0.113386,  52.1484,   50.4365,   50.4365,  101.0981,  194
27526                         , 1, 25,  19.606, 0.567679, 0.573921,  24.0931, 160.0000, 0.571213,  72.5103,    3.7088,    3.7088,   40.4090,   93
27526                         , 2, 31,  19.126, 0.491747, 0.504739,  24.0931, 160.0000, 0.498203,  72.0934,   12.9121,   12.9121,   54.8385,  114
27526                         , 3, 32,  19.919, 0.428173, 0.464039,  38.1167, 106.0701, 0.446310,  68.6898,    9.2053,    9.2053,   18.6443,  138
27526                         , 4, 29,  19.943, 0.410108, 0.447121,  51.7014,  85.6782, 0.428742,  79.1125,    4.9301,    4.9301,    5.3571,  145
27526                         , 5, 37,  19.169, 0.391574, 0.427265,  70.6183,  87.6067, 0.409978,  71.9800,    2.6402,    2.6402,    2.5856,  146
27526                         , 6, 33,  19.086, 0.367914, 0.410198,  66.3712,  91.8538, 0.389114,  66.4801,   44.6990,   44.6990,   44.7316,  153
