object,zone,nzone,e_span,bn_span,rms_baseline,pop,gen,nevals,nconverged,mean_rms,min_rms,max_rms,mean_bn,std_bn
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4,  10,     44,  0,   27.556232,    5.269721,   46.154496,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4,  20,     84,  0,   27.556232,    5.269721,   46.154496,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4,  40,    164,  0,   27.556232,    5.269721,   46.154495,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4,  75,    304,  0,   27.556232,    5.269721,   46.154495,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4, 125,    504,  0,   27.556232,    5.269721,   46.154495,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4, 200,    804,  0,   27.556232,    5.269721,   46.154495,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  4, 500,   2004,  0,   27.556232,    5.269721,   46.154495,   79.3524,   35.0118
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6,  10,     66,  0,   21.126069,    5.269721,   44.029486,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6,  20,    126,  0,   21.126069,    5.269721,   44.029485,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6,  40,    246,  0,   21.126069,    5.269721,   44.029485,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6,  75,    456,  0,   21.126069,    5.269721,   44.029485,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6, 125,    756,  0,   21.126069,    5.269721,   44.029485,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6, 200,   1206,  0,   21.126069,    5.269721,   44.029485,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  6, 500,   3006,  0,   21.126069,    5.269721,   44.029485,   94.1126,   32.6881
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  8,  10,     88,  0,   17.914263,    5.269721,   44.029163,   98.0262,   30.0629
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  8,  20,    168,  0,   17.914263,    5.269721,   44.029163,   98.0262,   30.0629
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  8,  40,    328,  0,   17.914263,    5.269721,   44.029163,   98.0262,   30.0629
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  8,  75,    608,  0,   17.914263,    5.269721,   44.029163,   98.0262,   30.0629
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  8, 125,   1008,  0,   17.914263,    5.269721,   44.029163,   98.0262,   30.0629
42928                         , 1, 42,  0.009037,  121.3570,    4.420432,  8, 200,   1608,  0,   17.914235,    5.269721,   44.028887,   98.0262,   30.0629
