day,apogee_alt_km,sma_km,ecc
    0.0000,   6272.9955,   9594.4125,  0.318594
    0.1082,   6272.5763,   9594.1982,  0.318579
    0.2165,   6272.1565,   9593.9839,  0.318565
    0.3247,   6271.7361,   9593.7695,  0.318551
    0.4330,   6271.3150,   9593.5549,  0.318536
    0.5412,   6270.8933,   9593.3404,  0.318522
    0.6494,   6270.4708,   9593.1257,  0.318507
    0.7577,   6270.0478,   9592.9110,  0.318493
    0.8659,   6269.6240,   9592.6962,  0.318478
    0.9741,   6269.1995,   9592.4813,  0.318463
    1.0823,   6268.7743,   9592.2664,  0.318449
    1.1905,   6268.3483,   9592.0515,  0.318434
    1.2987,   6267.9217,   9591.8365,  0.318419
    1.4069,   6267.4943,   9591.6215,  0.318404
    1.5151,   6267.0662,   9591.4064,  0.318389
    1.6233,   6266.6373,   9591.1914,  0.318374
    1.7315,   6266.2078,   9590.9763,  0.318358
    1.8397,   6265.7775,   9590.7612,  0.318343
    1.9479,   6265.3466,   9590.5462,  0.318328
    2.0561,   6264.9150,   9590.3312,  0.318312
    2.1643,   6264.4827,   9590.1162,  0.318297
    2.2725,   6264.0497,   9589.9012,  0.318281
    2.3806,   6263.6161,   9589.6863,  0.318265
    2.4888,   6263.1819,   9589.4715,  0.318250
    2.5970,   6262.7471,   9589.2567,  0.318234
    2.7051,   6262.3118,   9589.0420,  0.318218
    2.8133,   6261.8759,   9588.8274,  0.318202
    2.9214,   6261.4395,   9588.6129,  0.318186
    3.0296,   6261.0026,   9588.3984,  0.318170
    3.1377,   6260.5653,   9588.1841,  0.318154
    3.2459,   6260.1275,   9587.9699,  0.318138
    3.3540,   6259.6894,   9587.7558,  0.318121
    3.4622,   6259.2509,   9587.5418,  0.318105
    3.5703,   6258.8121,   9587.3279,  0.318089
    3.6784,   6258.3730,   9587.1142,  0.318072
    3.7865,   6257.9337,   9586.9006,  0.318056
    3.8947,   6257.4942,   9586.6872,  0.318039
    4.0028,   6257.0546,   9586.4739,  0.318023
    4.1109,   6256.6149,   9586.2608,  0.318006
    4.2190,   6256.1751,   9586.0479,  0.317990
    4.3271,   6255.7353,   9585.8351,  0.317973
    4.4352,   6255.2956,   9585.6225,  0.317956
    4.5433,   6254.8560,   9585.4100,  0.317940
    4.6514,   6254.4165,   9585.1978,  0.317923
    4.7595,   6253.9771,   9584.9857,  0.317906
    4.8676,   6253.5381,   9584.7738,  0.317890
    4.9757,   6253.0992,   9584.5620,  0.317873
    5.0838,   6252.6607,   9584.3505,  0.317856
    5.1918,   6252.2226,   9584.1392,  0.317840
    5.2999,   6251.7849,   9583.9280,  0.317823
    5.4080,   6251.3476,   9583.7170,  0.317806
    5.5160,   6250.9108,   9583.5062,  0.317790
    5.6241,   6250.4746,   9583.2955,  0.317773
    5.7322,   6250.0389,   9583.0851,  0.317757
    5.8402,   6249.6038,   9582.8748,  0.317740
    5.9483,   6249.1694,   9582.6647,  0.317724
    6.0563,   6248.7356,   9582.4547,  0.317707
    6.1644,   6248.3025,   9582.2450,  0.317691
    6.2724,   6247.8702,   9582.0353,  0.317675
    6.3805,   6247.4386,   9581.8258,  0.317659
    6.4885,   6247.0078,   9581.6165,  0.317642
    6.5965,   6246.5778,   9581.4073,  0.317626
    6.7046,   6246.1486,   9581.1983,  0.317610
    6.8126,   6245.7202,   9580.9894,  0.317594
    6.9206,   6245.2927,   9580.7806,  0.317578
    7.0286,   6244.8661,   9580.5719,  0.317563
    7.1366,   6244.4403,   9580.3633,  0.317547
    7.2446,   6244.0154,   9580.1548,  0.317531
    7.3527,   6243.5914,   9579.9464,  0.317515
    7.4607,   6243.1682,   9579.7381,  0.317500
    7.5687,   6242.7459,   9579.5299,  0.317485
    7.6767,   6242.3245,   9579.3217,  0.317469
    7.7847,   6241.9039,   9579.1136,  0.317454
    7.8926,   6241.4842,   9578.9055,  0.317439
    8.0006,   6241.0653,   9578.6975,  0.317424
    8.1086,   6240.6472,   9578.4895,  0.317408
    8.2166,   6240.2300,   9578.2816,  0.317394
    8.3246,   6239.8135,   9578.0736,  0.317379
    8.4325,   6239.3977,   9577.8657,  0.317364
    8.5405,   6238.9828,   9577.6578,  0.317349
    8.6485,   6238.5685,   9577.4498,  0.317334
    8.7564,   6238.1549,   9577.2419,  0.317320
    8.8644,   6237.7419,   9577.0339,  0.317305
    8.9723,   6237.3296,   9576.8258,  0.317291
    9.0803,   6236.9178,   9576.6178,  0.317277
    9.1882,   6236.5066,   9576.4097,  0.317262
    9.2962,   6236.0959,   9576.2015,  0.317248
    9.4041,   6235.6857,   9575.9932,  0.317234
    9.5121,   6235.2759,   9575.7849,  0.317220
    9.6200,   6234.8665,   9575.5766,  0.317206
    9.7279,   6234.4574,   9575.3681,  0.317192
    9.8359,   6234.0487,   9575.1595,  0.317178
    9.9438,   6233.6403,   9574.9509,  0.317164
   10.0517,   6233.2321,   9574.7422,  0.317150
   10.1596,   6232.8241,   9574.5333,  0.317136
   10.2675,   6232.4162,   9574.3244,  0.317122
   10.3754,   6232.0084,   9574.1153,  0.317108
   10.4833,   6231.6007,   9573.9061,  0.317094
   10.5912,   6231.1930,   9573.6969,  0.317080
   10.6991,   6230.7853,   9573.4875,  0.317067
   10.8070,   6230.3776,   9573.2779,  0.317053
   10.9149,   6229.9697,   9573.0683,  0.317039
   11.0228,   6229.5617,   9572.8585,  0.317025
   11.1307,   6229.1535,   9572.6486,  0.317012
   11.2386,   6228.7451,   9572.4386,  0.316998
   11.3465,   6228.3365,   9572.2284,  0.316984
   11.4543,   6227.9275,   9572.0182,  0.316970
   11.5622,   6227.5183,   9571.8078,  0.316957
   11.6701,   6227.1086,   9571.5973,  0.316943
   11.7779,   6226.6986,   9571.3866,  0.316929
   11.8858,   6226.2881,   9571.1759,  0.316915
   11.9936,   6225.8772,   9570.9650,  0.316901
   12.1015,   6225.4658,   9570.7540,  0.316887
   12.2093,   6225.0539,   9570.5430,  0.316873
   12.3172,   6224.6415,   9570.3318,  0.316859
   12.4250,   6224.2285,   9570.1205,  0.316845
   12.5329,   6223.8150,   9569.9091,  0.316831
   12.6407,   6223.4008,   9569.6976,  0.316817
   12.7485,   6222.9861,   9569.4860,  0.316802
   12.8564,   6222.5707,   9569.2743,  0.316788
   12.9642,   6222.1547,   9569.0626,  0.316774
   13.0720,   6221.7380,   9568.8508,  0.316759
   13.1798,   6221.3207,   9568.6389,  0.316745
   13.2876,   6220.9027,   9568.4270,  0.316730
   13.3954,   6220.4841,   9568.2150,  0.316716
   13.5032,   6220.0647,   9568.0029,  0.316701
   13.6110,   6219.6447,   9567.7909,  0.316686
   13.7188,   6219.2240,   9567.5787,  0.316672
   13.8266,   6218.8027,   9567.3666,  0.316657
   13.9344,   6218.3807,   9567.1544,  0.316642
   14.0422,   6217.9580,   9566.9423,  0.316627
   14.1500,   6217.5346,   9566.7301,  0.316612
   14.2578,   6217.1107,   9566.5179,  0.316597
   14.3656,   6216.6861,   9566.3057,  0.316582
   14.4733,   6216.2608,   9566.0936,  0.316566
   14.5811,   6215.8350,   9565.8814,  0.316551
   14.6889,   6215.4086,   9565.6693,  0.316536
   14.7966,   6214.9816,   9565.4572,  0.316520
   14.9044,   6214.5540,   9565.2452,  0.316505
   15.0121,   6214.1260,   9565.0332,  0.316489
   15.1199,   6213.6974,   9564.8213,  0.316473
   15.2276,   6213.2683,   9564.6095,  0.316458
   15.3354,   6212.8388,   9564.3977,  0.316442
   15.4431,   6212.4088,   9564.1860,  0.316426
   15.5509,   6211.9784,   9563.9743,  0.316410
   15.6586,   6211.5477,   9563.7628,  0.316394
   15.7663,   6211.1166,   9563.5514,  0.316378
   15.8741,   6210.6851,   9563.3400,  0.316362
   15.9818,   6210.2534,   9563.1288,  0.316346
   16.0895,   6209.8214,   9562.9177,  0.316330
   16.1972,   6209.3891,   9562.7067,  0.316314
   16.3049,   6208.9566,   9562.4958,  0.316298
   16.4126,   6208.5240,   9562.2851,  0.316282
   16.5203,   6208.0912,   9562.0745,  0.316265
   16.6280,   6207.6583,   9561.8640,  0.316249
   16.7357,   6207.2253,   9561.6537,  0.316233
   16.8434,   6206.7923,   9561.4435,  0.316216
   16.9511,   6206.3592,   9561.2335,  0.316200
   17.0588,   6205.9262,   9561.0236,  0.316184
   17.1665,   6205.4932,   9560.8138,  0.316167
   17.2742,   6205.0602,   9560.6043,  0.316151
   17.3819,   6204.6274,   9560.3949,  0.316134
   17.4895,   6204.1947,   9560.1856,  0.316118
   17.5972,   6203.7621,   9559.9765,  0.316101
   17.7049,   6203.3297,   9559.7676,  0.316085
   17.8125,   6202.8976,   9559.5589,  0.316068
   17.9202,   6202.4656,   9559.3503,  0.316052
   18.0278,   6202.0340,   9559.1419,  0.316036
   18.1355,   6201.6026,   9558.9336,  0.316019
   18.2431,   6201.1716,   9558.7255,  0.316003
   18.3508,   6200.7409,   9558.5176,  0.315986
   18.4584,   6200.3105,   9558.3099,  0.315970
   18.5661,   6199.8806,   9558.1024,  0.315953
   18.6737,   6199.4510,   9557.8950,  0.315937
   18.7813,   6199.0219,   9557.6877,  0.315921
   18.8890,   6198.5932,   9557.4807,  0.315904
   18.9966,   6198.1650,   9557.2738,  0.315888
   19.1042,   6197.7373,   9557.0671,  0.315872
   19.2118,   6197.3101,   9556.8605,  0.315855
   19.3194,   6196.8834,   9556.6541,  0.315839
   19.4270,   6196.4573,   9556.4478,  0.315823
   19.5347,   6196.0317,   9556.2418,  0.315807
   19.6423,   6195.6066,   9556.0358,  0.315791
   19.7499,   6195.1821,   9555.8300,  0.315775
   19.8575,   6194.7582,   9555.6244,  0.315759
   19.9650,   6194.3349,   9555.4189,  0.315743
   20.0726,   6193.9122,   9555.2135,  0.315727
   20.1802,   6193.4901,   9555.0083,  0.315711
   20.2878,   6193.0686,   9554.8032,  0.315695
   20.3954,   6192.6477,   9554.5982,  0.315679
   20.5030,   6192.2274,   9554.3934,  0.315663
   20.6105,   6191.8078,   9554.1887,  0.315647
   20.7181,   6191.3888,   9553.9840,  0.315632
   20.8257,   6190.9704,   9553.7795,  0.315616
   20.9332,   6190.5526,   9553.5752,  0.315601
   21.0408,   6190.1355,   9553.3709,  0.315585
   21.1483,   6189.7190,   9553.1667,  0.315570
   21.2559,   6189.3031,   9552.9626,  0.315554
   21.3634,   6188.8878,   9552.7586,  0.315539
   21.4710,   6188.4731,   9552.5547,  0.315523
   21.5785,   6188.0591,   9552.3508,  0.315508
   21.6861,   6187.6457,   9552.1470,  0.315493
   21.7936,   6187.2328,   9551.9433,  0.315478
   21.9011,   6186.8205,   9551.7397,  0.315463
   22.0087,   6186.4089,   9551.5361,  0.315448
   22.1162,   6185.9977,   9551.3326,  0.315433
   22.2237,   6185.5872,   9551.1291,  0.315418
   22.3312,   6185.1772,   9550.9256,  0.315403
   22.4387,   6184.7677,   9550.7222,  0.315388
   22.5462,   6184.3588,   9550.5189,  0.315373
   22.6537,   6183.9503,   9550.3155,  0.315358
   22.7612,   6183.5424,   9550.1122,  0.315344
   22.8687,   6183.1349,   9549.9089,  0.315329
   22.9762,   6182.7279,   9549.7056,  0.315314
   23.0837,   6182.3214,   9549.5023,  0.315300
   23.1912,   6181.9153,   9549.2990,  0.315285
   23.2987,   6181.5096,   9549.0957,  0.315271
   23.4062,   6181.1043,   9548.8925,  0.315256
   23.5137,   6180.6994,   9548.6892,  0.315242
   23.6211,   6180.2948,   9548.4858,  0.315227
   23.7286,   6179.8907,   9548.2825,  0.315213
   23.8361,   6179.4868,   9548.0791,  0.315199
   23.9436,   6179.0832,   9547.8758,  0.315185
   24.0510,   6178.6799,   9547.6723,  0.315170
   24.1585,   6178.2769,   9547.4689,  0.315156
   24.2659,   6177.8742,   9547.2654,  0.315142
   24.3734,   6177.4716,   9547.0619,  0.315128
   24.4808,   6177.0693,   9546.8583,  0.315114
   24.5883,   6176.6671,   9546.6547,  0.315100
   24.6957,   6176.2651,   9546.4510,  0.315086
   24.8032,   6175.8632,   9546.2472,  0.315072
