object,zone,it,tobs,apobs,e1,e2,e3,bn1,bn2,bn3,rms_baseline,s11,s21,s31,s12,s22,s32,s13,s23,s33
42928                         , 1,  1,    0.0000,   6344.6951,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6182.0722,     6308.9849,     6437.5961,     6182.0722,     6308.9849,     6437.5961,     6182.0722,     6308.9849,     6437.5961,
42928                         , 1,  2,    0.2296,   6342.7931,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6178.7669,     6305.6737,     6434.2788,     6180.7696,     6307.6794,     6436.2877,     6181.2533,     6308.1639,     6436.7730,
42928                         , 1,  3,    0.7317,   6339.0774,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6171.5601,     6298.4550,     6427.0474,     6177.9317,     6304.8360,     6433.4383,     6179.4706,     6306.3771,     6434.9819,
42928                         , 1,  4,    0.9787,   6337.5335,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6168.0241,     6294.9135,     6423.5000,     6176.5409,     6303.4425,     6432.0421,     6178.5978,     6305.5024,     6434.1051,
42928                         , 1,  5,    1.3166,   6335.2277,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6163.1977,     6290.0800,     6418.6588,     6174.6445,     6301.5427,     6430.1386,     6177.4087,     6304.3109,     6432.9110,
42928                         , 1,  6,    1.4518,   6334.2352,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6161.2712,     6288.1508,     6416.7267,     6173.8881,     6300.7851,     6429.3797,     6176.9349,     6303.8362,     6432.4353,
42928                         , 1,  7,    1.7102,   6332.5449,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6157.5909,     6284.4655,     6413.0360,     6172.4444,     6299.3390,     6427.9311,     6176.0311,     6302.9307,     6431.5280,
42928                         , 1,  8,    2.2929,   6328.6036,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6149.3164,     6276.1799,     6404.7385,     6169.2039,     6296.0934,     6424.6801,     6174.0058,     6300.9018,     6429.4954,
42928                         , 1,  9,    2.7993,   6325.1774,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6142.1434,     6268.9982,     6397.5473,     6166.4014,     6293.2871,     6421.8696,     6172.2583,     6299.1517,     6427.7424,
42928                         , 1, 10,    3.2687,   6321.9305,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6135.5079,     6262.3549,     6390.8957,     6163.8147,     6290.6971,     6419.2760,     6170.6488,     6297.5399,     6426.1283,
42928                         , 1, 11,    3.5225,   6320.1170,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6131.9242,     6258.7674,     6387.3038,     6162.4200,     6289.3007,     6417.8778,     6169.7823,     6296.6723,     6425.2595,
42928                         , 1, 12,    4.2450,   6315.1552,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6121.7340,     6248.5663,     6377.0909,     6158.4623,     6285.3387,     6413.9111,     6167.3284,     6294.2158,     6422.8001,
42928                         , 1, 13,    4.7526,   6310.7812,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6114.5777,     6241.4027,     6369.9193,     6155.6897,     6282.5633,     6411.1327,     6165.6133,     6292.4991,     6421.0817,
42928                         , 1, 14,    5.2220,   6307.3904,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6107.9605,     6234.7789,     6363.2882,     6153.1302,     6280.0014,     6408.5681,     6164.0326,     6290.9170,     6419.4982,
42928                         , 1, 15,    5.3292,   6306.8451,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6106.4486,     6233.2656,     6361.7734,     6152.5460,     6279.4166,     6407.9828,     6163.6720,     6290.5562,     6419.1371,
42928                         , 1, 16,    7.2831,   6289.3375,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6078.7994,     6205.5889,     6334.0663,     6141.8830,     6268.7438,     6397.2991,     6157.1031,     6283.9824,     6412.5577,
42928                         , 1, 17,    7.5315,   6287.0432,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6075.2670,     6202.0527,     6330.5259,     6140.5214,     6267.3808,     6395.9346,     6156.2645,     6283.1431,     6411.7176,
42928                         , 1, 18,    8.2562,   6284.1029,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6064.9357,     6191.7095,     6320.1697,     6136.5363,     6263.3913,     6391.9402,     6153.8083,     6280.6845,     6409.2564,
42928                         , 1, 19,    8.6389,   6280.9882,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6059.4637,     6186.2310,     6314.6838,     6134.4229,     6261.2754,     6389.8216,     6152.5040,     6279.3788,     6407.9491,
42928                         , 1, 20,    8.7805,   6279.9089,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6057.4366,     6184.2013,     6312.6515,     6133.6394,     6260.4909,     6389.0360,     6152.0201,     6278.8943,     6407.4639,
42928                         , 1, 21,    9.2285,   6274.8676,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6051.0138,     6177.7704,     6306.2117,     6131.1544,     6258.0025,     6386.5440,     6150.4835,     6277.3556,     6405.9231,
42928                         , 1, 22,    9.7341,   6271.5546,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6043.7491,     6170.4962,     6298.9272,     6128.3381,     6255.1822,     6383.7193,     6148.7384,     6275.6080,     6404.1728,
42928                         , 1, 23,   10.2010,   6268.1810,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6037.0284,     6163.7666,     6292.1879,     6125.7269,     6252.5669,     6381.0996,     6147.1165,     6273.9835,     6402.5454,
42928                         , 1, 24,   10.4367,   6266.4738,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6033.6314,     6160.3650,     6288.7813,     6124.4047,     6251.2425,     6379.7730,     6146.2938,     6273.1593,     6401.7197,
42928                         , 1, 25,   10.7035,   6264.6776,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6029.7853,     6156.5138,     6284.9245,     6122.9058,     6249.7411,     6378.2690,     6145.3598,     6272.2236,     6400.7822,
42928                         , 1, 26,   11.3956,   6259.8272,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6019.8031,     6146.5183,     6274.9144,     6119.0055,     6245.8342,     6374.3548,     6142.9232,     6269.7822,     6398.3357,
42928                         , 1, 27,   11.5127,   6258.8247,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6018.1137,     6144.8266,     6273.2204,     6118.3441,     6245.1715,     6373.6909,     6142.5091,     6269.3672,     6397.9198,
42928                         , 1, 28,   12.3663,   6253.1521,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     6005.8150,     6132.5126,     6260.8895,     6113.5180,     6240.3368,     6368.8470,     6139.4804,     6266.3319,     6394.8776,
42928                         , 1, 29,   13.2288,   6246.8966,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5993.4314,     6120.1154,     6248.4772,     6108.6439,     6235.4541,     6363.9550,     6136.4113,     6263.2560,     6391.7944,
42928                         , 1, 30,   13.3367,   6246.0900,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5991.8875,     6118.5699,     6246.9301,     6108.0355,     6234.8446,     6363.3444,     6136.0277,     6262.8715,     6391.4090,
42928                         , 1, 31,   14.2011,   6237.5411,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5979.5589,     6106.2298,     6234.5769,     6103.1742,     6229.9752,     6358.4663,     6132.9619,     6259.7990,     6388.3295,
42928                         , 1, 32,   14.5383,   6235.0891,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5974.7723,     6101.4392,     6229.7819,     6101.2880,     6228.0862,     6356.5743,     6131.7729,     6258.6077,     6387.1356,
42928                         , 1, 33,   15.1672,   6231.4262,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5965.8793,     6092.5402,     6220.8762,     6097.7893,     6224.5829,     6353.0661,     6129.5706,     6256.4014,     6384.9252,
42928                         , 1, 34,   15.3979,   6229.8521,  0.315762,  0.320280,  0.324799,   38.6430,   99.3215,  160.0000,    4.420432,     5962.6297,     6089.2890,     6217.6228,     6096.5134,     6223.3056,     6351.7871,     6128.7689,     6255.5985,     6384.1209,
