object,zone,nzone,bn_span_pass1,bn_lo2,bn_hi2,rms_pass1,rms_pass2,rms_interp_pass2,rms_direct_pass2
42928                         , 1, 42,  30.0000,  66.1953,  96.1953,    4.4204,    1.1654,    1.1654, 6275.6285
42928                         , 2, 48,  15.0750,  88.7060, 103.7810,    9.8849,   11.0025,   11.0025, 5525.0784
42928                         , 3, 50,  30.0000,  57.8105,  87.8105,    3.6935,    2.3422,    2.3422, 5337.9457
42928                         , 4, 47,  25.1809,  67.9485,  93.1294,    0.7013,    0.7818,    0.7818, 5163.9180
42928                         , 5, 50,  15.1726,  78.5340,  93.7065,    8.1536,    8.5232,    8.5232, 5009.9437
42928                         , 6, 47,  15.1693,  84.2259,  99.3951,    4.0003,    4.1848,    4.1848, 3875.4356
42928                         , 7, 37,  20.6725,  56.7306,  77.4030,    2.5585,    2.0675,    2.0675, 2142.4097
42928                         , 8, 39,  16.3789,  59.0356,  75.4145,  398.0367,  398.2683,  398.2683,  690.5613
35497                         , 1, 27,  30.0000,  52.4689,  82.4689,    1.5400,    1.1760,    1.1760,20346.2076
35497                         , 2, 36,  30.0000,  79.9240, 109.9240,   12.3616,   12.5163,   12.5163,20063.6596
35497                         , 3, 30,  30.0000,  64.2980,  94.2980,    2.0698,    2.9863,    2.9863,19956.8335
35497                         , 4, 38,  30.0000,  65.2672,  95.2672,    2.0514,    4.5130,    4.5130,19522.1740
35497                         , 5, 47,  30.0000,  69.1776,  99.1776,    2.3111,    3.2082,    3.2082,18061.5484
35497                         , 6, 35,  15.0637, 177.6074, 192.6711,   58.6383,   57.9032,   57.9032,15649.2428
35497                         , 7, 16,  30.0000, 177.2364, 207.2364,   36.7529,   36.9090,   36.9090,10329.1309
35497                         , 8, 47,  18.1444, 242.2378, 260.3822, 1779.2408, 2195.3642, 2195.3642, 2866.5283
37151                         , 1, 43,  30.0000,  42.6428,  72.6428,    1.3348,   13.8104,   13.8104,16654.1759
37151                         , 2, 47,  30.0000,  38.0143,  68.0143,    1.8234,   30.2548,   30.2548,14721.8539
37151                         , 3, 52,  30.0000,  55.4114,  85.4114,    4.6921,   26.6987,   26.6987,13936.8540
37151                         , 4, 46,  30.0000,  74.8541, 104.8541,    4.9398,   16.2084,   16.2084,13623.7927
37151                         , 5, 40,  30.0000,  60.1752,  90.1752,   17.1715,   31.1063,   31.1063,12106.8614
37151                         , 6, 43,  30.0000,  91.6593, 121.6593,   14.1132,   57.9625,   57.9625, 9240.8413
37151                         , 7, 41,  30.0000, 114.1078, 144.1078,    3.1308,   55.3708,   55.3708, 7467.1355
37151                         , 8,  9,  15.8821, 299.6825, 315.5646,   49.8849,   41.7976,   41.7976,  676.8117
39615                         , 1, 24,  30.0000,  67.6208,  97.6208,   15.7827,   13.3847,   13.3847,15854.1973
39615                         , 2, 33,  30.0000,  49.7110,  79.7110,    8.8523,   19.0694,   19.0694,14185.6817
39615                         , 3, 32,  30.0000,  63.6273,  93.6273,    6.4501,   31.8404,   31.8404,12632.8325
39615                         , 4, 38,  30.0000,  88.7034, 118.7034,    3.5340,   32.5255,   32.5255,12169.1579
39615                         , 5, 43,  30.0000,  84.1493, 114.1493,    9.6291,   36.3385,   36.3385,10285.6630
39615                         , 6, 35,  30.0000,  78.3763, 108.3763,    1.3568,   47.5720,   47.5720, 6567.0672
39615                         , 7, 20,  30.0000, 102.3451, 132.3451,   18.3889,   76.7209,   76.7209, 5492.7351
39615                         , 8, 37,  30.0000,  83.7460, 113.7460,  167.7922,  187.2655,  187.2655, 1155.5727
27526                         , 1, 25,  30.0000,  57.5103,  87.5103,    3.7088,   13.5247,   13.5247,17460.9113
27526                         , 2, 31,  30.0000,  57.0934,  87.0934,   12.9121,   23.4259,   23.4259,12973.6836
27526                         , 3, 32,  30.0000,  79.8028, 109.8028,    8.7817,   40.0851,   40.0851,10265.2384
27526                         , 4, 29,  30.0000, 100.7452, 130.7452,    5.3272,   50.0811,   50.0811, 9549.7430
27526                         , 5, 37,  30.0000, 113.1343, 143.1343,    3.5865,   69.8747,   69.8747, 8838.7287
27526                         , 6, 33,  30.0000,  98.5587, 128.5587,   29.1122,  102.0071,  102.0071, 8137.5489
27526                         , 7, 49,  30.0000, 178.7173, 208.7173,    6.1201,    7.3196,    7.3196, 7220.2811
27526                         , 8, 64,  30.0000,  53.9814,  83.9814,  197.1006,   82.5261,   82.5261, 1264.4381
32007                         , 1, 59,  30.0000,  56.9068,  86.9068,    2.0552,    5.5666,    5.5666, 5358.6744
32007                         , 2, 60,  30.0000,  49.7231,  79.7231,    1.0344,    6.3711,    6.3711, 5200.9396
32007                         , 3, 56,  30.0000,  64.8328,  94.8328,    2.2353,   15.8666,   15.8666, 4882.5022
32007                         , 4, 53,  30.0000,  67.3954,  97.3954,    2.5514,   16.4491,   16.4491, 3970.3884
32007                         , 5, 58,  30.0000,  66.5213,  96.5213,    1.1875,    1.0056,    1.0056, 3399.2194
32007                         , 6, 59,  21.0247,  43.1236,  64.1483,    6.2959,    4.1944,    4.1944, 3310.9703
32007                         , 7, 51,  30.0000,  55.8665,  85.8665,    1.6457,    0.7040,    0.7040, 2636.5204
