norad,name,type,incl_deg,lead_days,n_tle_kept,predicted,primary_rpe_pct,ens_rpe_pct,policy_case
35497,ARIANE 5 R/B,ROCKET BODY,5.78,30,1478,True,-22.133,3.99,
35497,ARIANE 5 R/B,ROCKET BODY,5.78,90,1390,True,-24.881,3.99,
35497,ARIANE 5 R/B,ROCKET BODY,5.78,180,1168,True,232.449,51.974,
35497,ARIANE 5 R/B,ROCKET BODY,5.78,365,789,True,141.61,-28.396,
37151,CZ-3B R/B,ROCKET BODY,24.68,30,2893,True,-34.342,-2.209,
37151,CZ-3B R/B,ROCKET BODY,24.68,90,2720,True,7.783,-0.696,
37151,CZ-3B R/B,ROCKET BODY,24.68,180,2510,True,-14.429,-2.996,
37151,CZ-3B R/B,ROCKET BODY,24.68,365,2097,True,173.946,6.117,
27526,PSLV R/B,ROCKET BODY,17.66,30,1243,True,13.365,0.808,
27526,PSLV R/B,ROCKET BODY,17.66,90,1101,True,42.472,1.354,
27526,PSLV R/B,ROCKET BODY,17.66,180,929,True,-8.659,-2.285,
27526,PSLV R/B,ROCKET BODY,17.66,365,652,True,88.33,4.839,
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,30,1792,True,-13.702,-7.968,
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,90,1649,True,-15.145,-7.968,
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,180,1419,True,-26.864,-6.768,
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,365,901,True,-3.332,-24.792,
59347,FALCON 9 R/B,ROCKET BODY,23.31,30,996,True,-69.799,-10.633,Falcon 9 R/B -- possible post-separation deorbit burn (no thrust model in OREM)
59347,FALCON 9 R/B,ROCKET BODY,23.31,90,963,True,-60.209,-10.633,Falcon 9 R/B -- possible post-separation deorbit burn (no thrust model in OREM)
59347,FALCON 9 R/B,ROCKET BODY,23.31,180,874,True,-35.568,-9.581,Falcon 9 R/B -- possible post-separation deorbit burn (no thrust model in OREM)
59347,FALCON 9 R/B,ROCKET BODY,23.31,365,536,False,,,Falcon 9 R/B -- possible post-separation deorbit burn (no thrust model in OREM)
40943,ARIANE 5 DEB (SYLDA),DEBRIS,6.32,30,2656,True,127.741,11.464,
40943,ARIANE 5 DEB (SYLDA),DEBRIS,6.32,90,2503,True,145.131,14.083,
40943,ARIANE 5 DEB (SYLDA),DEBRIS,6.32,180,2287,False,,,
40943,ARIANE 5 DEB (SYLDA),DEBRIS,6.32,365,1900,False,,,
60328,CZ-3B R/B,ROCKET BODY,26.86,30,205,True,-3.635,-3.298,
60328,CZ-3B R/B,ROCKET BODY,26.86,90,129,True,-17.702,36.232,
60328,CZ-3B R/B,ROCKET BODY,26.86,180,98,True,104.765,85.081,
60328,CZ-3B R/B,ROCKET BODY,26.86,365,0,False,,,
18983,SL-6 R/B(2),ROCKET BODY,61.98,30,2500,False,,,
18983,SL-6 R/B(2),ROCKET BODY,61.98,90,2500,False,,,
18983,SL-6 R/B(2),ROCKET BODY,61.98,180,2437,False,,,
18983,SL-6 R/B(2),ROCKET BODY,61.98,365,2247,False,,,
13112,SL-6 R/B(2),ROCKET BODY,64.05,30,1303,True,-13.433,-1.006,
13112,SL-6 R/B(2),ROCKET BODY,64.05,90,1298,True,-13.433,-1.006,
13112,SL-6 R/B(2),ROCKET BODY,64.05,180,1267,True,-13.916,-1.406,
13112,SL-6 R/B(2),ROCKET BODY,64.05,365,1113,False,,,
28141,CZ-2C R/B,ROCKET BODY,18.77,30,1055,False,,,
28141,CZ-2C R/B,ROCKET BODY,18.77,90,1013,False,,,
28141,CZ-2C R/B,ROCKET BODY,18.77,180,957,False,,,
28141,CZ-2C R/B,ROCKET BODY,18.77,365,794,False,,,
19881,COSMOS 931 DEB *,DEBRIS,59.6,30,592,False,,,
19881,COSMOS 931 DEB *,DEBRIS,59.6,90,592,False,,,
19881,COSMOS 931 DEB *,DEBRIS,59.6,180,592,False,,,
19881,COSMOS 931 DEB *,DEBRIS,59.6,365,592,False,,,
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,30,276,True,-16.527,-8.385,
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,90,276,True,-16.527,-8.385,
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,180,276,True,-16.527,-8.385,
5980,TITAN 3C TRANSTAGE DEB,DEBRIS,26.53,365,276,True,-16.527,-8.385,
4570,SL-6 R/B(2),ROCKET BODY,65.99,30,142,True,-6.141,-21.936,
4570,SL-6 R/B(2),ROCKET BODY,65.99,90,136,True,-6.141,-21.936,
4570,SL-6 R/B(2),ROCKET BODY,65.99,180,122,True,-38.368,-38.368,
4570,SL-6 R/B(2),ROCKET BODY,65.99,365,77,False,,,
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,30,210,True,143.582,62.776,
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,90,210,True,143.582,62.776,
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,180,210,True,143.582,62.776,
10724,ATLAS CENTAUR DEB,DEBRIS,26.63,365,210,True,143.582,62.776,
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,30,1150,False,,,
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,90,1109,False,,,
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,180,1052,False,,,
28140,DOUBLESTAR (TC-1),PAYLOAD,18.86,365,889,False,,,
44911,CZ-5 R/B,ROCKET BODY,13.17,30,1004,False,,,
44911,CZ-5 R/B,ROCKET BODY,13.17,90,945,False,,,
44911,CZ-5 R/B,ROCKET BODY,13.17,180,783,False,,,
44911,CZ-5 R/B,ROCKET BODY,13.17,365,463,False,,,
7096,SKYNET 2A,PAYLOAD,26.55,30,0,False,,,
7096,SKYNET 2A,PAYLOAD,26.55,90,0,False,,,
7096,SKYNET 2A,PAYLOAD,26.55,180,0,False,,,
