run_idx,norad,lead_days,ierr,nzones,nvalid,npred,primary_zone,primary_reentry_jd,primary_rpe_pct,t_mean,t_std,ens_rpe_pct,zepoch1,decay_jd
  62, 44911, 180,  3, 8, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2458944.9983, 2459703.5000
  63, 44911, 365,  3, 8, 1, 0, 0,       0.0000,     0.000,       0.0000,     0.00,     0.000, 2458944.9983, 2459703.5000
  64,  6294,  30,  2,,,,,,,,,,, 2442819.5000
  65,  6294,  90,  2,,,,,,,,,,, 2442819.5000
  66,  6294, 180,  2,,,,,,,,,,, 2442819.5000
  67,  6294, 365,  2,,,,,,,,,,, 2442819.5000
  68, 18954,  30,  2,,,,,,,,,,, 2447558.5000
  69, 18954,  90,  2,,,,,,,,,,, 2447558.5000
  70, 18954, 180,  2,,,,,,,,,,, 2447558.5000
  71, 29462,  30,  2,,,,,,,,,,, 2456203.5000
  72, 29462,  90,  2,,,,,,,,,,, 2456203.5000
  73, 29462, 180,  2,,,,,,,,,,, 2456203.5000
  74, 29462, 365,  2,,,,,,,,,,, 2456203.5000
  75,  5941,  30,  2,,,,,,,,,,, 2444257.5000
  76,  5941,  90,  2,,,,,,,,,,, 2444257.5000
  77,  5941, 180,  2,,,,,,,,,,, 2444257.5000
  78,  5941, 365,  2,,,,,,,,,,, 2444257.5000
  79,  6231,  30,  2,,,,,,,,,,, 2443448.5000
  80,  6231,  90,  2,,,,,,,,,,, 2443448.5000
  81,  6231, 180,  2,,,,,,,,,,, 2443448.5000
  82,  6231, 365,  2,,,,,,,,,,, 2443448.5000
