run_idx,norad,lead_days,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,zepoch,rms_fit
   1, 35497,  30, 1, 0.615487,  59.363,       0.0000,     0.000, 0, 2456703.9292,        2.1326
   1, 35497,  30, 2, 0.605193,  75.603,       0.0000,     0.000, 0, 2457266.9768,        0.9776
   1, 35497,  30, 3, 0.602965,  90.477,       0.0000,     0.000, 2, 2457348.1694,       12.0435
   1, 35497,  30, 4, 0.602397,  82.702,       0.0000,     0.000, 0, 2457368.4122,        2.0192
   1, 35497,  30, 5, 0.598089,  82.717,       0.0000,     0.000, 0, 2457429.3251,        2.3928
   1, 35497,  30, 6, 0.582334,  84.328, 2458345.8146,   359.621, 0, 2457510.8325,        2.2458
   1, 35497,  30, 7, 0.557585, 118.684, 2457731.9451,    32.593, 2, 2457571.4778,      297.1056
   1, 35497,  30, 8, 0.474043, 135.784, 2457679.5331,   -22.133, 2, 2457633.9141,      228.4809
   2, 35497,  90, 1, 0.615487,  59.363,       0.0000,     0.000, 0, 2456703.9292,        2.1326
   2, 35497,  90, 2, 0.605193,  75.603,       0.0000,     0.000, 0, 2457266.9768,        0.9776
   2, 35497,  90, 3, 0.602965,  90.477,       0.0000,     0.000, 2, 2457348.1694,       12.0435
   2, 35497,  90, 4, 0.602397,  82.702,       0.0000,     0.000, 0, 2457368.4122,        2.0192
   2, 35497,  90, 5, 0.598089,  82.717,       0.0000,     0.000, 0, 2457429.3251,        2.3928
   2, 35497,  90, 6, 0.582334,  84.328, 2458345.8146,   359.621, 0, 2457510.8325,        2.2458
   2, 35497,  90, 7, 0.557585, 118.684, 2457731.9451,    32.593, 2, 2457571.4778,      297.1056
   2, 35497,  90, 8, 0.537953, 135.408, 2457667.7579,   -24.881, 2, 2457593.0571,      201.1906
   3, 35497, 180, 1, 0.621247,  63.795,       0.0000,     0.000, 0, 2456642.8514,        2.5695
   3, 35497, 180, 2, 0.615527,  53.085,       0.0000,     0.000, 0, 2456703.9292,        1.0655
   3, 35497, 180, 3, 0.605153,  85.997,       0.0000,     0.000, 0, 2457266.9768,        3.8171
   3, 35497, 180, 4, 0.604364,  92.846, 2458314.2961,   161.347, 2, 2457307.1215,       13.4098
   3, 35497, 180, 5, 0.602958,  88.021,       0.0000,     0.000, 2, 2457348.1694,       12.4179
   3, 35497, 180, 6, 0.602390,  69.739,       0.0000,     0.000, 0, 2457368.4122,        2.2225
   3, 35497, 180, 7, 0.598131,  65.055,       0.0000,     0.000, 2, 2457429.3251,        2.8008
   3, 35497, 180, 8, 0.588055,  60.449, 2458161.7912,   232.449, 2, 2457490.6104,        4.0521
   4, 35497, 365, 1, 0.629738,  58.004, 2457298.6480,   -35.465, 0, 2456581.9521,        3.4134
   4, 35497, 365, 2, 0.626813,  48.406, 2457217.5183,   -43.562, 0, 2456602.1332,        2.0753
   4, 35497, 365, 3, 0.623796,  43.319, 2457455.6473,   -22.137, 0, 2456622.5454,        2.3335
   4, 35497, 365, 4, 0.621255,  43.928,       0.0000,     0.000, 0, 2456642.8514,        1.4935
   4, 35497, 365, 5, 0.615508,  37.936,       0.0000,     0.000, 0, 2456703.9292,        1.1035
   4, 35497, 365, 6, 0.604945,  50.989,       0.0000,     0.000, 2, 2457178.6248,       18.7895
   4, 35497, 365, 7, 0.605218,  51.684,       0.0000,     0.000, 2, 2457266.9768,        1.3159
   4, 35497, 365, 8, 0.604364,  50.989, 2458238.2363,   141.610, 2, 2457307.1215,       22.5666
   5, 37151,  30, 1, 0.558188,  57.643,       0.0000,     0.000, 0, 2456603.2714,        1.3348
   5, 37151,  30, 2, 0.530443,  53.014,       0.0000,     0.000, 0, 2456765.4032,        1.8234
   5, 37151,  30, 3, 0.516500,  70.411, 2457384.2592,     4.294, 0, 2456807.1762,        4.6921
   5, 37151,  30, 4, 0.510287,  64.144, 2457247.6783,   -21.185, 0, 2456827.9493,        3.0996
   5, 37151,  30, 5, 0.481318,  46.550, 2457316.0705,   -10.309, 2, 2456929.5410,        9.9099
   5, 37151,  30, 6, 0.416151,  58.772, 2458008.8076,   225.894, 0, 2457073.5033,       17.4573
   5, 37151,  30, 7, 0.369087,  69.932, 2457341.8457,    -9.063, 2, 2457154.6604,       14.3921
   5, 37151,  30, 8, 0.201540,  78.761, 2457345.7015,   -34.342, 2, 2457317.4086,      165.2166
   6, 37151,  90, 1, 0.558188,  57.643,       0.0000,     0.000, 0, 2456603.2714,        1.3348
   6, 37151,  90, 2, 0.530443,  53.014,       0.0000,     0.000, 0, 2456765.4032,        1.8234
   6, 37151,  90, 3, 0.516500,  70.411, 2457384.2592,     4.294, 0, 2456807.1762,        4.6921
   6, 37151,  90, 4, 0.510287,  64.144, 2457247.6783,   -21.185, 0, 2456827.9493,        3.0996
   6, 37151,  90, 5, 0.481318,  46.550, 2457316.0705,   -10.309, 2, 2456929.5410,        9.9099
   6, 37151,  90, 6, 0.416151,  58.772, 2458008.8076,   225.894, 0, 2457073.5033,       17.4573
   6, 37151,  90, 7, 0.369087,  69.932, 2457341.8457,    -9.063, 2, 2457154.6604,       14.3921
   6, 37151,  90, 8, 0.274561,  78.761, 2457368.6064,     7.783, 2, 2457256.3440,       16.0724
   7, 37151, 180, 1, 0.558188,  57.643,       0.0000,     0.000, 0, 2456603.2714,        1.3348
   7, 37151, 180, 2, 0.530443,  53.014,       0.0000,     0.000, 0, 2456765.4032,        1.8234
   7, 37151, 180, 3, 0.516500,  70.411, 2457384.2592,     4.294, 0, 2456807.1762,        4.6921
   7, 37151, 180, 4, 0.510287,  64.144, 2457247.6783,   -21.185, 0, 2456827.9493,        3.0996
   7, 37151, 180, 5, 0.481318,  46.550, 2457316.0705,   -10.309, 2, 2456929.5410,        9.9099
   7, 37151, 180, 6, 0.416151,  58.772, 2458008.8076,   225.894, 0, 2457073.5033,       17.4573
   7, 37151, 180, 7, 0.369087,  69.932, 2457341.8457,    -9.063, 2, 2457154.6604,       14.3921
   7, 37151, 180, 8, 0.350180,  78.111, 2457333.7780,   -14.429, 2, 2457175.3022,        0.8049
   8, 37151, 365, 1, 0.558188,  57.643,       0.0000,     0.000, 0, 2456603.2714,        1.3348
   8, 37151, 365, 2, 0.530443,  53.014,       0.0000,     0.000, 0, 2456765.4032,        1.8234
   8, 37151, 365, 3, 0.516500,  70.411, 2457384.2592,     4.294, 0, 2456807.1762,        4.6921
   8, 37151, 365, 4, 0.510287,  64.144, 2457247.6783,   -21.185, 0, 2456827.9493,        3.0996
   8, 37151, 365, 5, 0.488441,  46.337, 2457429.3875,    15.267, 2, 2456909.2941,       11.1041
   8, 37151, 365, 6, 0.481588,  44.697, 2457308.6507,   -12.031, 2, 2456929.5410,        1.1178
   8, 37151, 365, 7, 0.464811,  56.408, 2457969.3469,   156.313, 0, 2456970.9949,        2.2391
   8, 37151, 365, 8, 0.456403,  59.470, 2458003.0568,   173.946, 2, 2456991.0993,        8.6343
   9, 27526,  30, 1, 0.571213,  72.510,       0.0000,     0.000, 0, 2455440.8741,        3.7088
   9, 27526,  30, 2, 0.498203,  72.093, 2456838.4043,   227.613, 0, 2455712.9766,       12.9121
   9, 27526,  30, 3, 0.446310,  68.690, 2456064.8351,     3.783, 0, 2455836.1807,        9.2053
   9, 27526,  30, 4, 0.428742,  79.112, 2456124.9444,    34.178, 0, 2455856.2392,        4.9301
