norad,name,type,incl_deg,decay,lead_days,cutoff,n_tle_total,n_tle_kept,first_tle,last_kept_tle,last_tle_to_decay_days,run_idx
35497,ARIANE 5 R/B,ROCKET BODY,5.78,2016-10-31,30,2016-10-01,1547,1478,2013-10-16,2016-09-29,-0.3,1
35497,ARIANE 5 R/B,ROCKET BODY,5.78,2016-10-31,90,2016-08-02,1547,1390,2013-10-16,2016-08-01,-0.3,2
35497,ARIANE 5 R/B,ROCKET BODY,5.78,2016-10-31,180,2016-05-04,1547,1168,2013-10-16,2016-05-03,-0.3,3
35497,ARIANE 5 R/B,ROCKET BODY,5.78,2016-10-31,365,2015-11-01,1547,789,2013-10-16,2015-10-31,-0.3,4
37151,CZ-3B R/B,ROCKET BODY,24.68,2015-12-04,30,2015-11-04,2986,2893,2011-05-02,2015-11-03,0.3,5
37151,CZ-3B R/B,ROCKET BODY,24.68,2015-12-04,90,2015-09-05,2986,2720,2011-05-02,2015-09-04,0.3,6
37151,CZ-3B R/B,ROCKET BODY,24.68,2015-12-04,180,2015-06-07,2986,2510,2011-05-02,2015-06-06,0.3,7
37151,CZ-3B R/B,ROCKET BODY,24.68,2015-12-04,365,2014-12-04,2986,2097,2011-05-02,2014-12-03,0.3,8
27526,PSLV R/B,ROCKET BODY,17.66,2012-05-09,30,2012-04-09,1343,1243,2009-12-07,2012-04-08,-0.5,9
27526,PSLV R/B,ROCKET BODY,17.66,2012-05-09,90,2012-02-09,1343,1101,2009-12-07,2012-02-08,-0.5,10
27526,PSLV R/B,ROCKET BODY,17.66,2012-05-09,180,2011-11-11,1343,929,2009-12-07,2011-11-10,-0.5,11
27526,PSLV R/B,ROCKET BODY,17.66,2012-05-09,365,2011-05-10,1343,652,2009-12-07,2011-05-07,-0.5,12
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,2013-09-13,30,2013-08-14,1894,1792,2011-09-27,2013-08-13,0.2,13
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,2013-09-13,90,2013-06-15,1894,1649,2011-09-27,2013-06-14,0.2,14
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,2013-09-13,180,2013-03-17,1894,1419,2011-09-27,2013-03-16,0.2,15
37819,MINOTAUR 4 R/B,ROCKET BODY,63.02,2013-09-13,365,2012-09-13,1894,901,2011-09-27,2012-09-12,0.2,16
59347,FALCON 9 R/B,ROCKET BODY,23.31,2026-06-08,30,2026-05-09,1018,996,2024-03-31,2026-04-20,1.8,17
59347,FALCON 9 R/B,ROCKET BODY,23.31,2026-06-08,90,2026-03-10,1018,963,2024-03-31,2026-03-06,1.8,18
59347,FALCON 9 R/B,ROCKET BODY,23.31,2026-06-08,180,2025-12-10,1018,874,2024-03-31,2025-12-09,1.8,19
59347,FALCON 9 R/B,ROCKET BODY,23.31,2026-06-08,365,2025-06-08,1018,536,2024-03-31,2025-06-07,1.8,20
40943,ARIANE 5 DEB (SYLDA),DEBRIS,6.32,2020-02-20,30,2020-01-21,2736,2656,2015-09-30,2020-01-20,1.1,21
40943,ARIANE 5 DEB (SYLDA),DEBRIS,6.32,2020-02-20,90,2019-11-22,2736,2503,2015-09-30,2019-11-21,1.1,22
