norad,name,n_tle,source
15,EXPLORER 6,8,cache
170,EXPLORER 12,3,cache
675,ERS 12,7,cache
838,ERS 13,6,cache
1621,MOLNIYA 1-2,12,cache
2501,MOLNIYA 1-4,42,cache
3145,ATLAS AGENA D R/B,662,cache
3619,COSMOS 260,190,cache
5689,SL-6 R/B(2),134,cache
5814,HEOS 2,2,cache
5878,ATLAS CENTAUR R/B(1),24,cache
5988,DELTA 1 DEB *,445,cache
6034,SL-6 R/B(2),229,cache
6364,PROGNOZ 3,12,cache
6426,ATLAS CENTAUR R/B(1),19,cache
6741,SL-6 R/B(2),169,cache
6815,SL-6 R/B(2),187,cache
7096,SKYNET 2A,5,cache
9888,COSMOS 862 DEB,33,cache
9892,COSMOS 862 DEB,5990,cache
9893,COSMOS 862 DEB,7,cache
9894,COSMOS 862 DEB,10,cache
10422,ISEE 1,498,cache
10423,ISEE 2,433,cache
14095,EXOSAT,136,cache
14301,COSMOS 1456 DEB,66,cache
14306,COSMOS 1456 DEB,38,cache
15201,UKS 1 (AMPTE),21,cache
18954,ARIANE 3 DEB (SYLDA),27,cache
20352,GRANAT,333,cache
23658,ATLAS 2AS CENTAUR R/B,10,cache
23780,ATLAS 2AS CENTAUR R/B,5,cache
23804,DELTA 2 R/B(2),43,cache
24210,ARIANE 44L+3 R/B,21,cache
24835,CZ-3A R/B,27,cache
24881,ATLAS 2AS CENTAUR R/B,3,cache
24933,ARIANE 44LP R/B,27,cache
25355,CZ-3B R/B,10,cache
25631,ATLAS 2AS CENTAUR R/B,4,cache
26412,FREGAT R/B,2,cache
26465,FREGAT R/B,3,cache
26667,ARIANE 44P R/B,2,cache
27900,COSMOS 1217 DEB,77,cache
29641,CZ-3A R/B,7,cache
32039,BREEZE-M DEB,30,cache
35813,CZ-3B R/B,11,cache
38587,BREEZE-M DEB,130,cache
40598,DELTA 4 DEB,2,cache
41553,FALCON 9 R/B,456,cache
42979,SL-12 DEB,883,cache
42985,FALCON 9 R/B,426,cache
44187,FALCON 9 R/B,94,cache
45464,TDO 2 SPACECRAFT,79,cache
45497,SL-12 DEB,534,cache
56758,FALCON 9 R/B,277,cache
60607,CZ-7A R/B,21,cache
64785,FALCON 9 R/B,5,cache
68538,ARTEMIS 2 (INTEGRITY),13,cache
17,THOR ABLE R/B,1,fetched
432,EXPLORER 14 (SERB 53A),2,fetched
889,EXPLORER 21 (IMP-2),8,fetched
1460,ERS 17,2,fetched
2817,EXPLORER 34 (IMP-4),8,fetched
2822,MOLNIYA 1-5,219,fetched
3429,ERS 28 (OV5-2),18,fetched
3993,DELTA 1 R/B,0,EMPTY
4336,MOLNIYA 1-13,729,fetched
4779,MOLNIYA 1-16,516,fetched
4829,MOLNIYA 1-17,257,fetched
5043,EXPLORER 43 (IMP-6),4,fetched
5367,MOLNIYA 1-18,554,fetched
5620,MOLNIYA 2-1,222,fetched
5941,PROGNOZ 1,13,fetched
6031,MOLNIYA 2-2,230,fetched
6068,PROGNOZ 2,1,fetched
6208,MOLNIYA 2-3,423,fetched
6231,MOLNIYA 1-21,408,fetched
6294,MOLNIYA 1-22,219,fetched
6308,MOLNIYA 2-4,120,fetched
6356,MOLNIYA 1-23,274,fetched
6418,MOLNIYA 2-5,325,fetched
6805,MOLNIYA 1-24,277,fetched
6877,MOLNIYA 2-7,887,fetched
6932,MOLNIYA 1-25,264,fetched
7248,SL-12 R/B(AUX MOTOR),99,fetched
7249,SL-12 R/B(AUX MOTOR),109,fetched
7325,EXPLORER 52 (HAWKEYE),25,fetched
7568,TITAN 3E CENTAUR R/B(1),0,EMPTY
8414,SL-12 R/B(AUX MOTOR),93,fetched
8415,SL-12 R/B(AUX MOTOR),117,fetched
9540,SL-12 R/B(AUX MOTOR),25,fetched
10276,SL-12 R/B(AUX MOTOR),22,fetched
