jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2455832.22957884,2011.7377948770434,12389.616634019498,0.4699481,63.3939,320.6061,210.8426,189.00353713363984,345.38254426439664,10743.026984559152
2455832.22965218,2011.7377950778368,12383.93519613725,0.4700587,63.408,320.5765,210.9237,184.62241695672856,345.43397197877266,10737.281833535424
2455832.3883972,2011.7382296980152,12384.182083164864,0.4700177,63.4178,320.4473,210.9185,185.26100405450597,345.143108714547,10737.799453026124
2455832.7059049,2011.7390989867217,12384.298113047103,0.4699755,63.4323,320.2087,210.9165,185.84511521873446,344.5895647801923,10738.212471128014
2455832.70590526,2011.7390989877072,12384.47796276964,0.4700138,63.4292,320.202,210.9216,185.46611447202304,344.5879644254102,10738.084871912362
2455832.86464577,2011.7395335955368,12383.552898070397,0.4699782,63.4234,320.1073,210.9203,185.41669743048806,344.33550560674905,10737.546321708875
2455833.18209914,2011.7404027354955,12382.996199465015,0.470003,63.4226,319.8808,210.9214,184.8145367278603,343.7972152215689,10736.880042549768
2455833.34081498,2011.7408372757843,12382.759565162565,0.4700091,63.4229,319.7664,210.9268,184.61358642411687,343.53178071765547,10736.629710078196
2455833.34081498,2011.7408372757843,12382.759565162565,0.4700091,63.4229,319.7664,210.9268,184.61358642411687,343.53178071765547,10736.629710078196
2455833.81693992,2011.742140834826,12381.452999684825,0.4698931,63.43,319.4087,210.9224,185.35736715862367,342.7003994626499,10736.35530219506
2455834.13429313,2011.7430097005615,12380.755518979167,0.4698668,63.433,319.1765,210.9234,185.313241694088,342.1564077978153,10735.945081752525
2455834.92760445,2011.745181668583,12378.960512325053,0.4697926,63.4306,318.6076,210.9217,185.2801679425338,340.8038993101479,10734.937381314727
2455836.03795007,2011.7482216292133,12376.463835321661,0.4696892,63.4292,317.8078,210.9208,185.23613768049927,338.9088134832597,10733.536768261132
2455836.6722832,2011.7499583386723,12375.035487099238,0.4696289,63.429,317.3504,210.9208,185.22488383185828,337.8261980779488,10732.743706431113
