jd,year,a_km,e,i_deg,raan_deg,argp_deg,hp_km,azimuth_deg,lambda
2441886.1910535,1973.5556223230662,26178.61807856496,0.7395939,65.3979,55.4926,284.8981,438.9355372285936,219.90666369616525,16650.67626052672
2441894.97265502,1973.5796650377008,26177.042539454298,0.7395733,65.4397,54.1722,284.7446,439.0645043097029,209.77738642774148,16650.31410419046
2441894.97284304,1973.5796655524703,26178.475712627253,0.7395726,65.3978,54.2255,284.695,439.4560658026621,209.78090111068906,16651.24744269554
2441897.9003019,1973.5876804980157,26179.184921951004,0.7398517,65.4776,53.7518,284.591,432.33415283118666,206.31782071435703,16643.02436166542
2441897.90038521,1973.587680726105,26179.482192780113,0.7395728,65.3977,53.8031,284.6273,439.71294491558456,206.40533860222672,16651.88141733911
2441914.00130073,1973.6317626303348,26179.783729904924,0.7401267,65.4308,51.3253,284.2006,425.2904911767009,187.6313530794481,16634.85156787339
2441919.85594433,1973.6477917709237,26179.361444115388,0.7397949,65.5064,50.5009,284.155,433.86706250218776,180.99086246747743,16644.90242953701
2441937.90820398,1973.6972161642161,26179.05898248612,0.7397981,65.5062,47.9037,283.7146,433.7045874549549,160.16048088218116,16644.610647863923
2441940.83565934,1973.705231100178,26179.574586034374,0.7403783,65.4782,47.2059,283.6448,418.6493593030391,156.5075039359117,16626.887408316197
2441955.96034976,1973.7466402457496,26178.413385565145,0.7399711,65.5123,44.7612,283.4489,429.00773639378076,138.9596115301681,16638.8210946466
2441985.72099163,1973.828120442519,26177.073613724297,0.7399779,65.7026,40.4028,282.4223,428.48135289518086,104.24174069311812,16637.758071101904
2441994.99114852,1973.8535007488563,26179.702490299467,0.7401045,65.7058,39.0443,282.165,425.85056856762367,93.48903041170121,16635.490684630182
2442003.77311274,1973.877544456509,26179.1361298082,0.7401576,65.7,37.7753,281.949,424.31326189607535,83.34829565676972,16633.478596569053
2442016.94535126,1973.9136080801088,26177.280664365284,0.7425033,65.7271,35.8087,281.4074,362.4270860478691,67.85719116078906,16559.076639591014
2442032.55701762,1973.9563504931423,26176.249538263524,0.7425694,65.589,33.223,281.031,360.431324384901,49.50782246881056,16556.354209426816
2442034.50845943,1973.9616932496378,26176.633219048217,0.7425663,65.597,32.9537,281.0173,360.61124312249285,47.30143013041061,16556.693983569345
2442063.29301153,1974.040501058261,26178.977748503017,0.7424034,65.7746,28.6251,280.4675,365.47935949003113,14.052219026034436,16563.278517907787
2442097.93017721,1974.1353324495822,26175.433699343746,0.7426885,65.8008,23.2409,279.549,357.1038083286894,333.6102181504086,16552.107298605748
2442118.41954565,1974.1914292830938,26176.537787035795,0.7422624,65.8107,20.2371,278.9922,368.541725539917,309.854758086226,16566.14827159492
2442134.02999782,1974.234168371855,26177.566898185964,0.7418093,65.859,17.7786,278.5387,380.66802173946235,291.55668613220524,16580.97115750397
