norad,name,pool,n_tle,n_plotted,i_mean_deg,lambda_crit,is_resonant,resonance_year,n_crossings,decay_year,first_year,last_year,note,csv_path
42928,42928 PSLV-C39,original97,1347,800,19.1562,11532.0389,0,,0,2019.1663,2017.6650,2019.1596,,data_fullpool/obj_42928.csv
35497,35497 Ariane 5 ESC-A,original97,1547,800,5.7723,12280.7038,1,2016.3519,1,2016.8309,2013.7904,2016.8318,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_35497.csv
37151,37151 Long March 3B,original97,2986,800,24.8755,10924.0475,1,2014.6921,1,2015.9192,2011.3312,2015.9212,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_37151.csv
39615,39615 Proton-M Briz-M,original97,1427,800,48.4803,5641.1395,0,,0,2017.7043,2015.5385,2017.7057,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_39615.csv
27526,27526 Ariane 5 R/B,original97,1343,800,17.7506,11652.2594,1,2011.0141,1,2012.3518,2009.9329,2012.3531,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_27526.csv
32007,32007 GSLV R/B,original97,2544,800,25.8735,10796.1941,0,,0,2010.4271,2007.7621,2010.4286,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_32007.csv
37819,37819 Proton-M R/B,original97,1894,800,63.2848,9797.0388,1,2012.6817,1,2013.6961,2011.7378,2013.6982,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_37819.csv
11550,11550 Molniya debris,original97,11668,800,65.6775,10061.8412,0,,0,2025.2717,1979.6524,2025.2553,,data_fullpool/obj_11550.csv
59347,59347 GTO R/B,original97,1018,800,25.3819,10860.0620,1,2026.3514,1,2026.4326,2024.2453,2026.4276,,data_fullpool/obj_59347.csv
40943,40943 GTO debris,original97,2736,800,6.3373,12265.8867,1,2019.7443,1,2020.1355,2015.7465,2020.1324,,data_fullpool/obj_40943.csv
66587,66587 CZ-3B R/B,original97,36,36,51.3248,7165.1372,0,,0,2026.1095,2025.8892,2026.0896,,data_fullpool/obj_66587.csv
60328,60328 CZ-3B R/B,original97,110,110,26.8421,10665.1277,1,2025.2553,1,2025.2827,2024.5835,2025.2553,,data_fullpool/obj_60328.csv
61734,61734 H-3 R/B,original97,62,62,24.4344,10978.3285,0,,0,2025.2197,2024.8431,2025.1885,,data_fullpool/obj_61734.csv
57804,57804 H-2A R/B,original97,55,55,30.2509,10142.9080,0,,0,2025.0062,2023.7020,2024.9928,,data_fullpool/obj_57804.csv
36518,36518 Breeze-M deb tank,original97,2949,800,46.0636,3289.2859,0,,0,2018.8515,2010.3111,2018.8518,inconsistent SATCAT decay date (< last tracked TLE epoch),data_fullpool/obj_36518.csv
30799,30799 Delta2 R/B,original97,1468,800,8.9250,12179.9519,0,,0,2024.3600,2007.1912,2024.1945,,data_fullpool/obj_30799.csv
40777,40777 Ariane 1 deb,original97,14,14,20.0582,11449.1573,0,,0,2016.1027,2015.6055,2015.8479,,data_fullpool/obj_40777.csv
35009,35009 Fregat R/B,original97,1601,800,63.9679,9878.3658,0,,0,2020.6639,2009.3866,2020.5736,,data_fullpool/obj_35009.csv
41688,41688 SL-12 deb,original97,798,798,64.3145,9917.8367,0,,0,2025.3484,2016.5679,2021.2590,,data_fullpool/obj_41688.csv
48259,48259 Cosmos1124 deb,original97,736,736,64.5169,9940.3370,0,,0,2026.4600,2021.3249,2026.4340,,data_fullpool/obj_48259.csv
27906,27906 Cosmos1481 deb,original97,1111,800,66.6296,10152.3168,0,,0,2018.8816,2003.7055,2018.5445,,data_fullpool/obj_27906.csv
27882,27882 Cosmos903 deb,original97,1990,800,65.6465,10058.7613,0,,0,2019.2621,2003.7086,2019.1772,,data_fullpool/obj_27882.csv
39802,39802 SL-12 deb,original97,486,486,65.1712,10010.3942,0,,0,2019.8426,2014.4335,2018.5727,,data_fullpool/obj_39802.csv
28572,28572 SL-12 deb,original97,284,284,46.6018,2983.1297,0,,0,2020.7570,2005.1662,2014.9850,,data_fullpool/obj_28572.csv
46429,46429 SL-12 deb,original97,21,21,64.3584,9922.7500,0,,0,2021.7947,2020.6914,2020.8060,,data_fullpool/obj_46429.csv
44591,44591 CZ-3A deb,original97,44,44,55.1742,8366.7908,0,,0,2022.1670,2019.7544,2020.3986,,data_fullpool/obj_44591.csv
41695,41695 SL-12 deb,original97,241,241,64.8195,9973.2391,0,,0,2022.3669,2016.5711,2022.1588,,data_fullpool/obj_41695.csv
52205,52205 Cosmos917 deb,original97,33,33,62.0624,9639.2400,0,,0,2022.4819,2022.2796,2022.4459,,data_fullpool/obj_52205.csv
45349,45349 SL-12 deb,original97,354,354,64.3872,9925.9611,0,,0,2022.7693,2020.1972,2022.2698,,data_fullpool/obj_45349.csv
23647,23647 Titan34B deb,original97,209,209,62.9241,9752.1549,0,,0,2024.0726,2019.1895,2021.1926,,data_fullpool/obj_23647.csv
41693,41693 SL-12 deb,original97,91,91,65.6818,10062.2689,0,,0,2023.3498,2016.5665,2018.0364,,data_fullpool/obj_41693.csv
21935,21935 SL-12 deb,original97,6944,800,52.2464,7508.3785,0,,0,2024.4285,1991.4203,2023.6626,,data_fullpool/obj_21935.csv
48264,48264 Cosmos1261 deb,original97,790,790,62.5815,9708.2322,0,,0,2025.3128,2021.3249,2025.2830,,data_fullpool/obj_48264.csv
28589,28589 SL-12 deb,original97,3259,800,65.5546,10049.5764,0,,0,2025.3457,2005.1258,2022.2659,,data_fullpool/obj_28589.csv
29202,29202 Cosmos1261 deb,original97,386,386,62.5181,9699.9723,0,,0,2025.3457,2004.1192,2024.4712,,data_fullpool/obj_29202.csv
32977,32977 Cosmos1109 deb,original97,1168,800,67.9908,10267.9538,0,,0,2025.3457,2008.4284,2023.5285,,data_fullpool/obj_32977.csv
41561,41561 SL-12 deb,original97,396,396,64.7302,9963.6228,0,,0,2025.3457,2016.4985,2022.1230,,data_fullpool/obj_41561.csv
43670,43670 SL-12 deb,original97,60,60,65.2242,10015.8946,0,,0,2025.3457,2018.8775,2020.0611,,data_fullpool/obj_43670.csv
27790,27790 Titan3C TS deb,original97,862,800,26.4710,10716.1781,0,,0,2025.3484,2004.4689,2020.6732,,data_fullpool/obj_27790.csv
27976,27976 SL-12 deb,original97,2055,800,63.2828,9796.7972,0,,0,2025.3484,2003.7582,2016.6559,,data_fullpool/obj_27976.csv
44590,44590 CZ-3A deb,original97,867,800,52.5153,7600.4201,0,,0,2025.3484,2019.7553,2024.0965,,data_fullpool/obj_44590.csv
45493,45493 SL-12 deb,original97,271,271,64.9021,9982.0778,0,,0,2025.3484,2020.2731,2022.0408,,data_fullpool/obj_45493.csv
48090,48090 Cosmos1024 deb,original97,792,792,62.3263,9674.6883,0,,0,2025.3484,2021.2813,2024.9557,,data_fullpool/obj_48090.csv
27035,27035 Ariane2 deb,original97,1374,800,8.1455,12208.9823,0,,0,2025.3511,2001.9782,2023.8812,,data_fullpool/obj_27035.csv
27902,27902 Cosmos1261 deb,original97,2575,800,65.7148,10065.5436,0,,0,2025.4825,2003.7011,2025.3947,,data_fullpool/obj_27902.csv
