norad,name,tle_file,status,i_mean_deg,n_tle,n_crossings,resonance_jd,resonance_date,decay_jd,decay_date,days_resonance_to_decay,days_resonance_to_last_tle,frac_record_pre_resonance
42928,42928 PSLV-C39,input/example_42928.tle.txt,NOT_RESONANT,19.156,1347,0,,,,,,,
35497,35497 Ariane 5 ESC-A,input/example_35497.tle.txt,RESONANT,5.772,1547,1,2457517.5421,2016-05-09,2457692.5000,2016-10-31,175.0,175.3,0.8422
37151,37151 Long March 3B,input/example_37151.tle.txt,RESONANT,24.875,2986,1,2456911.2870,2014-09-10,2457359.5000,2015-12-03,448.2,448.9,0.7322
39615,39615 Proton-M Briz-M,input/example_39615.tle.txt,NOT_RESONANT,48.480,1427,0,,,,,,,
27526,27526 Ariane 5 R/B,input/example_27526.tle.txt,RESONANT,17.751,1343,1,2455566.9414,2011-01-05,2456056.5000,2012-05-09,489.6,490.0,0.4457
32007,32007 GSLV R/B,input/example_32007.tle.txt,NOT_RESONANT,25.873,2544,0,,,,,,,
37819,37819 Proton-M R/B,input/example_37819.tle.txt,RESONANT,63.285,1894,1,2456176.1596,2012-09-05,2456547.5000,2013-09-12,371.3,372.1,0.4803
11550,11550 Molniya debris,input/example_11550.tle.txt,NOT_RESONANT,65.677,11668,0,,,,,,,
59347,59347 GTO R/B,input/example_59347.tle.txt,RESONANT,25.382,1018,1,2461169.8442,2026-05-09,2461199.5000,2026-06-08,29.7,27.8,0.9651
40943,40943 GTO debris,input/example_40943.tle.txt,RESONANT,6.337,2736,1,2458756.6180,2019-09-30,2458899.5000,2020-02-20,142.9,141.7,0.9115
66587,66587 CZ-3B R/B,input/example_66587.tle.txt,NOT_RESONANT,51.325,36,0,,,,,,,
60328,60328 CZ-3B R/B,input/example_60328.tle.txt,RESONANT,26.842,110,1,2460769.4957,2025-04-03,2460779.5000,2025-04-14,10.0,0.0,1.0000
61734,61734 H-3 R/B,input/example_61734.tle.txt,NOT_RESONANT,24.434,62,0,,,,,,,
57804,57804 H-2A R/B,input/example_57804.tle.txt,NOT_RESONANT,30.251,55,0,,,,,,,
36518,36518 Breeze-M deb tank,input/example_36518.tle.txt,NOT_RESONANT,46.064,2949,0,,,,,,,
30799,30799 Delta2 R/B,input/example_30799.tle.txt,NOT_RESONANT,8.925,1468,0,,,,,,,
40777,40777 Ariane 1 deb,input/example_40777.tle.txt,NOT_RESONANT,20.058,14,0,,,,,,,
35009,35009 Fregat R/B,input/example_35009.tle.txt,NOT_RESONANT,63.968,1601,0,,,,,,,
41688,41688 SL-12 deb,input/example_41688.tle.txt,NOT_RESONANT,64.315,798,0,,,,,,,
48259,48259 Cosmos1124 deb,input/example_48259.tle.txt,NOT_RESONANT,64.517,736,0,,,,,,,
27906,27906 Cosmos1481 deb,input/example_27906.tle.txt,NOT_RESONANT,66.630,1111,0,,,,,,,
27882,27882 Cosmos903 deb,input/example_27882.tle.txt,NOT_RESONANT,65.646,1990,0,,,,,,,
39802,39802 SL-12 deb,input/example_39802.tle.txt,NOT_RESONANT,65.171,486,0,,,,,,,
28572,28572 SL-12 deb,input/example_28572.tle.txt,NOT_RESONANT,46.602,284,0,,,,,,,
46429,46429 SL-12 deb,input/example_46429.tle.txt,NOT_RESONANT,64.358,21,0,,,,,,,
44591,44591 CZ-3A deb,input/example_44591.tle.txt,NOT_RESONANT,55.174,44,0,,,,,,,
41695,41695 SL-12 deb,input/example_41695.tle.txt,NOT_RESONANT,64.819,241,0,,,,,,,
52205,52205 Cosmos917 deb,input/example_52205.tle.txt,NOT_RESONANT,62.062,33,0,,,,,,,
45349,45349 SL-12 deb,input/example_45349.tle.txt,NOT_RESONANT,64.387,354,0,,,,,,,
23647,23647 Titan34B deb,input/example_23647.tle.txt,NOT_RESONANT,62.924,209,0,,,,,,,
41693,41693 SL-12 deb,input/example_41693.tle.txt,NOT_RESONANT,65.682,91,0,,,,,,,
21935,21935 SL-12 deb,input/example_21935.tle.txt,NOT_RESONANT,52.246,6944,0,,,,,,,
48264,48264 Cosmos1261 deb,input/example_48264.tle.txt,NOT_RESONANT,62.581,790,0,,,,,,,
28589,28589 SL-12 deb,input/example_28589.tle.txt,NOT_RESONANT,65.555,3259,0,,,,,,,
29202,29202 Cosmos1261 deb,input/example_29202.tle.txt,NOT_RESONANT,62.518,386,0,,,,,,,
32977,32977 Cosmos1109 deb,input/example_32977.tle.txt,NOT_RESONANT,67.991,1168,0,,,,,,,
41561,41561 SL-12 deb,input/example_41561.tle.txt,NOT_RESONANT,64.730,396,0,,,,,,,
43670,43670 SL-12 deb,input/example_43670.tle.txt,NOT_RESONANT,65.224,60,0,,,,,,,
27790,27790 Titan3C TS deb,input/example_27790.tle.txt,NOT_RESONANT,26.471,862,0,,,,,,,
27976,27976 SL-12 deb,input/example_27976.tle.txt,NOT_RESONANT,63.283,2055,0,,,,,,,
44590,44590 CZ-3A deb,input/example_44590.tle.txt,NOT_RESONANT,52.515,867,0,,,,,,,
45493,45493 SL-12 deb,input/example_45493.tle.txt,NOT_RESONANT,64.902,271,0,,,,,,,
48090,48090 Cosmos1024 deb,input/example_48090.tle.txt,NOT_RESONANT,62.326,792,0,,,,,,,
27035,27035 Ariane2 deb,input/example_27035.tle.txt,NOT_RESONANT,8.145,1374,0,,,,,,,
27902,27902 Cosmos1261 deb,input/example_27902.tle.txt,NOT_RESONANT,65.715,2575,0,,,,,,,
27901,27901 Cosmos1261 deb,input/example_27901.tle.txt,NOT_RESONANT,65.668,2824,0,,,,,,,
41679,41679 SL-12 deb,input/example_41679.tle.txt,NOT_RESONANT,64.328,532,0,,,,,,,
44892,44892 SL-12 deb,input/example_44892.tle.txt,NOT_RESONANT,64.687,21,0,,,,,,,
45036,45036 SL-12 deb,input/example_45036.tle.txt,NOT_RESONANT,64.564,220,0,,,,,,,
44563,44563 SL-12 deb,input/example_44563.tle.txt,NOT_RESONANT,65.946,29,0,,,,,,,
3553,3553 Cosmos252 deb,input/example_3553.tle.txt,NOT_RESONANT,62.269,5416,0,,,,,,,
18983,18983 SL-6 R/B(2),input/example_18983.tle.txt,RESONANT,63.698,1250,4,2449249.2545,1993-09-18,2452297.5000,2002-01-23,3048.2,2934.1,0.4066
832,832 SL-3 R/B,input/example_832.tle.txt,NOT_RESONANT,64.925,791,0,,,,,,,
8844,8844 SL-6 R/B(2),input/example_8844.tle.txt,NOT_RESONANT,63.692,732,0,,,,,,,
