norad,name,status,i_mean_deg,n_tle,n_crossings,resonance_jd,resonance_date,decay_jd,decay_date,days_resonance_to_decay,days_resonance_to_last_tle,frac_record_pre_resonance
15,EXPLORER 6,NOT_RESONANT,46.970,8,0,,,,,,,
170,EXPLORER 12,NOT_RESONANT,33.576,3,0,,,,,,,
675,ERS 12,NOT_RESONANT,35.900,7,0,,,,,,,
838,ERS 13,NOT_RESONANT,38.035,6,0,,,,,,,
1621,MOLNIYA 1-2,NOT_RESONANT,65.016,12,0,,,,,,,
2501,MOLNIYA 1-4,NOT_RESONANT,64.857,42,0,,,,,,,
3145,ATLAS AGENA D R/B,NOT_RESONANT,48.970,662,0,,,,,,,
3619,COSMOS 260,NOT_RESONANT,65.005,190,0,,,,,,,
5689,SL-6 R/B(2),NOT_RESONANT,65.459,134,0,,,,,,,
5814,HEOS 2,TOO_FEW_TLES,,2,,,,,,,,
5878,ATLAS CENTAUR R/B(1),NOT_RESONANT,31.441,24,0,,,,,,,
5988,DELTA 1 DEB *,NOT_RESONANT,26.321,445,0,,,,,,,
6034,SL-6 R/B(2),NOT_RESONANT,65.338,229,0,,,,,,,
6364,PROGNOZ 3,NOT_RESONANT,65.002,12,0,,,,,,,
6426,ATLAS CENTAUR R/B(1),NOT_RESONANT,37.115,19,0,,,,,,,
6741,SL-6 R/B(2),NOT_RESONANT,65.573,169,0,,,,,,,
6815,SL-6 R/B(2),NOT_RESONANT,65.331,187,0,,,,,,,
7096,SKYNET 2A,RESONANT,35.362,5,1,2442068.2482,1974-01-20,2442072.5000,1974-01-25,4.3,3.4,0.2989
9888,COSMOS 862 DEB,NOT_RESONANT,64.084,33,0,,,,,,,
9892,COSMOS 862 DEB,NOT_RESONANT,66.344,5990,0,,,,,,,
9893,COSMOS 862 DEB,NOT_RESONANT,62.968,7,0,,,,,,,
9894,COSMOS 862 DEB,NOT_RESONANT,64.084,10,0,,,,,,,
10422,ISEE 1,NOT_RESONANT,34.374,498,0,,,,,,,
10423,ISEE 2,NOT_RESONANT,33.791,433,0,,,,,,,
14095,EXOSAT,NOT_RESONANT,72.072,136,0,,,,,,,
14301,COSMOS 1456 DEB,NOT_RESONANT,63.635,66,0,,,,,,,
14306,COSMOS 1456 DEB,NOT_RESONANT,64.054,38,0,,,,,,,
15201,UKS 1 (AMPTE),NOT_RESONANT,26.953,21,0,,,,,,,
18954,ARIANE 3 DEB (SYLDA),RESONANT,6.900,27,1,2447541.1583,1989-01-14,2447558.5000,1989-02-01,17.3,2.0,0.9934
20352,GRANAT,NOT_RESONANT,77.266,333,0,,,,,,,
