norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.320901,  82.584, 2458643.2412,   18.588, 0, 2458572.2288,   56.18,    5.083, 2458019.6716,   0.0241
42928,2, 0.294920, 112.753, 2458509.4056,   -8.113, 2, 2458572.2288,   56.18,    5.083, 2458100.6070,   0.0384
42928,3, 0.286887,  75.485, 2458518.8148,   -6.287, 0, 2458572.2288,   56.18,    5.083, 2458121.0224,   0.0074
42928,4, 0.279779,  85.245, 2458664.1365,   29.336, 0, 2458572.2288,   56.18,    5.083, 2458141.0908,   0.0101
42928,5, 0.274219,  96.485, 2458577.8156,    8.411, 2, 2458572.2288,   56.18,    5.083, 2458161.3156,   0.0519
42928,6, 0.226321,  98.992, 2458578.2823,   12.587, 2, 2458572.2288,   56.18,    5.083, 2458285.0495,   0.0596
42928,7, 0.138758,  69.544, 2458547.3982,    1.944, 0, 2458572.2288,   56.18,    5.083, 2458447.8303,   0.0227
42928,8, 0.086692,  81.176, 2458538.7357,  -41.467, 2, 2458572.2288,   56.18,    5.083, 2458529.1874,   3.3985
35497,1, 0.604884,  37.597,       0.0000,    0.000, 2, 2457857.6486,  324.34,   38.811, 2457266.9768,   0.0951
35497,2, 0.602391,  92.146,       0.0000,    0.000, 0, 2457857.6486,  324.34,   38.811, 2457348.1694,   0.0116
35497,3, 0.601976,  88.112,       0.0000,    0.000, 0, 2457857.6486,  324.34,   38.811, 2457368.4122,   0.0163
35497,4, 0.597926,  71.342,       0.0000,    0.000, 0, 2457857.6486,  324.34,   38.811, 2457429.3251,   0.0658
35497,5, 0.581070,  84.305, 2458343.0380,  358.093, 0, 2457857.6486,  324.34,   38.811, 2457510.8325,   0.0597
35497,6, 0.559871, 116.099, 2457726.9317,   28.451, 2, 2457857.6486,  324.34,   38.811, 2457571.4778,   3.2119
35497,7, 0.472994, 133.287, 2457678.8649,  -23.274, 2, 2457857.6486,  324.34,   38.811, 2457633.9141,   2.4464
35497,8, 0.358146, 155.990, 2457681.7597,  -76.223, 2, 2457857.6486,  324.34,   38.811, 2457678.4094,  24.3117
37151,1, 0.557628,  60.024,       0.0000,    0.000, 0, 2457414.4829,  217.92,    7.271, 2456603.2714,   0.0095
37151,2, 0.529890,  52.844,       0.0000,    0.000, 0, 2457414.4829,  217.92,    7.271, 2456765.4032,   0.0283
37151,3, 0.516032,  69.120, 2457380.7416,    3.846, 0, 2457414.4829,  217.92,    7.271, 2456807.1762,   0.0152
37151,4, 0.509651,  64.059, 2457247.9708,  -20.982, 0, 2457414.4829,  217.92,    7.271, 2456827.9493,   0.0146
37151,5, 0.480763,  46.617, 2457316.3546,  -10.035, 2, 2457414.4829,  217.92,    7.271, 2456929.5410,   0.0502
37151,6, 0.416404,  53.990, 2457849.5630,  171.353, 0, 2457414.4829,  217.92,    7.271, 2457073.5033,   0.0150
37151,7, 0.368443,  67.303, 2457333.4183,  -12.733, 2, 2457414.4829,  217.92,    7.271, 2457154.6604,   0.1341
37151,8, 0.064274,  73.525, 2457358.8489,  -42.322, 2, 2457414.4829,  217.92,    7.271, 2457357.9616,   4.4118
39615,1, 0.553504,  81.300, 2457619.6926,  -64.556, 0, 2458002.5542,  220.30,   -1.474, 2457404.5731,   0.2008
39615,2, 0.525756,  48.601, 2458260.3501,   43.916, 2, 2458002.5542,  220.30,   -1.474, 2457444.8533,   0.1158
39615,3, 0.493954,  61.185,       0.0000,    0.000, 0, 2458002.5542,  220.30,   -1.474, 2457505.9671,   0.0642
39615,4, 0.483713,  73.741,       0.0000,    0.000, 0, 2458002.5542,  220.30,   -1.474, 2457527.8371,   0.0408
39615,5, 0.442710,  75.979, 2457945.6755,  -16.398, 0, 2458002.5542,  220.30,   -1.474, 2457610.0875,   0.1726
39615,6, 0.335390,  52.533, 2458164.3262,   77.340, 2, 2458002.5542,  220.30,   -1.474, 2457813.8961,   0.1494
39615,7, 0.300873,  61.698, 2458011.1236,   -0.240, 0, 2458002.5542,  220.30,   -1.474, 2457854.7396,   0.0390
39615,8, 0.113839,  51.898, 2458014.1573,   19.960, 0, 2458002.5542,  220.30,   -1.474, 2457998.1868,   0.3344
27526,1, 0.570768,  66.308,       0.0000,    0.000, 0, 2456159.5315,  279.89,   16.736, 2455440.8741,   0.0126
27526,2, 0.498287,  68.155, 2456788.4723,  213.078, 0, 2456159.5315,  279.89,   16.736, 2455712.9766,   0.0198
27526,3, 0.445594,  69.053, 2456065.5118,    4.090, 0, 2456159.5315,  279.89,   16.736, 2455836.1807,   0.0965
27526,4, 0.428637,  77.832, 2456118.7110,   31.065, 0, 2456159.5315,  279.89,   16.736, 2455856.2392,   0.0492
27526,5, 0.409287,  69.714, 2456041.8884,   -8.121, 2, 2456159.5315,  279.89,   16.736, 2455876.5828,   0.0241
27526,6, 0.387646,  65.355, 2456054.7845,   -1.073, 2, 2456159.5315,  279.89,   16.736, 2455896.6431,   0.3864
27526,7, 0.377972,  96.825, 2455990.3374,  -47.323, 2, 2456159.5315,  279.89,   16.736, 2455916.6893,   1.9534
27526,8, 0.129177,  93.161, 2456057.0153,    3.341, 0, 2456159.5315,  279.89,   16.736, 2456041.0769,   0.7503
32007,1, 0.284838,  72.418, 2455533.9211,   18.926, 0, 2455463.6108,  119.20,   11.550, 2454400.1894,   0.0360
32007,2, 0.277239,  39.209, 2455477.3697,   13.572, 2, 2455463.6108,  119.20,   11.550, 2454440.7954,   0.0348
32007,3, 0.264530,  59.977, 2455694.8956,   41.032, 0, 2455463.6108,  119.20,   11.550, 2454521.4854,   0.0088
32007,4, 0.224797,  51.850, 2455462.7438,   18.550, 0, 2455463.6108,  119.20,   11.550, 2454764.5833,   0.0292
32007,5, 0.200007,  59.033, 2455321.8094,   -7.105, 0, 2455463.6108,  119.20,   11.550, 2454907.4498,   0.0165
32007,6, 0.193766,  53.416, 2455490.1684,   32.093, 2, 2455463.6108,  119.20,   11.550, 2454927.6483,   0.0305
32007,7, 0.161406,  56.042, 2455373.4143,    7.554, 0, 2455463.6108,  119.20,   11.550, 2455089.8858,   0.0097
32007,8, 0.051272,  60.229, 2455354.5643,    5.571, 2, 2455463.6108,  119.20,   11.550, 2455334.3974,   0.5441
37819,1, 0.410096,  61.524, 2456652.6347,   25.631, 0, 2456534.6488,   51.31,   -3.133, 2456137.3115,   0.0664
37819,2, 0.376959,  44.321, 2456543.5827,   -1.190, 0, 2456534.6488,   51.31,   -3.133, 2456218.1813,   0.0184
37819,3, 0.354547,  38.534, 2456515.4349,  -11.112, 0, 2456534.6488,   51.31,   -3.133, 2456258.9263,   0.0563
37819,4, 0.344605,  46.541, 2456513.5374,  -12.646, 2, 2456534.6488,   51.31,   -3.133, 2456278.9393,   0.0104
37819,5, 0.321060,  43.484, 2456499.5927,  -21.014, 0, 2456534.6488,   51.31,   -3.133, 2456319.5256,   0.0153
37819,6, 0.292647,  46.641, 2456498.7713,  -26.031, 0, 2456534.6488,   51.31,   -3.133, 2456360.3056,   0.0331
37819,7, 0.274512,  44.341, 2456504.7678,  -25.615, 2, 2456534.6488,   51.31,   -3.133, 2456380.6738,   0.0230
37819,8, 0.046631,  51.477, 2456548.8689,   35.649, 2, 2456534.6488,   51.31,   -3.133, 2456543.6600,   0.3443
11550,1, 0.677736, 115.993,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2445234.0506,   0.0335
11550,2, 0.635212, 111.629,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454085.5949,   0.0279
11550,3, 0.631845, 107.012,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454146.4204,   0.0369
11550,4, 0.620738, 156.886,       0.0000,    0.000, 2, 2460763.8660,    0.00,   -0.075, 2454329.3989,   0.0289
11550,5, 0.596766, 130.067,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454688.8150,   0.0176
11550,6, 0.595516, 133.382,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454709.4256,   0.0391
11550,7, 0.581271, 133.084,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454949.2009,   0.0281
11550,8, 0.715628, 159.020, 2460763.8660,  -23.455, 2, 2460763.8660,    0.00,   -0.075, 2460725.8981,   4.6730
59347,1, 0.819890,  84.379,       0.0000,    0.000, 0, 2461143.1110,   40.66,   -7.307, 2460427.7600,   0.1010
59347,2, 0.819019,  26.347,       0.0000,    0.000, 2, 2461143.1110,   40.66,   -7.307, 2460566.1970,   0.4821
59347,3, 0.818400,  28.553,       0.0000,    0.000, 2, 2461143.1110,   40.66,   -7.307, 2460588.9092,   0.4699
59347,4, 0.815966,  86.302,       0.0000,    0.000, 0, 2461143.1110,   40.66,   -7.307, 2460660.6975,   0.0223
59347,5, 0.786168, 159.800, 2461117.8538,  -59.907, 2, 2461143.1110,   40.66,   -7.307, 2461063.2107,  21.4339
59347,6, 0.784415, 191.152, 2461108.9049,  -86.115, 2, 2461143.1110,   40.66,   -7.307, 2461094.2977, 160.4659
59347,7, 0.723687, 196.015, 2461146.5501,  -70.259, 2, 2461143.1110,   40.66,   -7.307, 2461124.1365,  37.3732
59347,8, 0.293073, 266.803, 2461199.1351,   -2.364, 2, 2461143.1110,   40.66,   -7.307, 2461184.0621,   3.1756
40943,1, 0.639584,   9.170,       0.0000,    0.000, 2, 2458976.2978,   61.99,    8.967, 2458043.0264,   0.3845
40943,2, 0.617983,  12.648,       0.0000,    0.000, 2, 2458976.2978,   61.99,    8.967, 2458516.7971,   0.1033
40943,3, 0.616339,  10.525,       0.0000,    0.000, 2, 2458976.2978,   61.99,    8.967, 2458578.3000,   0.0763
40943,4, 0.604772,  24.534,       0.0000,    0.000, 2, 2458976.2978,   61.99,    8.967, 2458679.2097,   0.0149
40943,5, 0.599768,  12.869,       0.0000,    0.000, 2, 2458976.2978,   61.99,    8.967, 2458699.4359,   0.0401
40943,6, 0.553048,  13.593, 2458971.5562,   60.538, 2, 2458976.2978,   61.99,    8.967, 2458780.4732,   0.1489
40943,7, 0.524041,  27.449, 2459040.5197,  143.067, 2, 2458976.2978,   61.99,    8.967, 2458800.9310,   0.1625
40943,8, 0.273496,  32.096, 2458916.8176,   97.626, 2, 2458976.2978,   61.99,    8.967, 2458881.7613,   2.4533
66587,1, 0.751605,  17.889, 2461084.8332,    4.142, 2, 2461080.3729,    4.62,   -1.401, 2461001.0294,   0.2499
66587,2, 0.751313,  34.942, 2461080.6819,   -1.493, 2, 2461080.3729,    4.62,   -1.401, 2461026.7016,   0.4352
66587,3, 0.749075, 246.119, 2461075.6036,  -17.631, 2, 2461080.3729,    4.62,   -1.401, 2461048.0567,   1.3173
60328,1, 0.722151,  52.525,       0.0000,    0.000, 0, 2460811.8958,   99.37,   13.281, 2460535.5803,   0.0479
60328,2, 0.715398,  45.442,       0.0000,    0.000, 0, 2460811.8958,   99.37,   13.281, 2460561.1855,   0.0944
60328,3, 0.711470,  30.678, 2460988.0512,  105.281, 2, 2460811.8958,   99.37,   13.281, 2460581.4096,   0.0681
60328,4, 0.707897,  52.007, 2460747.8075,  -17.858, 0, 2460811.8958,   99.37,   13.281, 2460602.0309,   0.0572
60328,5, 0.690482,  95.934, 2460764.2707,  -22.125, 2, 2460811.8958,   99.37,   13.281, 2460710.6662,   2.6806
60328,6, 0.674421, 120.703, 2460776.8395,   -5.549, 2, 2460811.8958,   99.37,   13.281, 2460731.5562,   3.3189
60328,7, 0.566186,  79.473, 2460782.5101,   15.133, 0, 2460811.8958,   99.37,   13.281, 2460759.6094,   3.6922
61734,1, 0.720118,  16.286, 2461804.2415,  759.739, 2, 2461007.0522,  531.63,  181.681, 2460618.5919,   1.8524
61734,2, 0.725278,  75.050, 2460760.2483,    3.213, 0, 2461007.0522,  531.63,  181.681, 2460639.8356,   0.0255
61734,3, 0.722744, 100.980, 2460734.0847,  -23.718, 0, 2461007.0522,  531.63,  181.681, 2460661.9940,   0.0649
61734,4, 0.721095, 124.016, 2460729.6342,  -38.505, 2, 2461007.0522,  531.63,  181.681, 2460686.7280,   1.2950
57804,ERR,,,,,,,,,,  2
56758,1, 0.818095, 115.656,       0.0000,    0.000, 0, 2460527.7958,    0.00,   -4.366, 2460096.1620,   0.0716
56758,2, 0.820544,  83.369, 2460527.7958,  -10.330, 2, 2460527.7958,    0.00,   -4.366, 2460356.7538,   0.3336
30799,1, 0.858149, 110.159,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2456578.2708,   0.1281
30799,2, 0.857876,  88.333,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2456601.5624,   0.2589
