norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.278910,  97.228, 2458654.5838,   27.204, 0, 2458582.5652,   52.63,    9.244, 2458144.5142,   0.0546
42928,2, 0.273241, 143.273, 2458627.3653,   21.502, 0, 2458582.5652,   52.63,    9.244, 2458164.7706,   0.0809
42928,3, 0.269937, 142.049, 2458593.2957,   12.895, 0, 2458582.5652,   52.63,    9.244, 2458174.8482,   0.1126
42928,4, 0.261518, 100.071, 2458488.5463,  -16.263, 0, 2458582.5652,   52.63,    9.244, 2458195.2898,   0.0579
42928,5, 0.235650,  98.739, 2458595.9588,   17.514, 0, 2458582.5652,   52.63,    9.244, 2458257.3967,   0.0179
42928,6, 0.210645,  72.515, 2458606.2435,   26.902, 0, 2458582.5652,   52.63,    9.244, 2458319.7016,   0.0210
42928,7, 0.163515,  77.640, 2458549.0400,    2.672, 0, 2458582.5652,   52.63,    9.244, 2458413.0026,   0.0344
42928,8, 0.133755,  97.316, 2458545.4885,   -0.013, 0, 2458582.5652,   52.63,    9.244, 2458455.4717,   0.0080
35497,1, 0.599219,  79.657,       0.0000,    0.000, 0, 2458044.4804,  335.25,  126.721, 2457414.7405,   0.0207
35497,2, 0.593955,  64.930, 2458177.2997,  205.517, 0, 2458044.4804,  335.25,  126.721, 2457456.6072,   0.0161
35497,3, 0.578120,  78.824, 2458382.7864,  397.575, 0, 2458044.4804,  335.25,  126.721, 2457518.8760,   0.0316
35497,4, 0.574194,  94.157, 2458399.0485,  432.761, 0, 2458044.4804,  335.25,  126.721, 2457529.2349,   0.0305
35497,5, 0.564825, 129.342, 2458265.8294,  400.759, 0, 2458044.4804,  335.25,  126.721, 2457549.4390,   0.0214
35497,6, 0.546586, 159.914, 2457732.3075,   35.448, 2, 2458044.4804,  335.25,  126.721, 2457580.2007,   0.9176
35497,7, 0.499512, 159.174, 2457671.2501,  -30.009, 2, 2458044.4804,  335.25,  126.721, 2457621.6887,   1.8861
35497,8, 0.386141, 159.446, 2457682.8414,  -27.970, 2, 2458044.4804,  335.25,  126.721, 2457657.9677,   2.3140
37151,1, 0.574555,  80.083,       0.0000,    0.000, 2, 2457403.2901,   73.68,    4.273, 2456334.7299,   0.1721
37151,2, 0.531067,  82.383,       0.0000,    0.000, 2, 2457403.2901,   73.68,    4.273, 2456759.2355,   0.4065
37151,3, 0.508624,  83.212, 2457301.4815,  -10.994, 2, 2457403.2901,   73.68,    4.273, 2456831.7868,   0.1310
37151,4, 0.498199,  83.309,       0.0000,    0.000, 2, 2457403.2901,   73.68,    4.273, 2456872.9181,   0.1929
37151,5, 0.485647,  80.172, 2457469.8172,   24.778, 2, 2457403.2901,   73.68,    4.273, 2456914.2694,   0.2460
37151,6, 0.481794,  80.062, 2457441.8018,   18.911, 2, 2457403.2901,   73.68,    4.273, 2456924.3011,   0.2983
37151,7, 0.460717,  80.792,       0.0000,    0.000, 2, 2457403.2901,   73.68,    4.273, 2456977.5285,   0.2445
37151,8, 0.317699, 101.621, 2457400.0599,   28.079, 0, 2457403.2901,   73.68,    4.273, 2457215.0525,   0.0748
39615,1, 0.547646,  74.530, 2457678.6804,  -55.646, 0, 2458006.6828,  188.06,   -0.805, 2457413.4012,   0.0159
39615,2, 0.526041,  64.831,       0.0000,    0.000, 0, 2458006.6828,  188.06,   -0.805, 2457444.8533,   0.0101
39615,3, 0.469608,  77.967,       0.0000,    0.000, 0, 2458006.6828,  188.06,   -0.805, 2457559.4007,   0.0454
39615,4, 0.443136,  76.328, 2457944.8927,  -16.636, 0, 2458006.6828,  188.06,   -0.805, 2457611.1084,   0.0316
39615,5, 0.330206,  75.662, 2458244.8489,  123.157, 0, 2458006.6828,  188.06,   -0.805, 2457822.0267,   0.0073
39615,6, 0.313471,  74.120, 2458046.8609,   20.918, 0, 2458006.6828,  188.06,   -0.805, 2457842.4516,   0.0259
39615,7, 0.302742,  73.800, 2458041.3372,   18.822, 0, 2458006.6828,  188.06,   -0.805, 2457852.9750,   0.0064
39615,8, 0.281833,  72.209, 2458083.4764,   52.429, 0, 2458006.6828,  188.06,   -0.805, 2457874.2168,   0.0141
27526,1, 0.563726,  45.329,       0.0000,    0.000, 0, 2456169.1544,  200.60,   19.401, 2455475.8262,   0.0192
27526,2, 0.510500,  48.227,       0.0000,    0.000, 0, 2456169.1544,  200.60,   19.401, 2455670.6838,   0.0192
27526,3, 0.495117,  78.430, 2456575.9952,  155.776, 0, 2456169.1544,  200.60,   19.401, 2455723.0121,   0.0138
27526,4, 0.407405,  80.586, 2456089.8724,   18.757, 0, 2456169.1544,  200.60,   19.401, 2455878.5793,   0.0094
27526,5, 0.361396,  67.681, 2456098.5684,   30.747, 0, 2456169.1544,  200.60,   19.401, 2455919.6779,   0.0981
27526,6, 0.347942,  83.704, 2456069.4712,   10.243, 0, 2456169.1544,  200.60,   19.401, 2455929.8638,   0.1069
27526,7, 0.305984,  88.363, 2456122.9496,   69.746, 0, 2456169.1544,  200.60,   19.401, 2455961.2258,   0.0791
27526,8, 0.119277, 142.557, 2456058.0698,   12.591, 2, 2456169.1544,  200.60,   19.401, 2456044.0327,   0.4525
32007,1, 0.286901,  58.645,       0.0000,    0.000, 0, 2455564.6449,  138.75,   21.692, 2454380.1055,   0.0240
32007,2, 0.252713,  55.423, 2455833.2045,   62.349, 0, 2455564.6449,  138.75,   21.692, 2454584.1149,   0.0041
32007,3, 0.250844,  86.766, 2455500.6290,   19.390, 0, 2455564.6449,  138.75,   21.692, 2454594.7150,   0.0107
32007,4, 0.222669,  78.021, 2455625.8239,   47.520, 0, 2455564.6449,  138.75,   21.692, 2454780.4262,   0.0120
32007,5, 0.181223,  71.595, 2455602.9527,   67.788, 0, 2455564.6449,  138.75,   21.692, 2454985.5125,   0.0099
32007,6, 0.141301,  69.714, 2455451.5639,   48.466, 0, 2455564.6449,  138.75,   21.692, 2455151.1651,   0.0145
32007,7, 0.136757,  68.908, 2455508.3017,   80.813, 0, 2455564.6449,  138.75,   21.692, 2455161.9451,   0.0168
32007,8, 0.108401,  62.259, 2455430.0386,   71.357, 0, 2455564.6449,  138.75,   21.692, 2455246.2383,   0.0155
37819,1, 0.445924,  59.908, 2456324.9217,  -42.036, 0, 2456525.8144,   81.50,   -4.096, 2456018.0112,   0.0551
37819,2, 0.342001,  69.049, 2456564.4290,    6.437, 0, 2456525.8144,   81.50,   -4.096, 2456284.5238,   0.0432
37819,3, 0.316974,  64.623, 2456545.5391,   -0.884, 0, 2456525.8144,   81.50,   -4.096, 2456325.5660,   0.0402
37819,4, 0.295227,  71.939, 2456547.1548,   -0.181, 0, 2456525.8144,   81.50,   -4.096, 2456356.4192,   0.0507
37819,5, 0.276427,  65.997, 2456550.0807,    1.528, 0, 2456525.8144,   81.50,   -4.096, 2456378.6179,   0.0574
37819,6, 0.266158,  55.719, 2456552.3771,    3.070, 0, 2456525.8144,   81.50,   -4.096, 2456388.6288,   0.0358
37819,7, 0.235054,  61.535, 2456556.9775,    7.369, 0, 2456525.8144,   81.50,   -4.096, 2456418.8942,   0.0853
37819,8, 0.223201,  57.934, 2456565.0355,   14.839, 0, 2456525.8144,   81.50,   -4.096, 2456429.3274,   0.0332
11550,1, 0.619886,  88.915,       0.0000,    0.000, 2, 2460777.1789,    0.00,    0.026, 2454342.4691,   0.0183
11550,2, 0.596372, 153.276,       0.0000,    0.000, 2, 2460777.1789,    0.00,    0.026, 2454695.3503,   0.0185
11550,3, 0.592522, 126.737,       0.0000,    0.000, 0, 2460777.1789,    0.00,    0.026, 2454757.1795,   0.0137
11550,4, 0.588210, 117.090,       0.0000,    0.000, 0, 2460777.1789,    0.00,    0.026, 2454827.0514,   0.0156
11550,5, 0.584576, 115.993,       0.0000,    0.000, 0, 2460777.1789,    0.00,    0.026, 2454888.8801,   0.0103
11550,6, 0.581826, 144.773,       0.0000,    0.000, 0, 2460777.1789,    0.00,    0.026, 2454939.1470,   0.0108
11550,7, 0.581281, 103.101,       0.0000,    0.000, 0, 2460777.1789,    0.00,    0.026, 2454949.2009,   0.0112
11550,8, 0.752408,  87.118, 2460777.1789,    0.968, 2, 2460777.1789,    0.00,    0.026, 2460601.9741,   0.4802
59347,1, 0.819565, 103.827,       0.0000,    0.000, 0, 2461162.4641,   34.78,   -5.569, 2460534.4584,   0.1193
59347,2, 0.819518,  87.783,       0.0000,    0.000, 2, 2461162.4641,   34.78,   -5.569, 2460545.0457,   0.1699
59347,3, 0.819364,  82.645,       0.0000,    0.000, 2, 2461162.4641,   34.78,   -5.569, 2460555.6267,   0.2075
59347,4, 0.819097,  81.934,       0.0000,    0.000, 2, 2461162.4641,   34.78,   -5.569, 2460566.1970,   0.3057
59347,5, 0.818857,  92.416,       0.0000,    0.000, 0, 2461162.4641,   34.78,   -5.569, 2460576.7522,   0.3571
59347,6, 0.817712,  80.629, 2461131.5158,  -34.428, 2, 2461162.4641,   34.78,   -5.569, 2461002.0347,   0.7552
59347,7, 0.638424, 159.957, 2461155.7796,  -70.014, 2, 2461162.4641,   34.78,   -5.569, 2461137.0553,  18.3554
59347,8, 0.221915, 159.476, 2461200.0968,    6.795, 2, 2461162.4641,   34.78,   -5.569, 2461190.7164,   1.0060
40943,1, 0.682767,   6.099,       0.0000,    0.000, 2, 2459159.0618,  228.99,   19.414, 2457562.5008,   0.3399
40943,2, 0.643945,   9.823,       0.0000,    0.000, 2, 2459159.0618,  228.99,   19.414, 2458012.6586,   0.1211
40943,3, 0.596234,  25.019,       0.0000,    0.000, 2, 2459159.0618,  228.99,   19.414, 2458710.9556,   0.0285
40943,4, 0.583622,  18.215, 2459538.8882,  404.846, 2, 2459159.0618,  228.99,   19.414, 2458741.5665,   0.0228
40943,5, 0.561292,  19.975, 2459088.5547,  149.211, 2, 2459159.0618,  228.99,   19.414, 2458772.7973,   0.0255
40943,6, 0.498926,  54.459, 2459187.7430,  340.339, 0, 2459159.0618,  228.99,   19.414, 2458814.8072,   0.0584
40943,7, 0.453889,  61.343, 2459025.8062,  196.725, 0, 2459159.0618,  228.99,   19.414, 2458835.2954,   0.1039
40943,8, 0.392450,  47.023, 2458954.3171,  125.859, 0, 2459159.0618,  228.99,   19.414, 2458855.9455,   0.1287
66587,1, 0.749662, 159.476, 2461073.5593,  -22.456, 2, 2461072.8158,    1.05,  -24.558, 2461046.1380,   1.0885
66587,2, 0.748443, 159.983, 2461072.0724,  -37.829, 2, 2461072.8158,    1.05,  -24.558, 2461056.5780,   4.4987
60328,1, 0.719739,  48.119,       0.0000,    0.000, 0, 2460899.6483,  232.51,   50.888, 2460543.3944,   0.0219
60328,2, 0.715438,  48.950,       0.0000,    0.000, 0, 2460899.6483,  232.51,   50.888, 2460561.1855,   0.0268
60328,3, 0.713228,  40.581, 2461340.6169,  270.340, 0, 2460899.6483,  232.51,   50.888, 2460571.9400,   0.0897
60328,4, 0.711364,  33.294, 2460979.9929,  101.616, 2, 2460899.6483,  232.51,   50.888, 2460582.1951,   0.0173
60328,5, 0.709201,  60.308, 2460795.0914,    8.348, 0, 2460899.6483,  232.51,   50.888, 2460592.7378,   0.0416
60328,6, 0.707684,  55.235, 2460742.3043,  -21.143, 0, 2460899.6483,  232.51,   50.888, 2460603.5738,   0.0169
60328,7, 0.688960,  90.558, 2460764.1034,  -22.368, 0, 2460899.6483,  232.51,   50.888, 2460710.6662,   0.1116
60328,8, 0.682683, 111.959, 2460775.7811,   -6.356, 0, 2460899.6483,  232.51,   50.888, 2460720.9889,   0.1729
61734,1, 0.727867,  59.350, 2460963.7614,  155.607, 0, 2460791.4148,   97.34,   26.213, 2460623.3050,   0.1199
61734,2, 0.726029,  68.623, 2460768.4641,    9.761, 0, 2460791.4148,   97.34,   26.213, 2460633.9261,   0.0088
61734,3, 0.724704,  70.645, 2460751.8785,   -4.109, 0, 2460791.4148,   97.34,   26.213, 2460644.0402,   0.0258
61734,4, 0.723479,  81.998, 2460742.5197,  -13.651, 0, 2460791.4148,   97.34,   26.213, 2460654.0850,   0.0948
61734,5, 0.720373, 159.885, 2460730.4504,  -37.335, 2, 2460791.4148,   97.34,   26.213, 2460686.7280,   0.3431
57804,ERR,,,,,,,,,,  2
56758,1, 0.818096, 155.652,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2460096.1620,   0.4960
56758,2, 0.817815, 131.256,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2460106.1969,   0.0512
30799,1, 0.858135, 149.497,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2456578.2708,   0.7848
30799,2, 0.858446, 114.723,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2458496.5784,   1.5712
30799,3, 0.858822,  82.678,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2459681.3083,   0.0693
44187,ERR,,,,,,,,,,  2
35009,1, 0.731122,  24.952,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2455583.6372,   0.0133
35009,2, 0.729095,  57.317,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2455648.2788,   0.0142
35009,3, 0.728748,  77.251,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2455671.2648,   0.0148
35009,4, 0.728613,  53.549,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2455682.5241,   0.0148
35009,5, 0.728287,  72.475,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2455704.1525,   0.0114
35009,6, 0.723375,  16.100,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2455908.6343,   0.0343
35009,7, 0.713827,  24.559,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2456198.6737,   0.0266
35009,8, 0.713313, 151.352,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2456209.7594,   0.0301
41553,ERR,,,,,,,,,,  2
48259,ERR,,,,,,,,,,  2
27906,1, 0.657958, 128.952,       0.0000,    0.000, 0, 2458541.6515,   46.87,    2.292, 2454072.6598,   0.0580
27906,2, 0.659557,  99.549,       0.0000,    0.000, 0, 2458541.6515,   46.87,    2.292, 2454771.7075,   0.0174
27906,3, 0.745002,  81.834, 2458508.5102,   38.077, 2, 2458541.6515,   46.87,    2.292, 2458265.5147,   0.0921
27906,4, 0.745349,  83.756, 2458574.7928,  100.378, 2, 2458541.6515,   46.87,    2.292, 2458308.7093,   0.2261
27882,1, 0.749580,   4.290, 2458621.6299,   13.046, 2, 2458618.3282,   34.15,   11.999, 2458265.2434,   0.2608
27882,2, 0.749176,   6.817, 2458605.1877,    9.002, 2, 2458618.3282,   34.15,   11.999, 2458306.2411,   0.1199
27882,3, 0.749128,   7.087, 2458594.7075,    5.395, 2, 2458618.3282,   34.15,   11.999, 2458317.1760,   0.0937
27882,4, 0.746812,   9.264, 2458635.2333,   32.862, 2, 2458618.3282,   34.15,   11.999, 2458413.9468,   0.4151
27882,5, 0.743801,   7.059, 2458676.7002,   71.483, 2, 2458618.3282,   34.15,   11.999, 2458445.9221,   0.5999
27882,6, 0.742651,   5.099, 2458650.0952,   56.086, 2, 2458618.3282,   34.15,   11.999, 2458456.4137,   0.7191
27882,7, 0.732857,   5.261, 2458583.9790,    5.137, 2, 2458618.3282,   34.15,   11.999, 2458512.7771,   1.8625
27882,8, 0.726548,   4.528, 2458579.0931,   -2.440, 2, 2458618.3282,   34.15,   11.999, 2458522.8476,   3.6241
39802,1, 0.575932,  27.467, 2459145.7732,   40.005, 0, 2459191.2512,  198.39,   45.155, 2457909.4224,   0.0641
39802,2, 0.575845,  12.983, 2459198.2944,   46.480, 2, 2459191.2512,  198.39,   45.155, 2457919.4445,   0.0538
39802,3, 0.572263,  28.235, 2459540.5926,  106.806, 2, 2459191.2512,  198.39,   45.155, 2458092.0754,   0.0338
39802,4, 0.572237,   8.879, 2459325.9889,   77.305, 2, 2459191.2512,  198.39,   45.155, 2458102.3908,   0.0214
39802,5, 0.572167,  14.439, 2459277.2115,   71.537, 2, 2459191.2512,  198.39,   45.155, 2458114.9369,   0.0165
39802,6, 0.572139,  12.136, 2459141.7670,   52.767, 2, 2459191.2512,  198.39,   45.155, 2458130.6007,   0.0358
39802,7, 0.571709,   8.716, 2459009.8936,   34.254, 2, 2459191.2512,  198.39,   45.155, 2458157.8451,   0.0772
39802,8, 0.569119,  21.640, 2458890.4884,   17.253, 2, 2459191.2512,  198.39,   45.155, 2458224.5511,   0.0853
28572,ERR,,,,,,,,,,  2
46429,ERR,,,,,,,,,,  2
44591,ERR,,,,,,,,,,  2
41695,1, 0.560978,   3.192,       0.0000,    0.000, 2, 2460007.7205,  125.16,   13.847, 2457596.9349,   0.1124
41695,2, 0.546131,  63.897, 2460112.7193,   30.815, 2, 2460007.7205,  125.16,   13.847, 2458422.2287,   0.1464
41695,3, 0.559312,   2.810, 2459869.2174,   29.905, 2, 2460007.7205,  125.16,   13.847, 2459197.1428,   0.2295
41695,4, 0.555074,  12.212, 2460041.2249,   67.166, 2, 2460007.7205,  125.16,   13.847, 2459228.0536,   0.1958
41695,5, 0.547125,  34.397,       0.0000,    0.000, 0, 2460007.7205,  125.16,   13.847, 2459386.5977,   0.0473
41695,6, 0.547419,  42.121,       0.0000,    0.000, 2, 2460007.7205,  125.16,   13.847, 2459396.9325,   0.1031
52205,1, 0.751345,  73.889, 2459745.0109,  -15.349, 0, 2459750.8792,    7.47,   -7.509, 2459681.6453,   0.0488
52205,2, 0.750966,  74.410, 2459744.6133,  -18.683, 0, 2459750.8792,    7.47,   -7.509, 2459692.8756,   0.0488
52205,3, 0.749770,  80.560, 2459747.1794,  -17.600, 0, 2459750.8792,    7.47,   -7.509, 2459703.5431,   0.0487
52205,4, 0.747304, 115.602, 2459749.9033,  -15.382, 0, 2459750.8792,    7.47,   -7.509, 2459713.6130,   0.4628
52205,5, 0.742675,  78.018, 2459754.3310,   -6.759, 0, 2459750.8792,    7.47,   -7.509, 2459724.4115,   0.3672
52205,6, 0.725781,  29.528, 2459764.2370,   36.892, 2, 2459750.8792,    7.47,   -7.509, 2459735.5281,   1.2784
45349,1, 0.579183,   8.139,       0.0000,    0.000, 2, 2460438.4242,  320.44,  112.079, 2459346.7521,   0.3864
45349,2, 0.577811,   7.556, 2460745.9664,  175.439, 2, 2460438.4242,  320.44,  112.079, 2459357.3540,   0.4056
45349,3, 0.573027,   7.390, 2460662.7343,  169.317, 2, 2460438.4242,  320.44,  112.079, 2459388.2848,   0.3652
