norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.278910,  97.228, 2458654.5838,   27.204, 0, 2458582.1451,   42.79,    9.139, 2458144.5142,   0.0546
42928,2, 0.273446, 120.959, 2458556.5938,    2.914, 2, 2458582.1451,   42.79,    9.139, 2458164.7706,   0.0920
42928,3, 0.269873, 145.103, 2458602.5345,   15.388, 0, 2458582.1451,   42.79,    9.139, 2458174.8482,   0.1123
42928,4, 0.261057, 125.377, 2458551.5728,    1.734, 2, 2458582.1451,   42.79,    9.139, 2458195.2898,   0.0976
42928,5, 0.235447, 100.605, 2458602.0532,   19.630, 2, 2458582.1451,   42.79,    9.139, 2458257.3967,   0.0234
42928,6, 0.210606,  74.689, 2458615.3934,   30.954, 0, 2458582.1451,   42.79,    9.139, 2458319.7016,   0.0201
42928,7, 0.163314,  73.184, 2458540.9360,   -3.445, 0, 2458582.1451,   42.79,    9.139, 2458413.0026,   0.0048
42928,8, 0.134058,  84.141, 2458533.4933,  -13.337, 2, 2458582.1451,   42.79,    9.139, 2458455.4717,   0.0426
35497,1, 0.599219,  79.657,       0.0000,    0.000, 0, 2457987.9164,  288.43,  106.357, 2457414.7405,   0.0207
35497,2, 0.593955,  64.930, 2458177.2997,  205.517, 0, 2457987.9164,  288.43,  106.357, 2457456.6072,   0.0161
35497,3, 0.578075,  69.674, 2458286.9639,  342.386, 0, 2457987.9164,  288.43,  106.357, 2457518.8760,   0.0105
35497,4, 0.574179,  84.300, 2458297.6550,  370.658, 2, 2457987.9164,  288.43,  106.357, 2457529.2349,   0.0505
35497,5, 0.565307, 105.074, 2458086.3812,  275.324, 2, 2457987.9164,  288.43,  106.357, 2457549.4390,   0.2126
35497,6, 0.547433, 137.218, 2457697.6636,    4.598, 2, 2457987.9164,  288.43,  106.357, 2457580.2007,   1.3380
35497,7, 0.496803, 186.648, 2457677.3354,  -21.415, 2, 2457987.9164,  288.43,  106.357, 2457621.6887,   1.1566
