norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.278904,  98.172, 2458659.7056,   28.481, 0, 2458593.2953,   40.96,   11.919
42928,2, 0.273450, 125.246, 2458570.2544,    6.502, 2, 2458593.2953,   40.96,   11.919
42928,3, 0.269780, 152.692, 2458625.7523,   21.652, 0, 2458593.2953,   40.96,   11.919
42928,4, 0.261017, 134.217, 2458572.8844,    7.819, 2, 2458593.2953,   40.96,   11.919
42928,5, 0.235395, 106.090, 2458621.2597,   26.296, 2, 2458593.2953,   40.96,   11.919
42928,6, 0.210536,  71.987, 2458603.7231,   25.785, 2, 2458593.2953,   40.96,   11.919
42928,7, 0.163145,  79.031, 2458551.0201,    4.166, 0, 2458593.2953,   40.96,   11.919
42928,8, 0.133778,  93.310, 2458541.7629,   -4.151, 0, 2458593.2953,   40.96,   11.919
35497,1, 0.599285,  76.017,       0.0000,    0.000, 0, 2457988.0606,  288.25,  106.409
35497,2, 0.593955,  64.930, 2458177.2997,  205.517, 0, 2457988.0606,  288.25,  106.409
35497,3, 0.578075,  69.674, 2458286.9639,  342.386, 0, 2457988.0606,  288.25,  106.409
35497,4, 0.574179,  84.300, 2458297.6550,  370.658, 2, 2457988.0606,  288.25,  106.409
35497,5, 0.565307, 105.074, 2458086.3812,  275.324, 2, 2457988.0606,  288.25,  106.409
35497,6, 0.548088, 137.693, 2457698.5941,    5.427, 2, 2457988.0606,  288.25,  106.409
35497,7, 0.496337, 187.163, 2457677.4141,  -21.304, 2, 2457988.0606,  288.25,  106.409
35497,8, 0.378011, 237.039, 2457692.1164,   -1.111, 0, 2457988.0606,  288.25,  106.409
37151,1, 0.574550,  80.410,       0.0000,    0.000, 2, 2457421.1629,  177.14,    6.017
37151,2, 0.531216,  80.315,       0.0000,    0.000, 2, 2457421.1629,  177.14,    6.017
37151,3, 0.508647,  80.088, 2457295.5142,  -12.125, 2, 2457421.1629,  177.14,    6.017
37151,4, 0.498778,  69.033,       0.0000,    0.000, 0, 2457421.1629,  177.14,    6.017
37151,5, 0.486412,  63.867, 2457415.2853,   12.530, 0, 2457421.1629,  177.14,    6.017
37151,6, 0.482568,  42.270, 2457321.1608,   -8.810, 2, 2457421.1629,  177.14,    6.017
37151,7, 0.461529,  51.090, 2457727.8380,   96.431, 0, 2457421.1629,  177.14,    6.017
37151,8, 0.319289,  70.297, 2457346.0165,   -9.335, 2, 2457421.1629,  177.14,    6.017
39615,1, 0.547646,  74.530, 2457678.6804,  -55.646, 0, 2458010.6216,  207.94,   -0.147
39615,2, 0.525968,  51.744, 2458370.0092,   63.269, 0, 2458010.6216,  207.94,   -0.147
39615,3, 0.469644,  58.696,       0.0000,    0.000, 0, 2458010.6216,  207.94,   -0.147
39615,4, 0.442994,  62.813, 2457910.3418,  -25.265, 0, 2458010.6216,  207.94,   -0.147
39615,5, 0.330191,  57.819, 2458104.9211,   49.306, 0, 2458010.6216,  207.94,   -0.147
39615,6, 0.313459,  54.159, 2457988.4479,  -13.636, 2, 2458010.6216,  207.94,   -0.147
39615,7, 0.302730,  54.800, 2457992.8152,  -11.787, 0, 2458010.6216,  207.94,   -0.147
39615,8, 0.281633,  54.646, 2458029.1354,   12.846, 0, 2458010.6216,  207.94,   -0.147
27526,1, 0.563687,  48.965,       0.0000,    0.000, 0, 2456152.2062,  209.41,   16.482
27526,2, 0.510668,  42.409,       0.0000,    0.000, 0, 2456152.2062,  209.41,   16.482
27526,3, 0.495117,  78.430, 2456575.9952,  155.776, 0, 2456152.2062,  209.41,   16.482
27526,4, 0.407347,  67.106, 2456051.4668,   -2.829, 0, 2456152.2062,  209.41,   16.482
27526,5, 0.360196,  50.085, 2456055.4795,   -0.746, 2, 2456152.2062,  209.41,   16.482
27526,6, 0.347667,  72.073, 2456052.5314,   -3.134, 2, 2456152.2062,  209.41,   16.482
27526,7, 0.305716,  88.102, 2456122.1583,   68.915, 0, 2456152.2062,  209.41,   16.482
27526,8, 0.125994, 107.600, 2456055.6061,   -7.170, 2, 2456152.2062,  209.41,   16.482
32007,1, 0.286916,  62.732,       0.0000,    0.000, 0, 2455469.7841,  163.29,   11.946
32007,2, 0.252713,  55.423, 2455833.2045,   62.349, 0, 2455469.7841,  163.29,   11.946
32007,3, 0.250808,  72.172, 2455392.1861,    5.098, 0, 2455469.7841,  163.29,   11.946
32007,4, 0.222730,  60.615, 2455438.3563,   14.807, 0, 2455469.7841,  163.29,   11.946
32007,5, 0.181111,  56.317, 2455464.1001,   30.055, 0, 2455469.7841,  163.29,   11.946
32007,6, 0.141192,  52.622, 2455376.9556,   11.592, 2, 2455469.7841,  163.29,   11.946
32007,7, 0.136880,  47.279, 2455399.0901,   23.800, 2, 2455469.7841,  163.29,   11.946
32007,8, 0.108201,  46.902, 2455384.5962,   28.991, 0, 2455469.7841,  163.29,   11.946
37819,1, 0.445884,  61.368, 2456326.7633,  -41.689, 0, 2456490.2386,   67.16,  -10.814
37819,2, 0.341947,  55.216, 2456527.3740,   -7.653, 0, 2456490.2386,   67.16,  -10.814
37819,3, 0.317051,  45.874, 2456500.5892,  -21.137, 0, 2456490.2386,   67.16,  -10.814
37819,4, 0.295529,  49.108, 2456498.5722,  -25.606, 0, 2456490.2386,   67.16,  -10.814
37819,5, 0.276650,  45.762, 2456504.2227,  -25.626, 2, 2456490.2386,   67.16,  -10.814
37819,6, 0.266095,  39.932, 2456510.8491,  -23.070, 2, 2456490.2386,   67.16,  -10.814
37819,7, 0.234699,  47.565, 2456526.7827,  -16.109, 2, 2456490.2386,   67.16,  -10.814
37819,8, 0.223617,  41.100, 2456526.7552,  -17.555, 0, 2456490.2386,   67.16,  -10.814
