norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320901,  82.584, 2458643.2412,   18.588, 0, 2458595.9717,   56.82,    9.599
42928,2, 0.294667, 128.408, 2458570.1169,    5.533, 0, 2458595.9717,   56.82,    9.599
42928,3, 0.286594,  87.527, 2458574.9673,    6.942, 0, 2458595.9717,   56.82,    9.599
42928,4, 0.279679,  93.243, 2458715.9979,   42.160, 0, 2458595.9717,   56.82,    9.599
42928,5, 0.273906, 108.437, 2458628.0568,   21.489, 0, 2458595.9717,   56.82,    9.599
42928,6, 0.225931, 111.759, 2458616.9761,   27.443, 0, 2458595.9717,   56.82,    9.599
42928,7, 0.138547,  85.227, 2458569.8847,   24.966, 0, 2458595.9717,   56.82,    9.599
42928,8, 0.075374, 156.439, 2458544.0447,   -8.921, 2, 2458595.9717,   56.82,    9.599
35497,1, 0.604884,  37.597,       0.0000,    0.000, 2, 2457757.7199,  345.92,   15.327
35497,2, 0.602391,  92.146,       0.0000,    0.000, 0, 2457757.7199,  345.92,   15.327
35497,3, 0.601976,  88.112,       0.0000,    0.000, 0, 2457757.7199,  345.92,   15.327
35497,4, 0.597926,  71.342,       0.0000,    0.000, 0, 2457757.7199,  345.92,   15.327
35497,5, 0.581070,  84.305, 2458343.0380,  358.093, 0, 2457757.7199,  345.92,   15.327
35497,6, 0.555294, 159.928, 2457830.5784,  114.093, 2, 2457757.7199,  345.92,   15.327
35497,7, 0.467884, 160.000, 2457684.8615,  -13.038, 2, 2457757.7199,  345.92,   15.327
35497,8, 0.358146, 158.245, 2457681.7969,  -75.959, 2, 2457757.7199,  345.92,   15.327
37151,1, 0.557628,  60.024,       0.0000,    0.000, 0, 2457380.7416,   53.67,    2.809
37151,2, 0.529890,  52.844,       0.0000,    0.000, 0, 2457380.7416,   53.67,    2.809
37151,3, 0.516032,  69.120, 2457380.7416,    3.846, 0, 2457380.7416,   53.67,    2.809
37151,4, 0.509590,  80.479, 2457276.6760,  -15.582, 0, 2457380.7416,   53.67,    2.809
37151,5, 0.480966,  70.751, 2457395.4936,    8.371, 0, 2457380.7416,   53.67,    2.809
37151,6, 0.416379,  74.020,       0.0000,    0.000, 0, 2457380.7416,   53.67,    2.809
37151,7, 0.367863,  85.538, 2457387.2208,   13.533, 0, 2457380.7416,   53.67,    2.809
37151,8, 0.070407, 158.810, 2457359.9702,   30.566, 2, 2457380.7416,   53.67,    2.809
39615,1, 0.553504,  81.300, 2457619.6926,  -64.556, 0, 2458018.4722,  253.54,    1.149
39615,2, 0.525990,  58.403,       0.0000,    0.000, 0, 2458018.4722,  253.54,    1.149
39615,3, 0.493676,  69.479,       0.0000,    0.000, 0, 2458018.4722,  253.54,    1.149
39615,4, 0.483465,  83.985,       0.0000,    0.000, 0, 2458018.4722,  253.54,    1.149
39615,5, 0.443661,  77.216, 2457948.5955,  -15.671, 0, 2458018.4722,  253.54,    1.149
39615,6, 0.336388,  65.288, 2458323.1767,  157.728, 0, 2458018.4722,  253.54,    1.149
39615,7, 0.301249,  72.056, 2458037.7232,   16.728, 0, 2458018.4722,  253.54,    1.149
39615,8, 0.115706,  64.411, 2458018.4722,   52.370, 0, 2458018.4722,  253.54,    1.149
27526,1, 0.570768,  66.308,       0.0000,    0.000, 0, 2456079.6320,  292.61,    3.757
27526,2, 0.498287,  68.155, 2456788.4723,  213.078, 0, 2456079.6320,  292.61,    3.757
27526,3, 0.446237,  82.087, 2456107.7235,   23.250, 0, 2456079.6320,  292.61,    3.757
27526,4, 0.428773,  86.614, 2456162.0269,   52.695, 0, 2456079.6320,  292.61,    3.757
27526,5, 0.409361,  83.843, 2456079.6320,   12.857, 0, 2456079.6320,  292.61,    3.757
27526,6, 0.389658,  75.028, 2456078.9872,   14.067, 0, 2456079.6320,  292.61,    3.757
27526,7, 0.367994, 159.689, 2456023.4017,  -23.674, 2, 2456079.6320,  292.61,    3.757
27526,8, 0.133890,  87.331, 2456056.8647,    2.364, 0, 2456079.6320,  292.61,    3.757
32007,1, 0.284838,  72.418, 2455533.9211,   18.926, 0, 2455533.9211,  160.72,   18.926
32007,2, 0.277528,  53.723,       0.0000,    0.000, 0, 2455533.9211,  160.72,   18.926
32007,3, 0.264523,  67.827, 2455854.3507,   60.197, 0, 2455533.9211,  160.72,   18.926
32007,4, 0.225061,  62.554, 2455592.1565,   40.525, 0, 2455533.9211,  160.72,   18.926
32007,5, 0.199930,  79.071, 2455478.6084,   28.048, 0, 2455533.9211,  160.72,   18.926
32007,6, 0.194057,  67.364, 2455637.3068,   66.645, 0, 2455533.9211,  160.72,   18.926
32007,7, 0.161341,  75.008, 2455466.9751,   43.046, 0, 2455533.9211,  160.72,   18.926
32007,8, 0.046989,  82.774, 2455358.7239,   27.347, 0, 2455533.9211,  160.72,   18.926
37819,1, 0.410096,  61.524, 2456652.6347,   25.631, 0, 2456550.2716,   42.45,    0.676
37819,2, 0.376925,  53.373, 2456588.0168,   12.303, 0, 2456550.2716,   42.45,    0.676
