norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320901,  82.584, 2458643.2412,   18.588, 0, 2458582.6691,   67.49,    7.069
42928,2, 0.294580, 122.900, 2458548.2667,    0.622, 0, 2458582.6691,   67.49,    7.069
42928,3, 0.286898,  74.704, 2458515.1471,   -7.151, 2, 2458582.6691,   67.49,    7.069
42928,4, 0.279679,  93.243, 2458715.9979,   42.160, 0, 2458582.6691,   67.49,    7.069
42928,5, 0.273921, 107.249, 2458622.9469,   20.159, 0, 2458582.6691,   67.49,    7.069
42928,6, 0.225999, 109.683, 2458610.6170,   25.002, 0, 2458582.6691,   67.49,    7.069
42928,7, 0.138862,  74.496, 2458554.7212,    9.441, 0, 2458582.6691,   67.49,    7.069
42928,8, 0.077266, 147.511, 2458543.7384,  -10.799, 2, 2458582.6691,   67.49,    7.069
35497,1, 0.604884,  37.597,       0.0000,    0.000, 2, 2457757.0875,  346.14,   15.178
35497,2, 0.602391,  92.146,       0.0000,    0.000, 0, 2457757.0875,  346.14,   15.178
35497,3, 0.601976,  88.112,       0.0000,    0.000, 0, 2457757.0875,  346.14,   15.178
35497,4, 0.597926,  71.342,       0.0000,    0.000, 0, 2457757.0875,  346.14,   15.178
35497,5, 0.581070,  84.305, 2458343.0380,  358.093, 0, 2457757.0875,  346.14,   15.178
35497,6, 0.554305, 159.854, 2457829.3136,  113.048, 2, 2457757.0875,  346.14,   15.178
35497,7, 0.467884, 160.000, 2457684.8615,  -13.038, 2, 2457757.0875,  346.14,   15.178
35497,8, 0.358146, 158.245, 2457681.7969,  -75.959, 2, 2457757.0875,  346.14,   15.178
37151,1, 0.557628,  60.024,       0.0000,    0.000, 0, 2457353.8375,  289.84,   -0.749
37151,2, 0.529890,  52.844,       0.0000,    0.000, 0, 2457353.8375,  289.84,   -0.749
37151,3, 0.516032,  69.120, 2457380.7416,    3.846, 0, 2457353.8375,  289.84,   -0.749
37151,4, 0.509774,  68.343, 2457256.1189,  -19.449, 0, 2457353.8375,  289.84,   -0.749
37151,5, 0.480952,  53.259, 2457340.7392,   -4.363, 0, 2457353.8375,  289.84,   -0.749
37151,6, 0.416354,  58.284, 2457993.7711,  221.776, 0, 2457353.8375,  289.84,   -0.749
37151,7, 0.368001,  72.198, 2457347.7041,   -5.759, 0, 2457353.8375,  289.84,   -0.749
37151,8, 0.076509, 138.562, 2457359.9710,   30.619, 2, 2457353.8375,  289.84,   -0.749
39615,1, 0.553504,  81.300, 2457619.6926,  -64.556, 0, 2458014.7723,  238.75,    0.539
39615,2, 0.526283,  49.705, 2458303.2615,   51.489, 2, 2458014.7723,  238.75,    0.539
39615,3, 0.493676,  69.479,       0.0000,    0.000, 0, 2458014.7723,  238.75,    0.539
39615,4, 0.483465,  83.985,       0.0000,    0.000, 0, 2458014.7723,  238.75,    0.539
39615,5, 0.443661,  77.216, 2457948.5955,  -15.671, 0, 2458014.7723,  238.75,    0.539
39615,6, 0.336170,  57.089, 2458218.0014,  104.503, 0, 2458014.7723,  238.75,    0.539
39615,7, 0.301096,  62.457, 2458013.2001,    1.084, 0, 2458014.7723,  238.75,    0.539
39615,8, 0.109577,  62.622, 2458016.3445,   36.389, 0, 2458014.7723,  238.75,    0.539
27526,1, 0.570768,  66.308,       0.0000,    0.000, 0, 2456074.4368,  294.43,    2.914
27526,2, 0.498287,  68.155, 2456788.4723,  213.078, 0, 2456074.4368,  294.43,    2.914
27526,3, 0.446129,  74.780, 2456084.5171,   12.717, 0, 2456074.4368,  294.43,    2.914
27526,4, 0.428782,  84.489, 2456151.2407,   47.309, 0, 2456074.4368,  294.43,    2.914
27526,5, 0.409272,  81.954, 2456074.4368,    9.969, 0, 2456074.4368,  294.43,    2.914
27526,6, 0.389024,  68.986, 2456063.9982,    4.691, 0, 2456074.4368,  294.43,    2.914
27526,7, 0.370137, 137.655, 2456012.2811,  -31.628, 2, 2456074.4368,  294.43,    2.914
27526,8, 0.133890,  87.331, 2456056.8647,    2.364, 0, 2456074.4368,  294.43,    2.914
32007,1, 0.284838,  72.418, 2455533.9211,   18.926, 0, 2455486.9775,  161.71,   14.001
32007,2, 0.277374,  41.493, 2455547.7923,   21.288, 2, 2455486.9775,  161.71,   14.001
32007,3, 0.264523,  67.827, 2455854.3507,   60.197, 0, 2455486.9775,  161.71,   14.001
32007,4, 0.224977,  52.391, 2455470.1591,   19.809, 0, 2455486.9775,  161.71,   14.001
32007,5, 0.199957,  62.716, 2455349.9801,   -0.789, 0, 2455486.9775,  161.71,   14.001
32007,6, 0.194081,  54.571, 2455503.7959,   35.293, 0, 2455486.9775,  161.71,   14.001
32007,7, 0.161319,  63.622, 2455410.4143,   21.590, 0, 2455486.9775,  161.71,   14.001
32007,8, 0.047237,  74.933, 2455356.6061,   16.260, 0, 2455486.9775,  161.71,   14.001
37819,1, 0.410096,  61.524, 2456652.6347,   25.631, 0, 2456534.0671,   48.92,   -3.275
37819,2, 0.377010,  44.926, 2456546.8199,   -0.207, 0, 2456534.0671,   48.92,   -3.275
37819,3, 0.354063,  44.419, 2456541.8553,   -1.956, 0, 2456534.0671,   48.92,   -3.275
37819,4, 0.344494,  50.288, 2456526.2789,   -7.902, 0, 2456534.0671,   48.92,   -3.275
37819,5, 0.321046,  49.210, 2456515.2593,  -14.142, 0, 2456534.0671,   48.92,   -3.275
37819,6, 0.293530,  45.221, 2456495.6955,  -27.674, 0, 2456534.0671,   48.92,   -3.275
37819,7, 0.274577,  48.657, 2456515.4028,  -19.240, 0, 2456534.0671,   48.92,   -3.275
37819,8, 0.044560,  60.390, 2456549.3413,   47.950, 0, 2456534.0671,   48.92,   -3.275
