norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320901,  82.584, 2458643.2412,   18.588, 0, 2458562.6069,   57.12,    3.253
42928,2, 0.294920, 112.753, 2458509.4056,   -8.113, 2, 2458562.6069,   57.12,    3.253
42928,3, 0.286887,  75.485, 2458518.8148,   -6.287, 0, 2458562.6069,   57.12,    3.253
42928,4, 0.279779,  85.245, 2458664.1365,   29.336, 0, 2458562.6069,   57.12,    3.253
42928,5, 0.274219,  96.485, 2458577.8156,    8.411, 2, 2458562.6069,   57.12,    3.253
42928,6, 0.226321,  98.992, 2458578.2823,   12.587, 2, 2458562.6069,   57.12,    3.253
42928,7, 0.138758,  69.544, 2458547.3982,    1.944, 0, 2458562.6069,   57.12,    3.253
42928,8, 0.086692,  81.176, 2458538.7357,  -41.467, 2, 2458562.6069,   57.12,    3.253
35497,1, 0.604884,  37.597,       0.0000,    0.000, 2, 2457704.3457,  369.50,    2.784
35497,2, 0.602391,  92.146,       0.0000,    0.000, 0, 2457704.3457,  369.50,    2.784
35497,3, 0.601976,  88.112,       0.0000,    0.000, 0, 2457704.3457,  369.50,    2.784
35497,4, 0.597926,  71.342,       0.0000,    0.000, 0, 2457704.3457,  369.50,    2.784
35497,5, 0.581070,  84.305, 2458343.0380,  358.093, 0, 2457704.3457,  369.50,    2.784
35497,6, 0.559871, 116.099, 2457726.9317,   28.451, 2, 2457704.3457,  369.50,    2.784
35497,7, 0.472994, 133.287, 2457678.8649,  -23.274, 2, 2457704.3457,  369.50,    2.784
35497,8, 0.358146, 155.990, 2457681.7597,  -76.223, 2, 2457704.3457,  369.50,    2.784
37151,1, 0.557628,  60.024,       0.0000,    0.000, 0, 2457346.1336,  230.43,   -1.768
37151,2, 0.529890,  52.844,       0.0000,    0.000, 0, 2457346.1336,  230.43,   -1.768
37151,3, 0.516032,  69.120, 2457380.7416,    3.846, 0, 2457346.1336,  230.43,   -1.768
37151,4, 0.509651,  64.059, 2457247.9708,  -20.982, 0, 2457346.1336,  230.43,   -1.768
37151,5, 0.480763,  46.617, 2457316.3546,  -10.035, 2, 2457346.1336,  230.43,   -1.768
37151,6, 0.416404,  53.990, 2457849.5630,  171.353, 0, 2457346.1336,  230.43,   -1.768
37151,7, 0.368443,  67.303, 2457333.4183,  -12.733, 2, 2457346.1336,  230.43,   -1.768
37151,8, 0.064274,  73.525, 2457358.8489,  -42.322, 2, 2457346.1336,  230.43,   -1.768
39615,1, 0.553504,  81.300, 2457619.6926,  -64.556, 0, 2458012.6404,  220.57,    0.188
39615,2, 0.525756,  48.601, 2458260.3501,   43.916, 2, 2458012.6404,  220.57,    0.188
39615,3, 0.493954,  61.185,       0.0000,    0.000, 0, 2458012.6404,  220.57,    0.188
39615,4, 0.483713,  73.741,       0.0000,    0.000, 0, 2458012.6404,  220.57,    0.188
39615,5, 0.442710,  75.979, 2457945.6755,  -16.398, 0, 2458012.6404,  220.57,    0.188
39615,6, 0.335390,  52.533, 2458164.3262,   77.340, 2, 2458012.6404,  220.57,    0.188
39615,7, 0.300873,  61.698, 2458011.1236,   -0.240, 0, 2458012.6404,  220.57,    0.188
39615,8, 0.113839,  51.898, 2458014.1573,   19.960, 0, 2458012.6404,  220.57,    0.188
27526,1, 0.570768,  66.308,       0.0000,    0.000, 0, 2456057.0153,  300.99,    0.084
27526,2, 0.498287,  68.155, 2456788.4723,  213.078, 0, 2456057.0153,  300.99,    0.084
27526,3, 0.445594,  69.053, 2456065.5118,    4.090, 0, 2456057.0153,  300.99,    0.084
27526,4, 0.428637,  77.832, 2456118.7110,   31.065, 0, 2456057.0153,  300.99,    0.084
27526,5, 0.409287,  69.714, 2456041.8884,   -8.121, 2, 2456057.0153,  300.99,    0.084
27526,6, 0.387646,  65.355, 2456054.7845,   -1.073, 2, 2456057.0153,  300.99,    0.084
27526,7, 0.377972,  96.825, 2455990.3374,  -47.323, 2, 2456057.0153,  300.99,    0.084
27526,8, 0.129177,  93.161, 2456057.0153,    3.341, 0, 2456057.0153,  300.99,    0.084
32007,1, 0.284838,  72.418, 2455533.9211,   18.926, 0, 2455470.0568,  119.40,   12.227
32007,2, 0.277239,  39.209, 2455477.3697,   13.572, 2, 2455470.0568,  119.40,   12.227
32007,3, 0.264530,  59.977, 2455694.8956,   41.032, 0, 2455470.0568,  119.40,   12.227
32007,4, 0.224797,  51.850, 2455462.7438,   18.550, 0, 2455470.0568,  119.40,   12.227
32007,5, 0.200007,  59.033, 2455321.8094,   -7.105, 0, 2455470.0568,  119.40,   12.227
32007,6, 0.193766,  53.416, 2455490.1684,   32.093, 2, 2455470.0568,  119.40,   12.227
32007,7, 0.161406,  56.042, 2455373.4143,    7.554, 0, 2455470.0568,  119.40,   12.227
32007,8, 0.051272,  60.229, 2455354.5643,    5.571, 2, 2455470.0568,  119.40,   12.227
37819,1, 0.410096,  61.524, 2456652.6347,   25.631, 0, 2456514.4862,   55.65,   -8.048
37819,2, 0.376959,  44.321, 2456543.5827,   -1.190, 0, 2456514.4862,   55.65,   -8.048
37819,3, 0.354547,  38.534, 2456515.4349,  -11.112, 0, 2456514.4862,   55.65,   -8.048
37819,4, 0.344605,  46.541, 2456513.5374,  -12.646, 2, 2456514.4862,   55.65,   -8.048
37819,5, 0.321060,  43.484, 2456499.5927,  -21.014, 0, 2456514.4862,   55.65,   -8.048
37819,6, 0.292647,  46.641, 2456498.7713,  -26.031, 0, 2456514.4862,   55.65,   -8.048
37819,7, 0.274512,  44.341, 2456504.7678,  -25.615, 2, 2456514.4862,   55.65,   -8.048
37819,8, 0.046631,  51.477, 2456548.8689,   35.649, 2, 2456514.4862,   55.65,   -8.048
