norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.279974,  76.166, 2458768.1669,   55.195, 0, 2458604.9919,   76.46,   14.747
42928,2, 0.276584,  65.636, 2458662.7952,   29.849, 0, 2458604.9919,   76.46,   14.747
42928,3, 0.270141,  56.656, 2458601.1411,   14.929, 0, 2458604.9919,   76.46,   14.747
42928,4, 0.244025,  60.511, 2458565.2853,    6.377, 0, 2458604.9919,   76.46,   14.747
42928,5, 0.221174,  64.260, 2458571.0849,   10.293, 2, 2458604.9919,   76.46,   14.747
42928,6, 0.207728,  60.245, 2458586.8572,   18.963, 0, 2458604.9919,   76.46,   14.747
42928,7, 0.188136,  58.023, 2458539.0842,   -3.629, 2, 2458604.9919,   76.46,   14.747
42928,8, 0.157379,  53.464, 2458545.5208,    0.017, 2, 2458604.9919,   76.46,   14.747
35497,1, 0.594553,  71.349, 2458290.5535,  253.528, 0, 2457984.2339,  294.38,  123.672
35497,2, 0.579084,  55.201, 2458319.9882,  361.406, 0, 2457984.2339,  294.38,  123.672
35497,3, 0.575008,  56.143, 2458264.2052,  350.170, 0, 2457984.2339,  294.38,  123.672
35497,4, 0.565132,  60.646, 2458133.9269,  308.559, 0, 2457984.2339,  294.38,  123.672
35497,5, 0.544994,  64.642, 2457810.7131,  105.266, 2, 2457984.2339,  294.38,  123.672
35497,6, 0.500013,  70.868, 2457672.6492,  -28.033, 2, 2457984.2339,  294.38,  123.672
35497,7, 0.382065,  80.452, 2457687.8433,  -13.437, 2, 2457984.2339,  294.38,  123.672
35497,8, 0.325319,  92.772, 2457693.9917,    6.151, 2, 2457984.2339,  294.38,  123.672
37151,1, 0.691190,  89.761,       0.0000,    0.000, 0, 2457158.9059,    0.00,  -11.970
37151,2, 0.574847,  61.915,       0.0000,    0.000, 2, 2457158.9059,    0.00,  -11.970
37151,3, 0.560815,  38.888,       0.0000,    0.000, 0, 2457158.9059,    0.00,  -11.970
37151,4, 0.542604,  32.156,       0.0000,    0.000, 0, 2457158.9059,    0.00,  -11.970
37151,5, 0.531961,  20.978,       0.0000,    0.000, 2, 2457158.9059,    0.00,  -11.970
37151,6, 0.528621,  22.193,       0.0000,    0.000, 0, 2457158.9059,    0.00,  -11.970
37151,7, 0.525254,  21.076,       0.0000,    0.000, 0, 2457158.9059,    0.00,  -11.970
37151,8, 0.510396,  24.506, 2457158.9059,  -38.012, 2, 2457158.9059,    0.00,  -11.970
39615,1, 0.547882,  96.882, 2457646.7609,  -60.983, 0, 2458024.2629,  234.52,    2.134
39615,2, 0.526663,  80.273, 2458431.9086,   74.192, 0, 2458024.2629,  234.52,    2.134
39615,3, 0.469382,  66.834,       0.0000,    0.000, 2, 2458024.2629,  234.52,    2.134
39615,4, 0.442471,  46.794, 2457927.6364,  -20.945, 2, 2458024.2629,  234.52,    2.134
39615,5, 0.330411,  67.464, 2458129.6142,   62.338, 0, 2458024.2629,  234.52,    2.134
39615,6, 0.312718,  51.190, 2458004.0592,   -4.402, 2, 2458024.2629,  234.52,    2.134
39615,7, 0.302440,  44.445, 2458002.4678,   -5.698, 0, 2458024.2629,  234.52,    2.134
39615,8, 0.281139,  36.340, 2458027.3933,   11.577, 0, 2458024.2629,  234.52,    2.134
27526,1, 0.564050,  59.170,       0.0000,    0.000, 0, 2456098.0789,  188.24,    7.205
27526,2, 0.555669,  29.907, 2455846.7232,  -38.599, 2, 2456098.0789,  188.24,    7.205
27526,3, 0.511643,  37.474,       0.0000,    0.000, 0, 2456098.0789,  188.24,    7.205
27526,4, 0.494748,  33.325, 2456429.1798,  111.752, 0, 2456098.0789,  188.24,    7.205
27526,5, 0.417326,  42.496, 2456069.0876,    6.686, 2, 2456098.0789,  188.24,    7.205
27526,6, 0.407880,  42.062, 2456043.8527,   -7.108, 0, 2456098.0789,  188.24,    7.205
27526,7, 0.359933,  35.278, 2456082.7462,   19.183, 2, 2456098.0789,  188.24,    7.205
27526,8, 0.305451,  40.323, 2456116.8838,   63.379, 0, 2456098.0789,  188.24,    7.205
32007,1, 0.288034,  61.072,       0.0000,    0.000, 0, 2455350.8332,   48.12,   -0.274
32007,2, 0.253905,  35.834, 2455370.8761,    2.258, 2, 2455350.8332,   48.12,   -0.274
32007,3, 0.251324,  47.642, 2455301.2664,   -6.884, 0, 2455350.8332,   48.12,   -0.274
32007,4, 0.222876,  31.712, 2455274.3812,  -13.806, 2, 2455350.8332,   48.12,   -0.274
32007,5, 0.181978,  36.974, 2455359.6786,    1.679, 0, 2455350.8332,   48.12,   -0.274
32007,6, 0.141257,  43.301, 2455418.8192,   32.283, 0, 2455350.8332,   48.12,   -0.274
32007,7, 0.138226,  38.171, 2455371.0476,    9.146, 2, 2455350.8332,   48.12,   -0.274
32007,8, 0.109370,  33.450, 2455359.7631,    5.839, 0, 2455350.8332,   48.12,   -0.274
37819,1, 0.446050,  74.089, 2456302.2476,  -46.319, 0, 2456483.2631,   75.80,  -12.132
37819,2, 0.409043,  62.287, 2456551.9068,    1.085, 0, 2456483.2631,   75.80,  -12.132
37819,3, 0.342116,  72.611, 2456509.5362,  -14.436, 0, 2456483.2631,   75.80,  -12.132
37819,4, 0.317438,  64.833, 2456492.5088,  -24.778, 2, 2456483.2631,   75.80,  -12.132
37819,5, 0.310454,  64.542, 2456490.6768,  -26.853, 0, 2456483.2631,   75.80,  -12.132
37819,6, 0.295886,  70.513, 2456495.2724,  -27.333, 2, 2456483.2631,   75.80,  -12.132
37819,7, 0.267759,  63.886, 2456504.5034,  -26.900, 0, 2456483.2631,   75.80,  -12.132
37819,8, 0.235447,  68.187, 2456519.4528,  -21.762, 2, 2456483.2631,   75.80,  -12.132
