norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.321112,  85.240, 2458744.0413,   37.758, 0, 2458596.6170,   67.93,    9.721, 2458019.6716,   0.0525
42928,2, 0.294520,  63.876, 2458558.7136,    2.970, 2, 2458596.6170,   67.93,    9.721, 2458100.6070,   0.0150
42928,3, 0.287256,  61.159, 2458567.6846,    5.226, 0, 2458596.6170,   67.93,    9.721, 2458121.0224,   0.0317
42928,4, 0.280199,  60.810, 2458638.9269,   23.102, 0, 2458596.6170,   67.93,    9.721, 2458141.0908,   0.0072
42928,5, 0.273765,  66.195, 2458630.5374,   22.135, 0, 2458596.6170,   67.93,    9.721, 2458161.3156,   0.0112
42928,6, 0.225298,  63.636, 2458625.5495,   30.735, 0, 2458596.6170,   67.93,    9.721, 2458285.0495,   0.0449
42928,7, 0.138895,  60.841, 2458551.3542,    5.994, 2, 2458596.6170,   67.93,    9.721, 2458447.8303,   0.1377
42928,8, 0.058925,  63.705, 2458546.9407,    8.832, 0, 2458596.6170,   67.93,    9.721, 2458529.1874,   0.0559
35497,1, 0.604824,  45.137,       0.0000,    0.000, 2, 2457833.3685,  364.04,   33.105, 2457266.9768,   0.0219
35497,2, 0.602920,  68.247,       0.0000,    0.000, 0, 2457833.3685,  364.04,   33.105, 2457348.1694,   0.0244
35497,3, 0.601977,  60.131,       0.0000,    0.000, 0, 2457833.3685,  364.04,   33.105, 2457368.4122,   0.0283
35497,4, 0.597766,  60.571,       0.0000,    0.000, 0, 2457833.3685,  364.04,   33.105, 2457429.3251,   0.0150
35497,5, 0.582151,  73.222, 2458413.9794,  397.143, 0, 2457833.3685,  364.04,   33.105, 2457510.8325,   0.0257
35497,6, 0.551196,  78.991, 2457972.9783,  231.758, 0, 2457833.3685,  364.04,   33.105, 2457571.4778,   0.0709
35497,7, 0.468545,  95.311, 2457686.7889,   -9.748, 2, 2457833.3685,  364.04,   33.105, 2457633.9141,   0.6513
35497,8, 0.258812,  88.576, 2457693.7587,    8.933, 0, 2457833.3685,  364.04,   33.105, 2457678.4094,   1.7955
37151,1, 0.557958,  42.566,       0.0000,    0.000, 0, 2457374.8528,  224.71,    2.030, 2456603.2714,   0.0378
37151,2, 0.530055,  26.136,       0.0000,    0.000, 2, 2457374.8528,  224.71,    2.030, 2456765.4032,   0.0283
37151,3, 0.516239,  57.935, 2457420.2132,   10.992, 0, 2457374.8528,  224.71,    2.030, 2456807.1762,   0.0131
37151,4, 0.510207,  53.783, 2457258.1489,  -19.067, 0, 2457374.8528,  224.71,    2.030, 2456827.9493,   0.0589
37151,5, 0.479982,  36.095, 2457388.8698,    6.831, 2, 2457374.8528,  224.71,    2.030, 2456929.5410,   0.3058
37151,6, 0.416427,  36.363, 2457860.8155,  175.287, 0, 2457374.8528,  224.71,    2.030, 2457073.5033,   0.0142
37151,7, 0.367858,  41.571, 2457359.4627,   -0.018, 0, 2457374.8528,  224.71,    2.030, 2457154.6604,   0.0276
37151,8, 0.053961,  48.244, 2457360.8358,   86.835, 2, 2457374.8528,  224.71,    2.030, 2457357.9616,   0.3882
39615,1, 0.553886, 106.820, 2457594.6974,  -68.674, 0, 2458010.2177,  278.35,   -0.211, 2457404.5731,   0.2066
39615,2, 0.526538,  78.226, 2458374.4302,   64.049, 2, 2458010.2177,  278.35,   -0.211, 2457444.8533,   0.0580
39615,3, 0.494532,  79.545,       0.0000,    0.000, 0, 2458010.2177,  278.35,   -0.211, 2457505.9671,   0.0696
39615,4, 0.484056,  91.639,       0.0000,    0.000, 0, 2458010.2177,  278.35,   -0.211, 2457527.8371,   0.0398
39615,5, 0.441686,  58.002, 2457968.7516,  -10.650, 2, 2458010.2177,  278.35,   -0.211, 2457610.0875,   0.3242
39615,6, 0.336987,  74.452, 2458293.4414,  142.680, 0, 2458010.2177,  278.35,   -0.211, 2457813.8961,   0.0516
39615,7, 0.300709,  43.124, 2458001.5775,   -6.330, 2, 2458010.2177,  278.35,   -0.211, 2457854.7396,   0.0238
39615,8, 0.110890,  47.483, 2458018.8580,   55.268, 0, 2458010.2177,  278.35,   -0.211, 2457998.1868,   0.5114
27526,1, 0.571118,  60.408,       0.0000,    0.000, 0, 2456057.1249,  202.60,    0.102, 2455440.8741,   0.0300
27526,2, 0.498171,  27.222, 2456485.3516,  124.839, 2, 2456057.1249,  202.60,    0.102, 2455712.9766,   0.0453
27526,3, 0.445813,  59.030, 2456237.9374,   82.352, 0, 2456057.1249,  202.60,    0.102, 2455836.1807,   0.0840
27526,4, 0.428112,  45.457, 2456218.8263,   81.057, 0, 2456057.1249,  202.60,    0.102, 2455856.2392,   0.0473
27526,5, 0.409673,  46.007, 2456053.4399,   -1.701, 0, 2456057.1249,  202.60,    0.102, 2455876.5828,   0.0343
27526,6, 0.390606,  45.425, 2456031.2913,  -15.770, 0, 2456057.1249,  202.60,    0.102, 2455896.6431,   0.0722
27526,7, 0.374410,  51.102, 2455998.9548,  -41.159, 2, 2456057.1249,  202.60,    0.102, 2455916.6893,   1.4764
27526,8, 0.134826,  41.629, 2456057.1249,    4.052, 0, 2456057.1249,  202.60,    0.102, 2456041.0769,   0.8197
32007,1, 0.284816,  44.619, 2455436.0059,    8.655, 2, 2455401.7826,  178.16,    5.065, 2454400.1894,   0.0107
32007,2, 0.278440,  56.750,       0.0000,    0.000, 0, 2455401.7826,  178.16,    5.065, 2454440.7954,   0.0167
32007,3, 0.265724,  60.700, 2455825.2722,   56.702, 0, 2455401.7826,  178.16,    5.065, 2454521.4854,   0.0077
32007,4, 0.226266,  43.892, 2455401.7826,    8.199, 0, 2455401.7826,  178.16,    5.065, 2454764.5833,   0.0222
32007,5, 0.199152,  47.330, 2455477.3081,   27.757, 0, 2455401.7826,  178.16,    5.065, 2454907.4498,   0.0085
32007,6, 0.195136,  38.275, 2455360.4539,    1.633, 2, 2455401.7826,  178.16,    5.065, 2454927.6483,   0.0172
32007,7, 0.160863,  34.212, 2455376.6308,    8.774, 2, 2455401.7826,  178.16,    5.065, 2455089.8858,   0.0309
32007,8, 0.046830,  40.621, 2455358.3205,   25.235, 0, 2455401.7826,  178.16,    5.065, 2455334.3974,   0.5003
37819,1, 0.410538,  77.647, 2456614.0579,   16.226, 0, 2456507.3062,   44.52,   -9.799, 2456137.3115,   0.0105
37819,2, 0.377091,  58.974, 2456525.6174,   -6.645, 0, 2456507.3062,   44.52,   -9.799, 2456218.1813,   0.0591
37819,3, 0.354608,  55.353, 2456511.7168,  -12.400, 0, 2456507.3062,   44.52,   -9.799, 2456258.9263,   0.0196
37819,4, 0.345213,  63.116, 2456500.8420,  -17.373, 2, 2456507.3062,   44.52,   -9.799, 2456278.9393,   0.0454
37819,5, 0.321545,  63.382, 2456494.0159,  -23.461, 0, 2456507.3062,   44.52,   -9.799, 2456319.5256,   0.0261
37819,6, 0.293047,  68.965, 2456494.2031,  -28.471, 2, 2456507.3062,   44.52,   -9.799, 2456360.3056,   0.0350
37819,7, 0.275002,  64.874, 2456502.8956,  -26.737, 0, 2456507.3062,   44.52,   -9.799, 2456380.6738,   0.0220
37819,8, 0.051393,  69.449, 2456548.7343,   32.144, 2, 2456507.3062,   44.52,   -9.799, 2456543.6600,   0.7090
11550,1, 0.677778, 135.235,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2445234.0506,   0.0327
11550,2, 0.634940, 103.703,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2454085.5949,   0.0293
11550,3, 0.631572,  94.727,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2454146.4204,   0.0379
11550,4, 0.620443, 125.539,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2454329.3989,   0.0296
11550,5, 0.596446, 138.291,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2454688.8150,   0.0175
11550,6, 0.595194, 128.825,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2454709.4256,   0.0364
11550,7, 0.580930, 138.004,       0.0000,    0.000, 0, 2460773.3187,    0.00,   -0.014, 2454949.2009,   0.0284
