norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.329084,  65.425, 2458676.3977,   23.870, 0, 2458530.4613,   70.85,   -2.742, 2457997.1324,        2.8864
42928,2, 0.328102,  66.323, 2458614.5323,   12.643, 0, 2458530.4613,   70.85,   -2.742, 2457999.4953,        5.1288
42928,3, 0.321552,  74.194, 2458587.9320,    8.070, 0, 2458530.4613,   70.85,   -2.742, 2458019.6716,        1.1343
42928,4, 0.316503,  78.971, 2458491.1306,  -10.758, 0, 2458530.4613,   70.85,   -2.742, 2458040.0963,        2.3155
42928,5, 0.310518,  80.898, 2458335.0941,  -43.367, 0, 2458530.4613,   70.85,   -2.742, 2458060.3255,       21.1722
42928,6, 0.302039,  82.810, 2458439.6958,  -22.746, 2, 2458530.4613,   70.85,   -2.742, 2458080.3492,       19.1356
42928,7, 0.296852,  83.879, 2458405.0628,  -31.567, 2, 2458530.4613,   70.85,   -2.742, 2458100.6070,       24.5946
42928,8, 0.287421,  77.168, 2458527.7337,   -4.185, 2, 2458530.4613,   70.85,   -2.742, 2458121.0224,        5.6103
42928,9, 0.280618,  80.991, 2458639.3184,   23.199, 0, 2458530.4613,   70.85,   -2.742, 2458141.0908,        0.8297
42928,*, 0.275217,  84.236, 2458528.0120,   -4.552, 2, 2458530.4613,   70.85,   -2.742, 2458161.3156,       14.6976
42928,*, 0.267504,  75.956, 2458547.7693,    0.623, 2, 2458530.4613,   70.85,   -2.742, 2458181.5207,        4.2027
42928,*, 0.260434,  88.558, 2458438.9837,  -31.004, 2, 2458530.4613,   70.85,   -2.742, 2458201.9430,        9.6350
42928,*, 0.251301,  90.354, 2458489.1649,  -17.412, 2, 2458530.4613,   70.85,   -2.742, 2458221.9638,       12.1967
42928,*, 0.244839,  97.932, 2458477.2107,  -22.525, 2, 2458530.4613,   70.85,   -2.742, 2458242.3262,       28.5925
42928,*, 0.234750,  78.366, 2458580.3115,   12.296, 0, 2458530.4613,   70.85,   -2.742, 2458262.3884,        2.9403
42928,*, 0.227262,  91.017, 2458555.7315,    3.928, 2, 2458530.4613,   70.85,   -2.742, 2458285.0495,        9.4685
42928,*, 0.218954,  95.330, 2458536.8531,   -3.602, 2, 2458530.4613,   70.85,   -2.742, 2458305.4683,        6.4685
42928,*, 0.208606,  77.808, 2458584.5623,   17.833, 0, 2458530.4613,   70.85,   -2.742, 2458326.4532,        3.5517
42928,*, 0.202943,  92.225, 2458480.8797,  -32.559, 2, 2458530.4613,   70.85,   -2.742, 2458347.0288,       45.6144
42928,*, 0.189710,  64.334, 2458529.3965,   -9.027, 0, 2458530.4613,   70.85,   -2.742, 2458367.1113,        5.6306
42928,*, 0.185873,  75.031, 2458473.6417,  -45.458, 2, 2458530.4613,   70.85,   -2.742, 2458387.4224,       87.1676
42928,*, 0.168251,  57.918, 2458531.5260,  -10.126, 0, 2458530.4613,   70.85,   -2.742, 2458407.5023,        2.3775
42928,*, 0.165684,  65.947, 2458481.9322,  -53.963, 2, 2458530.4613,   70.85,   -2.742, 2458427.7005,      119.5311
42928,*, 0.140179,  62.731, 2458538.9709,   -6.685, 0, 2458530.4613,   70.85,   -2.742, 2458447.8303,        1.7754
42928,*, 0.138738,  68.546, 2458507.0984,  -49.585, 2, 2458530.4613,   70.85,   -2.742, 2458468.0544,      140.1845
42928,*, 0.111764,  71.562, 2458535.0041,  -18.522, 2, 2458530.4613,   70.85,   -2.742, 2458488.8319,       38.4389
42928,*, 0.089451,  71.320, 2458546.9698,    4.045, 0, 2458530.4613,   70.85,   -2.742, 2458509.1659,       11.7617
42928,*, 0.087297,  76.933, 2458538.3205,  -44.012, 2, 2458530.4613,   70.85,   -2.742, 2458529.1874,      379.3590
35497,1, 0.629738,  58.004, 2457298.6480,  -35.465, 0, 2457685.5352,  393.87,   -0.627, 2456581.9521,        3.4134
35497,2, 0.626813,  48.406, 2457217.5183,  -43.562, 0, 2457685.5352,  393.87,   -0.627, 2456602.1332,        2.0753
35497,3, 0.623796,  43.319, 2457455.6473,  -22.137, 0, 2457685.5352,  393.87,   -0.627, 2456622.5454,        2.3335
35497,4, 0.621255,  43.928,       0.0000,    0.000, 0, 2457685.5352,  393.87,   -0.627, 2456642.8514,        1.4935
35497,5, 0.618939,  46.501,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456662.8805,        1.7243
35497,6, 0.616944,  47.570,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456683.8423,        7.2235
35497,7, 0.615508,  37.936,       0.0000,    0.000, 0, 2457685.5352,  393.87,   -0.627, 2456703.9292,        1.1035
35497,8, 0.613646,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456724.3989,       18.1929
35497,9, 0.612386,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456745.3259,       18.6234
35497,*, 0.611244,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456765.4343,       17.0133
35497,*, 0.610756,  45.798,       0.0000,    0.000, 0, 2457685.5352,  393.87,   -0.627, 2456787.8498,        1.0388
35497,*, 0.610038,  51.256,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456808.1386,        1.0649
35497,*, 0.609109,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456829.2957,       23.0564
35497,*, 0.608894,  46.297,       0.0000,    0.000, 0, 2457685.5352,  393.87,   -0.627, 2456861.5284,        1.2918
35497,*, 0.608122,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456884.9215,       17.5314
35497,*, 0.607564,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456905.0685,       32.4504
35497,*, 0.607148,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456925.2195,       21.2130
35497,*, 0.606968,  37.726,       0.0000,    0.000, 0, 2457685.5352,  393.87,   -0.627, 2456945.9762,        2.1228
35497,*, 0.606450,  35.604,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2456966.6854,        1.7607
35497,*, 0.605417,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457091.7351,       12.5223
35497,*, 0.605657,  34.886,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457107.9187,        1.8741
35497,*, 0.605128,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457128.2153,       12.3247
35497,*, 0.605478,  38.237,       0.0000,    0.000, 0, 2457685.5352,  393.87,   -0.627, 2457148.5328,        1.0633
35497,*, 0.604945,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457178.6248,       18.7895
35497,*, 0.604923,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457204.2442,       14.8587
35497,*, 0.605334,  44.543,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457225.5486,        2.6589
35497,*, 0.605017,  50.989,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457246.3022,       15.2217
35497,*, 0.605218,  51.684,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457266.9768,        1.3159
35497,*, 0.604611,  50.989, 2458410.0763,  177.011, 2, 2457685.5352,  393.87,   -0.627, 2457287.1139,       21.6148
35497,*, 0.604364,  54.824, 2458249.9669,  144.654, 2, 2457685.5352,  393.87,   -0.627, 2457307.1215,       20.4290
35497,*, 0.603807,  62.588,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457327.5888,       19.2447
35497,*, 0.602965,  60.577,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457348.1694,       22.4690
35497,*, 0.602471,  60.614,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457368.4122,        3.0665
35497,*, 0.601365,  61.983,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457388.5322,        8.5629
35497,*, 0.600035,  62.659,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457408.9876,       12.2231
35497,*, 0.598202,  61.990,       0.0000,    0.000, 2, 2457685.5352,  393.87,   -0.627, 2457429.3251,        3.7357
35497,*, 0.595874,  62.470, 2458203.9719,  210.707, 2, 2457685.5352,  393.87,   -0.627, 2457449.7595,        5.6597
35497,*, 0.592571,  61.229, 2458110.3754,  188.191, 0, 2457685.5352,  393.87,   -0.627, 2457470.4510,        1.4143
35497,*, 0.588078,  60.402, 2458161.4977,  232.304, 0, 2457685.5352,  393.87,   -0.627, 2457490.6104,        3.7461
35497,*, 0.582460,  67.651, 2458206.9193,  283.165, 2, 2457685.5352,  393.87,   -0.627, 2457510.8325,        6.4758
