norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.320596,  87.154, 2458673.6479,   24.371, 0, 2458564.8642,   64.07,    3.683, 2458019.6716,        8.7362
42928,2, 0.294799, 115.897, 2458521.3935,   -5.419, 2, 2458564.8642,   64.07,    3.683, 2458100.6070,        9.1787
42928,3, 0.286853,  75.950, 2458520.9363,   -5.787, 0, 2458564.8642,   64.07,    3.683, 2458121.0224,        9.4994
42928,4, 0.279724,  86.524, 2458672.2656,   31.346, 0, 2458564.8642,   64.07,    3.683, 2458141.0908,        5.8068
42928,5, 0.274218,  96.119, 2458576.2643,    8.008, 2, 2458564.8642,   64.07,    3.683, 2458161.3156,       10.8477
42928,6, 0.226105, 102.602, 2458588.9009,   16.664, 2, 2458564.8642,   64.07,    3.683, 2458285.0495,        5.3824
42928,7, 0.138314,  74.077, 2458553.4641,    8.154, 0, 2458564.8642,   64.07,    3.683, 2458447.8303,        4.7534
42928,8, 0.081683,  85.087, 2458538.3184,  -44.025, 2, 2458564.8642,   64.07,    3.683, 2458529.1874,      318.1896
35497,1, 0.604812,  41.121,       0.0000,    0.000, 2, 2457705.9151,  373.22,    3.153, 2457266.9768,       24.1051
35497,2, 0.602383,  92.080,       0.0000,    0.000, 0, 2457705.9151,  373.22,    3.153, 2457348.1694,        2.5518
35497,3, 0.601976,  88.112,       0.0000,    0.000, 0, 2457705.9151,  373.22,    3.153, 2457368.4122,        1.5024
35497,4, 0.597926,  71.342,       0.0000,    0.000, 0, 2457705.9151,  373.22,    3.153, 2457429.3251,        6.5321
35497,5, 0.581037,  85.298, 2458350.8925,  362.416, 0, 2457705.9151,  373.22,    3.153, 2457510.8325,        5.0875
35497,6, 0.558261, 117.746, 2457730.0416,   31.020, 2, 2457705.9151,  373.22,    3.153, 2457571.4778,      299.3138
