norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
30799,1, 0.858250, 122.665,       0.0000,    0.000, 0, 2458873.4122,  105.07,  -40.605, 2456578.2708,       11.4038
30799,2, 0.857949,  92.216,       0.0000,    0.000, 0, 2458873.4122,  105.07,  -40.605, 2456601.5624,       25.9681
30799,3, 0.857611, 141.324,       0.0000,    0.000, 2, 2458873.4122,  105.07,  -40.605, 2456795.4191,       29.2103
30799,4, 0.858233, 139.060, 2458799.1182,  -47.595, 2, 2458873.4122,  105.07,  -40.605, 2456989.6205,       12.8350
30799,5, 0.858083, 153.611,       0.0000,    0.000, 2, 2458873.4122,  105.07,  -40.605, 2457835.2887,       12.4081
30799,6, 0.858978, 142.408, 2458947.7062,  -76.817, 0, 2458873.4122,  105.07,  -40.605, 2458496.5784,      107.6088
30799,7, 0.859115, 143.595,       0.0000,    0.000, 0, 2458873.4122,  105.07,  -40.605, 2459677.5578,        8.8394
30799,8, 0.858613, 139.104,       0.0000,    0.000, 0, 2458873.4122,  105.07,  -40.605, 2459693.8141,       18.4926
40777,1, 0.562465,   5.621,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2457244.9040,      151.7092
35009,1, 0.729082,  27.726,       0.0000,    0.000, 2, 2459074.5749,    0.00,   -0.520, 2455642.6303,        2.4983
35009,2, 0.714156,  22.286,       0.0000,    0.000, 0, 2459074.5749,    0.00,   -0.520, 2456188.0143,        4.6367
35009,3, 0.713165, 158.305,       0.0000,    0.000, 2, 2459074.5749,    0.00,   -0.520, 2456208.4803,        2.7920
35009,4, 0.709419,  63.417,       0.0000,    0.000, 0, 2459074.5749,    0.00,   -0.520, 2456294.1788,        1.9552
35009,5, 0.707278,  91.337,       0.0000,    0.000, 0, 2459074.5749,    0.00,   -0.520, 2456336.3879,        3.8718
35009,6, 0.706207,  91.193,       0.0000,    0.000, 0, 2459074.5749,    0.00,   -0.520, 2456356.4265,        2.7006
35009,7, 0.705128, 141.849,       0.0000,    0.000, 2, 2459074.5749,    0.00,   -0.520, 2456378.1704,        1.2464
35009,8, 0.726022, 142.154, 2459074.5749,  -27.161, 2, 2459074.5749,    0.00,   -0.520, 2459026.5030,        3.8214
41688,1, 0.577693,  11.948,       0.0000,    0.000, 2, 2459792.3501,    0.00,  -45.385, 2458575.5837,        5.0757
41688,2, 0.577499,   8.255,       0.0000,    0.000, 2, 2459792.3501,    0.00,  -45.385, 2458603.4980,        9.3578
41688,3, 0.575840,  12.185,       0.0000,    0.000, 2, 2459792.3501,    0.00,  -45.385, 2458698.0920,        4.6061
41688,4, 0.561349,   5.563, 2459792.3501,  -63.341, 2, 2459792.3501,    0.00,  -45.385, 2459207.1465,       63.3417
48259,1, 0.696421, 116.419,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2459468.6221,        5.3761
27906,1, 0.657677, 114.755,       0.0000,    0.000, 0, 2458525.8521,   44.25,    1.931, 2454072.6598,        5.7915
27906,2, 0.659201, 117.166,       0.0000,    0.000, 0, 2458525.8521,   44.25,    1.931, 2454771.7075,        1.8059
27906,3, 0.744435,  80.000, 2458494.5624,   28.276, 2, 2458525.8521,   44.25,    1.931, 2458253.8417,       62.3072
27906,4, 0.745077,  85.747, 2458557.1418,   76.724, 2, 2458525.8521,   44.25,    1.931, 2458290.7759,       67.2894
27882,1, 0.591317, 115.356,       0.0000,    0.000, 0, 2458637.4868,   63.92,    1.022, 2453006.2319,        0.4469
27882,2, 0.748960, 116.943, 2458604.8933,    7.384, 2, 2458637.4868,   63.92,    1.022, 2458250.1464,       37.4743
27882,3, 0.748877, 120.943, 2458604.1136,    7.674, 2, 2458637.4868,   63.92,    1.022, 2458272.7757,       46.3851
27882,4, 0.746740, 118.534, 2458628.9232,   27.535, 2, 2458637.4868,   63.92,    1.022, 2458404.6406,       89.5737
27882,5, 0.744825, 113.534, 2458734.2468,   98.668, 3, 2458637.4868,   63.92,    1.022, 2458424.6779,      163.7491
27882,6, 0.742388, 116.317, 2458748.0715,  124.516, 3, 2458637.4868,   63.92,    1.022, 2458445.9221,      171.2225
27882,7, 0.740315, 117.067, 2458663.4769,   72.983, 2, 2458637.4868,   63.92,    1.022, 2458466.8061,      157.3833
27882,8, 0.676247, 115.192, 2458637.4868,  119.439, 2, 2458637.4868,   63.92,    1.022, 2458532.7878,     3398.9712
39802,1, 0.575376,   9.481, 2458980.7916,   21.094, 2, 2459089.2236,  248.68,   33.241, 2457899.8480,       10.9513
39802,2, 0.574365,  10.802,       0.0000,    0.000, 2, 2459089.2236,  248.68,   33.241, 2457966.2400,        8.0341
39802,3, 0.572955,  10.230,       0.0000,    0.000, 2, 2459089.2236,  248.68,   33.241, 2458032.9291,       10.6607
39802,4, 0.572322,  10.246,       0.0000,    0.000, 2, 2459089.2236,  248.68,   33.241, 2458053.8772,        8.7383
39802,5, 0.571576,  10.648, 2459394.0304,   86.351, 2, 2459089.2236,  248.68,   33.241, 2458095.8885,        4.9627
39802,6, 0.571521,  10.741, 2459236.3345,   65.635, 2, 2459089.2236,  248.68,   33.241, 2458116.2803,        4.9557
39802,7, 0.571370,  10.191, 2459089.2236,   45.226, 2, 2459089.2236,  248.68,   33.241, 2458136.4134,        9.5664
39802,8, 0.566085,  11.446, 2458741.2878,  -10.417, 0, 2459089.2236,  248.68,   33.241, 2458300.8991,       14.4066
