norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
44591,1, 0.583196,  92.800,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2458784.0663,        9.0924
41695,1, 0.560644,   3.443,       0.0000,    0.000, 2, 2459916.8452,   49.51,    9.556, 2457596.9349,       11.4486
41695,2, 0.532700, 137.950,       0.0000,    0.000, 2, 2459916.8452,   49.51,    9.556, 2458457.0054,       38.2937
41695,3, 0.558103,   3.317, 2459881.8337,   32.344, 2, 2459916.8452,   49.51,    9.556, 2459197.1428,       67.0439
41695,4, 0.555691,  10.000, 2459951.8568,   47.814, 2, 2459916.8452,   49.51,    9.556, 2459218.0854,       38.9268
41695,5, 0.540983,  80.248,       0.0000,    0.000, 0, 2459916.8452,   49.51,    9.556, 2459288.7729,       10.6322
41695,6, 0.547233,  24.645,       0.0000,    0.000, 3, 2459916.8452,   49.51,    9.556, 2459386.5977,       28.2570
41695,7, 0.546355,  14.985,       0.0000,    0.000, 0, 2459916.8452,   49.51,    9.556, 2459407.2477,       21.8997
41695,8, 0.539694,  25.341,       0.0000,    0.000, 2, 2459916.8452,   49.51,    9.556, 2459614.8488,       30.3068
52205,1, 0.750979,  49.665, 2459743.9701,  -16.739, 0, 2459745.1589,    7.07,  -15.151, 2459681.6453,        8.5988
52205,2, 0.749498,  74.566, 2459745.1589,  -21.032, 0, 2459745.1589,    7.07,  -15.151, 2459702.5772,       74.8769
52205,3, 0.741221,  74.566, 2459755.0816,   -4.297, 0, 2459745.1589,    7.07,  -15.151, 2459723.4881,      219.8933
45349,1, 0.580425,   4.380,       0.0000,    0.000, 2, 2460371.6964,  271.70,   94.219, 2459320.0012,       47.8311
45349,2, 0.576028,   4.476, 2460668.9388,  161.261, 2, 2460371.6964,  271.70,   94.219, 2459360.7956,       76.1649
45349,3, 0.573001,  10.000, 2460724.1239,  179.465, 2, 2460371.6964,  271.70,   94.219, 2459380.8359,       60.8965
45349,4, 0.562805,  10.000, 2460828.8117,  258.912, 2, 2460371.6964,  271.70,   94.219, 2459487.8940,       28.0281
45349,5, 0.552850,  10.000, 2460366.8528,  175.614, 2, 2460371.6964,  271.70,   94.219, 2459573.7359,      178.5665
45349,6, 0.537657,  10.000, 2460270.1635,  157.178, 2, 2460371.6964,  271.70,   94.219, 2459601.4992,      157.9175
45349,7, 0.496920,  10.000, 2460266.4615,  173.975, 2, 2460371.6964,  271.70,   94.219, 2459628.7307,      458.6866
45349,8, 0.428577,  10.000, 2460371.6964,  266.559, 2, 2460371.6964,  271.70,   94.219, 2459670.0991,      259.7527
23647,ERR,,,,,,,,,,  2
41693,ERR,,,,,,,,,,  2
21935,1, 0.463578, 137.950,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2457058.8649,       12.3667
21935,2, 0.465877, 128.500,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2457659.5963,        4.7328
21935,3, 0.463180,  49.750,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2457948.2217,       12.0527
21935,4, 0.470279,  37.150,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2458224.1632,        9.2387
21935,5, 0.470288,  34.000,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2458846.3462,       11.0501
21935,6, 0.473362,  15.100,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2459143.5969,        9.3204
21935,7, 0.458727,  34.000,       0.0000,    0.000, 0,       0.0000,    0.00,    0.000, 2459457.9305,       13.2753
21935,8, 0.407353,   2.500,       0.0000,    0.000, 2,       0.0000,    0.00,    0.000, 2460170.1142,      143.6470
48264,1, 0.748512,  80.000, 2460788.2204,   -1.094, 2, 2460804.9852,   24.13,    6.951, 2460582.1052,        3.5837
48264,2, 0.749393,  64.105, 2460764.6151,  -14.364, 2, 2460804.9852,   24.13,    6.951, 2460610.2997,       13.2546
48264,3, 0.749859,  30.000, 2460784.2043,   -3.973, 2, 2460804.9852,   24.13,    6.951, 2460632.0339,       16.7453
48264,4, 0.749703,  10.000, 2460830.1949,   33.741, 2, 2460804.9852,   24.13,    6.951, 2460672.8539,       15.9510
48264,5, 0.747576,  10.000, 2460831.1235,   41.977, 2, 2460804.9852,   24.13,    6.951, 2460693.7242,       17.1686
48264,6, 0.743328,  14.324, 2460825.0958,   46.164, 2, 2460804.9852,   24.13,    6.951, 2460715.5591,       14.7829
48264,7, 0.738231,  43.050, 2460807.3498,   30.793, 2, 2460804.9852,   24.13,    6.951, 2460735.7798,       26.4845
48264,8, 0.730350,  84.056, 2460802.6205,   35.709, 0, 2460804.9852,   24.13,    6.951, 2460756.5578,       38.0577
28589,1, 0.563261,   2.626,       0.0000,    0.000, 2, 2460132.6731,    0.00,  -13.030, 2455661.8147,       40.7107
28589,2, 0.517416,  16.302,       0.0000,    0.000, 2, 2460132.6731,    0.00,  -13.030, 2457447.7842,       11.0238
28589,3, 0.515334, 134.800,       0.0000,    0.000, 0, 2460132.6731,    0.00,  -13.030, 2457468.7197,        8.7939
28589,4, 0.512632, 150.550,       0.0000,    0.000, 2, 2460132.6731,    0.00,  -13.030, 2457489.6626,       10.4358
28589,5, 0.518784,   4.585, 2460132.6731,  -30.098, 2, 2460132.6731,    0.00,  -13.030, 2458577.0205,       18.1462
28589,6, 0.497577,  10.000,       0.0000,    0.000, 2, 2460132.6731,    0.00,  -13.030, 2458875.7033,       19.8426
28589,7, 0.477228,  73.970,       0.0000,    0.000, 0, 2460132.6731,    0.00,  -13.030, 2459345.1840,       19.3975
28589,8, 0.473463,  10.000,       0.0000,    0.000, 2, 2460132.6731,    0.00,  -13.030, 2459648.6748,       33.1856
29202,1, 0.742639,  10.947, 2460605.7934,  -24.818, 2, 2460603.2943,   16.82,  -25.134, 2460009.9106,        8.5843
29202,2, 0.742899,  10.000, 2460605.1713,  -25.326, 2, 2460603.2943,   16.82,  -25.134, 2460023.3464,       14.9994
29202,3, 0.745710,  10.000, 2460602.2785,  -33.338, 2, 2460603.2943,   16.82,  -25.134, 2460201.9212,       24.9193
29202,4, 0.745814,  10.000, 2460609.3680,  -34.571, 2, 2460603.2943,   16.82,  -25.134, 2460243.8510,       32.5640
