norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
42928,1, 0.320901,  82.584, 2458643.2412,   18.588, 0, 2458582.6691,   67.49,    7.069, 2458019.6716,   0.0241
42928,2, 0.294580, 122.900, 2458548.2667,    0.622, 0, 2458582.6691,   67.49,    7.069, 2458100.6070,   0.0364
42928,3, 0.286898,  74.704, 2458515.1471,   -7.151, 2, 2458582.6691,   67.49,    7.069, 2458121.0224,   0.0136
42928,4, 0.279679,  93.243, 2458715.9979,   42.160, 0, 2458582.6691,   67.49,    7.069, 2458141.0908,   0.0107
42928,5, 0.273921, 107.249, 2458622.9469,   20.159, 0, 2458582.6691,   67.49,    7.069, 2458161.3156,   0.0122
42928,6, 0.225999, 109.683, 2458610.6170,   25.002, 0, 2458582.6691,   67.49,    7.069, 2458285.0495,   0.0173
42928,7, 0.138862,  74.496, 2458554.7212,    9.441, 0, 2458582.6691,   67.49,    7.069, 2458447.8303,   0.0267
42928,8, 0.077266, 147.511, 2458543.7384,  -10.799, 2, 2458582.6691,   67.49,    7.069, 2458529.1874,   1.1514
35497,1, 0.604884,  37.597,       0.0000,    0.000, 2, 2457757.0875,  346.14,   15.178, 2457266.9768,   0.0951
35497,2, 0.602391,  92.146,       0.0000,    0.000, 0, 2457757.0875,  346.14,   15.178, 2457348.1694,   0.0116
35497,3, 0.601976,  88.112,       0.0000,    0.000, 0, 2457757.0875,  346.14,   15.178, 2457368.4122,   0.0163
35497,4, 0.597926,  71.342,       0.0000,    0.000, 0, 2457757.0875,  346.14,   15.178, 2457429.3251,   0.0658
35497,5, 0.581070,  84.305, 2458343.0380,  358.093, 0, 2457757.0875,  346.14,   15.178, 2457510.8325,   0.0597
35497,6, 0.554305, 159.854, 2457829.3136,  113.048, 2, 2457757.0875,  346.14,   15.178, 2457571.4778,   1.3870
35497,7, 0.467884, 160.000, 2457684.8615,  -13.038, 2, 2457757.0875,  346.14,   15.178, 2457633.9141,   0.8238
35497,8, 0.358146, 158.245, 2457681.7969,  -75.959, 2, 2457757.0875,  346.14,   15.178, 2457678.4094,  24.1618
37151,1, 0.557628,  60.024,       0.0000,    0.000, 0, 2457353.8375,  289.84,   -0.749, 2456603.2714,   0.0095
37151,2, 0.529890,  52.844,       0.0000,    0.000, 0, 2457353.8375,  289.84,   -0.749, 2456765.4032,   0.0283
37151,3, 0.516032,  69.120, 2457380.7416,    3.846, 0, 2457353.8375,  289.84,   -0.749, 2456807.1762,   0.0152
37151,4, 0.509774,  68.343, 2457256.1189,  -19.449, 0, 2457353.8375,  289.84,   -0.749, 2456827.9493,   0.0512
37151,5, 0.480952,  53.259, 2457340.7392,   -4.363, 0, 2457353.8375,  289.84,   -0.749, 2456929.5410,   0.0127
37151,6, 0.416354,  58.284, 2457993.7711,  221.776, 0, 2457353.8375,  289.84,   -0.749, 2457073.5033,   0.0110
37151,7, 0.368001,  72.198, 2457347.7041,   -5.759, 0, 2457353.8375,  289.84,   -0.749, 2457154.6604,   0.0389
37151,8, 0.076509, 138.562, 2457359.9710,   30.619, 2, 2457353.8375,  289.84,   -0.749, 2457357.9616,   2.3568
39615,1, 0.553504,  81.300, 2457619.6926,  -64.556, 0, 2458014.7723,  238.75,    0.539, 2457404.5731,   0.2008
39615,2, 0.526283,  49.705, 2458303.2615,   51.489, 2, 2458014.7723,  238.75,    0.539, 2457444.8533,   0.0702
39615,3, 0.493676,  69.479,       0.0000,    0.000, 0, 2458014.7723,  238.75,    0.539, 2457505.9671,   0.1022
39615,4, 0.483465,  83.985,       0.0000,    0.000, 0, 2458014.7723,  238.75,    0.539, 2457527.8371,   0.0521
39615,5, 0.443661,  77.216, 2457948.5955,  -15.671, 0, 2458014.7723,  238.75,    0.539, 2457610.0875,   0.0260
39615,6, 0.336170,  57.089, 2458218.0014,  104.503, 0, 2458014.7723,  238.75,    0.539, 2457813.8961,   0.0379
39615,7, 0.301096,  62.457, 2458013.2001,    1.084, 0, 2458014.7723,  238.75,    0.539, 2457854.7396,   0.0243
39615,8, 0.109577,  62.622, 2458016.3445,   36.389, 0, 2458014.7723,  238.75,    0.539, 2457998.1868,   1.3550
27526,1, 0.570768,  66.308,       0.0000,    0.000, 0, 2456074.4368,  294.43,    2.914, 2455440.8741,   0.0126
27526,2, 0.498287,  68.155, 2456788.4723,  213.078, 0, 2456074.4368,  294.43,    2.914, 2455712.9766,   0.0198
27526,3, 0.446129,  74.780, 2456084.5171,   12.717, 0, 2456074.4368,  294.43,    2.914, 2455836.1807,   0.1207
27526,4, 0.428782,  84.489, 2456151.2407,   47.309, 0, 2456074.4368,  294.43,    2.914, 2455856.2392,   0.0687
27526,5, 0.409272,  81.954, 2456074.4368,    9.969, 0, 2456074.4368,  294.43,    2.914, 2455876.5828,   0.0226
27526,6, 0.389024,  68.986, 2456063.9982,    4.691, 0, 2456074.4368,  294.43,    2.914, 2455896.6431,   0.1183
27526,7, 0.370137, 137.655, 2456012.2811,  -31.628, 2, 2456074.4368,  294.43,    2.914, 2455916.6893,   0.6512
27526,8, 0.133890,  87.331, 2456056.8647,    2.364, 0, 2456074.4368,  294.43,    2.914, 2456041.0769,   0.8202
32007,1, 0.284838,  72.418, 2455533.9211,   18.926, 0, 2455486.9775,  161.71,   14.001, 2454400.1894,   0.0360
32007,2, 0.277374,  41.493, 2455547.7923,   21.288, 2, 2455486.9775,  161.71,   14.001, 2454440.7954,   0.0130
32007,3, 0.264523,  67.827, 2455854.3507,   60.197, 0, 2455486.9775,  161.71,   14.001, 2454521.4854,   0.0093
32007,4, 0.224977,  52.391, 2455470.1591,   19.809, 0, 2455486.9775,  161.71,   14.001, 2454764.5833,   0.0103
32007,5, 0.199957,  62.716, 2455349.9801,   -0.789, 0, 2455486.9775,  161.71,   14.001, 2454907.4498,   0.0124
32007,6, 0.194081,  54.571, 2455503.7959,   35.293, 0, 2455486.9775,  161.71,   14.001, 2454927.6483,   0.0173
32007,7, 0.161319,  63.622, 2455410.4143,   21.590, 0, 2455486.9775,  161.71,   14.001, 2455089.8858,   0.0159
32007,8, 0.047237,  74.933, 2455356.6061,   16.260, 0, 2455486.9775,  161.71,   14.001, 2455334.3974,   0.4758
37819,1, 0.410096,  61.524, 2456652.6347,   25.631, 0, 2456534.0671,   48.92,   -3.275, 2456137.3115,   0.0664
37819,2, 0.377010,  44.926, 2456546.8199,   -0.207, 0, 2456534.0671,   48.92,   -3.275, 2456218.1813,   0.0179
37819,3, 0.354063,  44.419, 2456541.8553,   -1.956, 0, 2456534.0671,   48.92,   -3.275, 2456258.9263,   0.0270
37819,4, 0.344494,  50.288, 2456526.2789,   -7.902, 0, 2456534.0671,   48.92,   -3.275, 2456278.9393,   0.0553
37819,5, 0.321046,  49.210, 2456515.2593,  -14.142, 0, 2456534.0671,   48.92,   -3.275, 2456319.5256,   0.0151
37819,6, 0.293530,  45.221, 2456495.6955,  -27.674, 0, 2456534.0671,   48.92,   -3.275, 2456360.3056,   0.2377
37819,7, 0.274577,  48.657, 2456515.4028,  -19.240, 0, 2456534.0671,   48.92,   -3.275, 2456380.6738,   0.0199
37819,8, 0.044560,  60.390, 2456549.3413,   47.950, 0, 2456534.0671,   48.92,   -3.275, 2456543.6600,   0.2670
11550,1, 0.677736, 115.993,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2445234.0506,   0.0335
11550,2, 0.635212, 111.629,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454085.5949,   0.0279
11550,3, 0.631845, 107.012,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454146.4204,   0.0369
11550,4, 0.620738, 156.886,       0.0000,    0.000, 2, 2460763.8660,    0.00,   -0.075, 2454329.3989,   0.0289
11550,5, 0.596766, 130.067,       0.0000,    0.000, 0, 2460763.8660,    0.00,   -0.075, 2454688.8150,   0.0176
