norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.279974,  76.166, 2458768.1669,   55.195, 0, 2458604.9919,   76.46,   14.747
42928,2, 0.276584,  65.636, 2458662.7952,   29.849, 0, 2458604.9919,   76.46,   14.747
42928,3, 0.270141,  56.656, 2458601.1411,   14.929, 0, 2458604.9919,   76.46,   14.747
42928,4, 0.244025,  60.511, 2458565.2853,    6.377, 0, 2458604.9919,   76.46,   14.747
42928,5, 0.221174,  64.260, 2458571.0849,   10.293, 2, 2458604.9919,   76.46,   14.747
42928,6, 0.207728,  60.245, 2458586.8572,   18.963, 0, 2458604.9919,   76.46,   14.747
42928,7, 0.188136,  58.023, 2458539.0842,   -3.629, 2, 2458604.9919,   76.46,   14.747
42928,8, 0.157379,  53.464, 2458545.5208,    0.017, 2, 2458604.9919,   76.46,   14.747
35497,1, 0.594553,  71.349, 2458290.5535,  253.528, 0, 2457984.2339,  294.38,  123.672
35497,2, 0.579084,  55.201, 2458319.9882,  361.406, 0, 2457984.2339,  294.38,  123.672
35497,3, 0.575008,  56.143, 2458264.2052,  350.170, 0, 2457984.2339,  294.38,  123.672
35497,4, 0.565132,  60.646, 2458133.9269,  308.559, 0, 2457984.2339,  294.38,  123.672
35497,5, 0.544994,  64.642, 2457810.7131,  105.266, 2, 2457984.2339,  294.38,  123.672
35497,6, 0.500013,  70.868, 2457672.6492,  -28.033, 2, 2457984.2339,  294.38,  123.672
35497,7, 0.382065,  80.452, 2457687.8433,  -13.437, 2, 2457984.2339,  294.38,  123.672
35497,8, 0.325319,  92.772, 2457693.9917,    6.151, 2, 2457984.2339,  294.38,  123.672
37151,1, 0.574977,  58.978,       0.0000,    0.000, 0, 2457443.3114,  160.89,    8.179
37151,2, 0.532057,  26.823,       0.0000,    0.000, 2, 2457443.3114,  160.89,    8.179
37151,3, 0.509314,  68.870, 2457343.0118,   -3.124, 0, 2457443.3114,  160.89,    8.179
37151,4, 0.499094,  47.583,       0.0000,    0.000, 0, 2457443.3114,  160.89,    8.179
37151,5, 0.486259,  33.927, 2457380.9998,    4.829, 2, 2457443.3114,  160.89,    8.179
37151,6, 0.483117,  38.716, 2457389.1220,    6.807, 0, 2457443.3114,  160.89,    8.179
37151,7, 0.461858,  38.676, 2457729.4188,   96.845, 0, 2457443.3114,  160.89,    8.179
37151,8, 0.317994,  47.923, 2457374.0048,   10.042, 2, 2457443.3114,  160.89,    8.179
39615,1, 0.547882,  96.882, 2457646.7609,  -60.983, 0, 2458029.5716,  229.86,    3.022
39615,2, 0.526663,  80.273, 2458431.9086,   74.192, 0, 2458029.5716,  229.86,    3.022
39615,3, 0.469382,  66.834,       0.0000,    0.000, 2, 2458029.5716,  229.86,    3.022
39615,4, 0.441874,  65.840, 2457992.2124,   -4.817, 2, 2458029.5716,  229.86,    3.022
39615,5, 0.330490,  63.654, 2458105.3233,   49.518, 0, 2458029.5716,  229.86,    3.022
39615,6, 0.312894,  52.893, 2458009.9565,   -0.913, 2, 2458029.5716,  229.86,    3.022
39615,7, 0.302425,  42.920, 2457997.3553,   -8.923, 0, 2458029.5716,  229.86,    3.022
39615,8, 0.281159,  35.469, 2458023.4840,    8.729, 2, 2458029.5716,  229.86,    3.022
27526,1, 0.564050,  59.170,       0.0000,    0.000, 0, 2456129.0757,  222.53,   12.577
27526,2, 0.555622,  50.938, 2455894.8673,  -29.740, 0, 2456129.0757,  222.53,   12.577
27526,3, 0.511681,  32.877,       0.0000,    0.000, 0, 2456129.0757,  222.53,   12.577
27526,4, 0.494750,  41.219, 2456554.5601,  149.349, 0, 2456129.0757,  222.53,   12.577
27526,5, 0.417341,  42.573, 2456069.5322,    6.922, 0, 2456129.0757,  222.53,   12.577
27526,6, 0.407812,  42.724, 2456046.5657,   -5.584, 0, 2456129.0757,  222.53,   12.577
27526,7, 0.359454,  38.393, 2456095.8254,   28.742, 2, 2456129.0757,  222.53,   12.577
27526,8, 0.305486,  39.379, 2456113.1035,   59.411, 0, 2456129.0757,  222.53,   12.577
32007,1, 0.288034,  61.072,       0.0000,    0.000, 0, 2455420.8670,  222.55,    6.921
32007,2, 0.253781,  54.251, 2455914.7302,   72.945, 0, 2455420.8670,  222.55,    6.921
32007,3, 0.251407,  47.196, 2455296.4066,   -7.524, 0, 2455420.8670,  222.55,    6.921
32007,4, 0.222860,  31.372, 2455269.0390,  -14.738, 2, 2455420.8670,  222.55,    6.921
32007,5, 0.182046,  33.438, 2455322.8202,   -8.337, 0, 2455420.8670,  222.55,    6.921
32007,6, 0.141341,  39.603, 2455395.9669,   20.988, 0, 2455420.8670,  222.55,    6.921
32007,7, 0.138230,  38.892, 2455375.0680,   11.242, 0, 2455420.8670,  222.55,    6.921
32007,8, 0.109065,  37.228, 2455372.0385,   17.283, 0, 2455420.8670,  222.55,    6.921
37819,1, 0.446050,  74.089, 2456302.2476,  -46.319, 0, 2456483.2631,   75.80,  -12.132
37819,2, 0.409043,  62.287, 2456551.9068,    1.085, 0, 2456483.2631,   75.80,  -12.132
37819,3, 0.342116,  72.611, 2456509.5362,  -14.436, 0, 2456483.2631,   75.80,  -12.132
37819,4, 0.317438,  64.833, 2456492.5088,  -24.778, 2, 2456483.2631,   75.80,  -12.132
37819,5, 0.310454,  64.542, 2456490.6768,  -26.853, 0, 2456483.2631,   75.80,  -12.132
37819,6, 0.295886,  70.513, 2456495.2724,  -27.333, 2, 2456483.2631,   75.80,  -12.132
37819,7, 0.267759,  63.886, 2456504.5034,  -26.900, 0, 2456483.2631,   75.80,  -12.132
37819,8, 0.235447,  68.187, 2456519.4528,  -21.762, 2, 2456483.2631,   75.80,  -12.132
