norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct,zepoch,rms_fit
35497,1, 0.579941,  79.710, 2458406.7787,  408.777, 0, 2457736.0173,  344.33,   24.905, 2457517.7646,        8.0397
35497,2, 0.571278, 104.180, 2458281.3926,  380.961, 2, 2457736.0173,  344.33,   24.905, 2457537.9194,        2.2991
35497,3, 0.562028, 127.813, 2457995.3508,  225.191, 2, 2457736.0173,  344.33,   24.905, 2457558.0140,       62.3459
35497,4, 0.550716, 151.718, 2457782.2772,   78.436, 2, 2457736.0173,  344.33,   24.905, 2457578.0413,      191.4954
35497,5, 0.543132, 187.216, 2457660.4653,  -33.996, 2, 2457736.0173,  344.33,   24.905, 2457598.2689,      630.8173
35497,6, 0.501253, 230.115, 2457684.9991,  -10.348, 2, 2457736.0173,  344.33,   24.905, 2457620.0112,      141.4445
35497,7, 0.371137, 263.188, 2457689.7575,   -8.638, 2, 2457736.0173,  344.33,   24.905, 2457660.7502,      151.6663
35497,8, 0.312396, 258.165, 2457683.6651,  -85.779, 2, 2457736.0173,  344.33,   24.905, 2457682.2004,     2334.2914
37151,1, 0.487300,  73.281, 2457523.1988,   36.523, 0, 2457523.0801,  204.66,   36.496, 2456911.2870,       19.1654
37151,2, 0.479784,  53.160, 2457382.2284,    5.308, 0, 2457523.0801,  204.66,   36.496, 2456931.3173,       25.7634
37151,3, 0.464323,  48.374, 2457839.3969,  123.771, 0, 2457523.0801,  204.66,   36.496, 2456971.7718,        1.1515
37151,4, 0.456169,  40.421, 2457673.7048,   85.500, 2, 2457523.0801,  204.66,   36.496, 2456992.0078,        8.3870
37151,5, 0.428461,  46.153, 2457522.9613,   53.383, 0, 2457523.0801,  204.66,   36.496, 2457053.2953,        1.0360
37151,6, 0.416958,  51.902, 2457795.4300,  152.425, 2, 2457523.0801,  204.66,   36.496, 2457073.5033,        0.9618
37151,7, 0.371181,  55.609, 2457300.8564,  -28.629, 2, 2457523.0801,  204.66,   36.496, 2457154.6604,       56.4671
