norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.278931,  96.203, 2458648.8410,   25.772, 0, 2458586.2822,   54.41,   10.170
42928,2, 0.273167, 146.941, 2458638.6843,   24.475, 2, 2458586.2822,   54.41,   10.170
42928,3, 0.269855, 146.585, 2458606.5926,   16.482, 2, 2458586.2822,   54.41,   10.170
42928,4, 0.261592,  99.895, 2458487.8148,  -16.472, 0, 2458586.2822,   54.41,   10.170
42928,5, 0.235641,  97.184, 2458590.4958,   15.618, 0, 2458586.2822,   54.41,   10.170
42928,6, 0.210656,  75.600, 2458620.0114,   32.999, 0, 2458586.2822,   54.41,   10.170
42928,7, 0.163489,  77.418, 2458550.2083,    3.554, 0, 2458586.2822,   54.41,   10.170
42928,8, 0.133618,  99.123, 2458547.6092,    2.343, 0, 2458586.2822,   54.41,   10.170
35497,1, 0.599262,  87.763,       0.0000,    0.000, 0, 2458058.4013,  349.11,  131.733
35497,2, 0.593953,  71.353, 2458199.4803,  214.920, 0, 2458058.4013,  349.11,  131.733
35497,3, 0.578074,  84.159, 2458413.7198,  415.392, 0, 2458058.4013,  349.11,  131.733
35497,4, 0.574154,  99.278, 2458424.5566,  448.385, 0, 2458058.4013,  349.11,  131.733
35497,5, 0.564789, 135.315, 2458286.9655,  415.533, 0, 2458058.4013,  349.11,  131.733
35497,6, 0.546763, 159.982, 2457730.0603,   33.447, 2, 2458058.4013,  349.11,  131.733
35497,7, 0.498902, 159.784, 2457671.2361,  -30.029, 2, 2458058.4013,  349.11,  131.733
35497,8, 0.386286, 159.393, 2457682.7909,  -28.116, 2, 2458058.4013,  349.11,  131.733
37151,1, 0.574579,  80.585,       0.0000,    0.000, 2, 2457512.3831,  277.25,   14.919
37151,2, 0.531466,  86.957,       0.0000,    0.000, 2, 2457512.3831,  277.25,   14.919
37151,3, 0.508857,  86.221, 2457291.2366,  -12.936, 2, 2457512.3831,  277.25,   14.919
37151,4, 0.498691,  80.602,       0.0000,    0.000, 2, 2457512.3831,  277.25,   14.919
37151,5, 0.485869,  80.678, 2457441.3046,   18.374, 2, 2457512.3831,  277.25,   14.919
37151,6, 0.482274,  81.951, 2457426.6497,   15.430, 2, 2457512.3831,  277.25,   14.919
37151,7, 0.461250,  80.248, 2457996.9374,  166.881, 2, 2457512.3831,  277.25,   14.919
37151,8, 0.317603, 114.351, 2457405.7870,   32.044, 0, 2457512.3831,  277.25,   14.919
39615,1, 0.547768,  75.684, 2457675.9806,  -56.098, 0, 2458001.8738,  185.89,   -1.609
39615,2, 0.526024,  69.319,       0.0000,    0.000, 0, 2458001.8738,  185.89,   -1.609
39615,3, 0.469589,  79.787,       0.0000,    0.000, 0, 2458001.8738,  185.89,   -1.609
39615,4, 0.443225,  78.520, 2457945.3268,  -16.527, 0, 2458001.8738,  185.89,   -1.609
39615,5, 0.330155,  77.266, 2458235.9143,  118.441, 0, 2458001.8738,  185.89,   -1.609
39615,6, 0.313587,  74.195, 2458038.5207,   15.984, 0, 2458001.8738,  185.89,   -1.609
39615,7, 0.302694,  74.304, 2458035.1980,   14.949, 0, 2458001.8738,  185.89,   -1.609
39615,8, 0.281562,  74.458, 2458080.3024,   50.117, 0, 2458001.8738,  185.89,   -1.609
27526,1, 0.563687,  48.532,       0.0000,    0.000, 0, 2456149.1606,  166.11,   15.957
27526,2, 0.510559,  58.825,       0.0000,    0.000, 0, 2456149.1606,  166.11,   15.957
27526,3, 0.495206,  81.625, 2456485.4783,  128.634, 0, 2456149.1606,  166.11,   15.957
27526,4, 0.407524,  84.555, 2456077.3530,   11.720, 0, 2456149.1606,  166.11,   15.957
27526,5, 0.361076,  75.228, 2456096.1879,   29.007, 0, 2456149.1606,  166.11,   15.957
27526,6, 0.348097,  86.437, 2456063.1522,    5.253, 0, 2456149.1606,  166.11,   15.957
27526,7, 0.305670,  94.126, 2456114.7980,   61.190, 0, 2456149.1606,  166.11,   15.957
27526,8, 0.119275, 146.624, 2456057.9943,   11.985, 2, 2456149.1606,  166.11,   15.957
32007,1, 0.286980,  57.549,       0.0000,    0.000, 0, 2455528.0205,  113.45,   17.929
32007,2, 0.252798,  55.662, 2455764.3216,   53.396, 0, 2455528.0205,  113.45,   17.929
32007,3, 0.250844,  85.790, 2455484.9707,   17.326, 0, 2455528.0205,  113.45,   17.929
32007,4, 0.222714,  73.768, 2455563.1580,   36.585, 0, 2455528.0205,  113.45,   17.929
32007,5, 0.181388,  64.425, 2455516.5610,   44.312, 0, 2455528.0205,  113.45,   17.929
32007,6, 0.141160,  71.912, 2455444.4420,   44.946, 0, 2455528.0205,  113.45,   17.929
32007,7, 0.136976,  70.469, 2455495.2101,   73.979, 0, 2455528.0205,  113.45,   17.929
32007,8, 0.108466,  65.436, 2455427.4799,   68.971, 0, 2455528.0205,  113.45,   17.929
