norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.279004,  99.261, 2458674.9672,   32.287, 0, 2458610.0716,   67.71,   16.103
42928,2, 0.273554, 125.300, 2458569.8707,    6.401, 2, 2458610.0716,   67.71,   16.103
42928,3, 0.269768, 158.811, 2458639.1305,   25.261, 2, 2458610.0716,   67.71,   16.103
42928,4, 0.235028, 109.119, 2458631.7425,   29.935, 2, 2458610.0716,   67.71,   16.103
42928,5, 0.210491,  99.888, 2458723.8236,   78.975, 0, 2458610.0716,   67.71,   16.103
42928,6, 0.163281,  74.784, 2458553.8811,    6.325, 0, 2458610.0716,   67.71,   16.103
42928,7, 0.133917,  95.261, 2458541.3183,   -4.645, 2, 2458610.0716,   67.71,   16.103
42928,8, 0.051814, 128.532, 2458545.8386,    2.924, 2, 2458610.0716,   67.71,   16.103
35497,1, 0.599265,  97.069,       0.0000,    0.000, 0, 2457965.1226,  367.42,   98.151
35497,2, 0.578102,  89.515, 2458468.0388,  446.677, 0, 2457965.1226,  367.42,   98.151
35497,3, 0.574160, 100.715, 2458432.5654,  453.291, 0, 2457965.1226,  367.42,   98.151
35497,4, 0.565262, 113.040, 2458117.4416,  297.035, 2, 2457965.1226,  367.42,   98.151
35497,5, 0.548757, 131.387, 2457688.6643,   -3.416, 2, 2457965.1226,  367.42,   98.151
35497,6, 0.498671, 159.331, 2457671.1825,  -30.105, 2, 2457965.1226,  367.42,   98.151
35497,7, 0.380823, 200.759, 2457687.8264,  -13.534, 2, 2457965.1226,  367.42,   98.151
35497,8, 0.207652, 251.308, 2457690.1394,  -58.567, 2, 2457965.1226,  367.42,   98.151
37151,1, 0.532378,  69.093,       0.0000,    0.000, 0, 2457446.6426,  233.25,   14.517
37151,2, 0.508780,  94.971, 2457306.7441,   -9.997, 0, 2457446.6426,  233.25,   14.517
37151,3, 0.498810,  74.118,       0.0000,    0.000, 0, 2457446.6426,  233.25,   14.517
37151,4, 0.486387,  62.748, 2457369.4506,    2.235, 2, 2457446.6426,  233.25,   14.517
37151,5, 0.482586,  63.267, 2457365.5883,    1.399, 0, 2457446.6426,  233.25,   14.517
37151,6, 0.461620,  74.681, 2457920.4425,  146.855, 0, 2457446.6426,  233.25,   14.517
37151,7, 0.318897,  86.548, 2457356.7290,   -1.918, 2, 2457446.6426,  233.25,   14.517
37151,8, 0.105346, 104.982, 2457360.9012,   13.433, 2, 2457446.6426,  233.25,   14.517
39615,1, 0.526111,  63.003,       0.0000,    0.000, 0, 2458019.3320,   46.67,    1.382
39615,2, 0.469527,  84.400,       0.0000,    0.000, 0, 2458019.3320,   46.67,    1.382
39615,3, 0.443178,  86.915, 2457961.7050,  -12.437, 0, 2458019.3320,   46.67,    1.382
39615,4, 0.330238,  61.616, 2458102.6623,   48.114, 2, 2458019.3320,   46.67,    1.382
39615,5, 0.313545,  65.299, 2458005.9234,   -3.299, 0, 2458019.3320,   46.67,    1.382
39615,6, 0.302632,  63.372, 2458002.7029,   -5.549, 0, 2458019.3320,   46.67,    1.382
39615,7, 0.281760,  59.726, 2458030.4941,   13.836, 0, 2458019.3320,   46.67,    1.382
39615,8, 0.050011,  65.297, 2458012.5045,  112.085, 2, 2458019.3320,   46.67,    1.382
27526,1, 0.563690,  53.061,       0.0000,    0.000, 0, 2456140.6147,  182.39,   14.486
27526,2, 0.510736,  54.023,       0.0000,    0.000, 0, 2456140.6147,  182.39,   14.486
27526,3, 0.495197,  85.895, 2456510.7640,  136.216, 0, 2456140.6147,  182.39,   14.486
27526,4, 0.407410,  78.684, 2456057.7775,    0.718, 0, 2456140.6147,  182.39,   14.486
27526,5, 0.360280,  61.855, 2456062.6493,    4.494, 2, 2456140.6147,  182.39,   14.486
27526,6, 0.347910,  78.692, 2456050.1945,   -4.979, 0, 2456140.6147,  182.39,   14.486
27526,7, 0.305620,  89.475, 2456104.9350,   50.837, 2, 2456140.6147,  182.39,   14.486
27526,8, 0.053157,  75.043, 2456057.3680,   38.795, 2, 2456140.6147,  182.39,   14.486
32007,1, 0.286911,  57.549,       0.0000,    0.000, 0, 2455424.4068,   60.44,    7.284
32007,2, 0.250869,  82.574, 2455456.2536,   13.542, 0, 2455424.4068,   60.44,    7.284
32007,3, 0.222750,  67.194, 2455501.7753,   25.874, 0, 2455424.4068,   60.44,    7.284
32007,4, 0.181150,  64.328, 2455498.7354,   39.467, 0, 2455424.4068,   60.44,    7.284
32007,5, 0.141388,  55.709, 2455375.9730,   11.107, 2, 2455424.4068,   60.44,    7.284
32007,6, 0.136973,  50.476, 2455388.7474,   18.401, 0, 2455424.4068,   60.44,    7.284
32007,7, 0.108295,  47.780, 2455395.0508,   38.738, 0, 2455424.4068,   60.44,    7.284
32007,8, 0.022302,  50.772, 2455354.3122,   29.112, 2, 2455424.4068,   60.44,    7.284
37819,1, 0.445778,  74.361, 2456335.8658,  -39.970, 0, 2456498.3021,   67.14,   -9.292
37819,2, 0.341777,  61.713, 2456514.6166,  -12.504, 0, 2456498.3021,   67.14,   -9.292
37819,3, 0.317040,  57.555, 2456503.6742,  -19.747, 0, 2456498.3021,   67.14,   -9.292
37819,4, 0.295489,  62.640, 2456508.7302,  -20.290, 0, 2456498.3021,   67.14,   -9.292
37819,5, 0.276449,  58.433, 2456517.9675,  -17.487, 2, 2456498.3021,   67.14,   -9.292
37819,6, 0.265835,  52.351, 2456528.4180,  -12.011, 2, 2456498.3021,   67.14,   -9.292
37819,7, 0.234581,  53.372, 2456527.7869,  -15.328, 0, 2456498.3021,   67.14,   -9.292
37819,8, 0.042572,  48.724, 2456549.3573,   44.390, 2, 2456498.3021,   67.14,   -9.292
