norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.297675,  99.567, 2458671.6534,   27.719, 0, 2458599.7376,   99.82,   11.917
42928,2, 0.287532, 102.004, 2458478.1330,  -15.849, 0, 2458599.7376,   99.82,   11.917
42928,3, 0.275822,  88.341, 2458799.7997,   64.385, 2, 2458599.7376,   99.82,   11.917
42928,4, 0.268189, 108.785, 2458534.8425,   -2.924, 2, 2458599.7376,   99.82,   11.917
42928,5, 0.229796,  80.583, 2458573.7729,   10.323, 2, 2458599.7376,   99.82,   11.917
42928,6, 0.205370, 121.363, 2458629.1695,   39.261, 2, 2458599.7376,   99.82,   11.917
42928,7, 0.109980,  95.733, 2458560.3499,   24.549, 0, 2458599.7376,   99.82,   11.917
42928,8, 0.080872,  79.928, 2458550.1801,   15.473, 0, 2458599.7376,   99.82,   11.917
35497,1, 0.628966,  66.974, 2457325.2157,  -33.072, 0, 2457668.7847,  434.59,   -2.135
35497,2, 0.624263,  58.201, 2457394.8143,  -27.563, 0, 2457668.7847,  434.59,   -2.135
35497,3, 0.614717,  74.576,       0.0000,    0.000, 2, 2457668.7847,  434.59,   -2.135
35497,4, 0.606234,  74.704,       0.0000,    0.000, 2, 2457668.7847,  434.59,   -2.135
35497,5, 0.603426,  74.421,       0.0000,    0.000, 2, 2457668.7847,  434.59,   -2.135
35497,6, 0.602781,  73.970,       0.0000,    0.000, 2, 2457668.7847,  434.59,   -2.135
35497,7, 0.580776,  74.573, 2458279.8950,  327.787, 2, 2457668.7847,  434.59,   -2.135
35497,8, 0.436150,  99.303, 2457675.2140,  -68.505, 2, 2457668.7847,  434.59,   -2.135
37151,1, 0.570064,  90.213,       0.0000,    0.000, 0, 2457649.8042,  468.86,   30.078
37151,2, 0.557186,  83.949,       0.0000,    0.000, 0, 2457649.8042,  468.86,   30.078
37151,3, 0.553110,  87.608,       0.0000,    0.000, 0, 2457649.8042,  468.86,   30.078
37151,4, 0.532654,  61.312,       0.0000,    0.000, 0, 2457649.8042,  468.86,   30.078
37151,5, 0.463635,  82.277,       0.0000,    0.000, 0, 2457649.8042,  468.86,   30.078
37151,6, 0.422634,  73.680, 2458191.0998,  279.875, 0, 2457649.8042,  468.86,   30.078
