norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320762,  86.377, 2458659.3446,   21.651, 0, 2458598.2209,   72.78,   10.026
42928,2, 0.294624, 119.275, 2458538.8774,   -1.489, 0, 2458598.2209,   72.78,   10.026
42928,3, 0.286876,  80.074, 2458542.8838,   -0.616, 0, 2458598.2209,   72.78,   10.026
42928,4, 0.279754,  93.409, 2458732.8156,   46.318, 0, 2458598.2209,   72.78,   10.026
42928,5, 0.274002, 116.336, 2458662.6212,   30.486, 0, 2458598.2209,   72.78,   10.026
42928,6, 0.225752, 114.131, 2458626.2008,   30.985, 0, 2458598.2209,   72.78,   10.026
42928,7, 0.139046,  84.406, 2458570.2411,   25.331, 0, 2458598.2209,   72.78,   10.026
42928,8, 0.074765, 159.701, 2458544.1045,   -8.555, 2, 2458598.2209,   72.78,   10.026
35497,1, 0.604933,  50.352,       0.0000,    0.000, 2, 2457754.8274,  372.90,   14.647
35497,2, 0.602383, 141.505,       0.0000,    0.000, 0, 2457754.8274,  372.90,   14.647
35497,3, 0.601999, 121.984,       0.0000,    0.000, 0, 2457754.8274,  372.90,   14.647
35497,4, 0.597874,  81.894,       0.0000,    0.000, 0, 2457754.8274,  372.90,   14.647
35497,5, 0.580989,  93.084, 2458388.8691,  383.321, 0, 2457754.8274,  372.90,   14.647
35497,6, 0.554514, 159.970, 2457824.9083,  109.408, 2, 2457754.8274,  372.90,   14.647
35497,7, 0.467968, 159.915, 2457684.7464,  -13.235, 2, 2457754.8274,  372.90,   14.647
35497,8, 0.358121, 158.512, 2457681.8271,  -75.745, 2, 2457754.8274,  372.90,   14.647
37151,1, 0.557667,  79.231,       0.0000,    0.000, 0, 2457381.2334,   51.90,    2.874
37151,2, 0.529945,  58.223,       0.0000,    0.000, 0, 2457381.2334,   51.90,    2.874
37151,3, 0.516021,  78.259, 2457381.2334,    3.935, 0, 2457381.2334,   51.90,    2.874
37151,4, 0.509659,  90.540, 2457279.6853,  -15.015, 0, 2457381.2334,   51.90,    2.874
37151,5, 0.481129,  76.630, 2457383.8801,    5.670, 0, 2457381.2334,   51.90,    2.874
37151,6, 0.416388,  81.358,       0.0000,    0.000, 0, 2457381.2334,   51.90,    2.874
37151,7, 0.367965,  93.825, 2457381.5594,   10.769, 0, 2457381.2334,   51.90,    2.874
37151,8, 0.069136, 157.696, 2457359.9042,   26.274, 2, 2457381.2334,   51.90,    2.874
