norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320337,  91.863, 2458699.2451,   29.239, 0, 2458577.6135,   77.67,    6.107
42928,2, 0.294585, 116.488, 2458527.0331,   -4.151, 2, 2458577.6135,   77.67,    6.107
42928,3, 0.286842,  74.912, 2458517.1645,   -6.675, 0, 2458577.6135,   77.67,    6.107
42928,4, 0.279735,  90.497, 2458712.9344,   41.402, 0, 2458577.6135,   77.67,    6.107
42928,5, 0.274238, 101.590, 2458597.8480,   13.626, 2, 2458577.6135,   77.67,    6.107
42928,6, 0.226004, 105.924, 2458601.8204,   21.624, 2, 2458577.6135,   77.67,    6.107
42928,7, 0.138584,  76.556, 2458557.3791,   12.163, 0, 2458577.6135,   77.67,    6.107
42928,8, 0.082095,  89.197, 2458538.7999,  -41.073, 2, 2458577.6135,   77.67,    6.107
35497,1, 0.604834,  71.572,       0.0000,    0.000, 3, 2457706.3347,  394.94,    3.251
35497,2, 0.602377, 143.257,       0.0000,    0.000, 0, 2457706.3347,  394.94,    3.251
35497,3, 0.601999, 121.984,       0.0000,    0.000, 0, 2457706.3347,  394.94,    3.251
35497,4, 0.597874,  81.894,       0.0000,    0.000, 0, 2457706.3347,  394.94,    3.251
35497,5, 0.581037,  93.080, 2458388.9589,  383.370, 0, 2457706.3347,  394.94,    3.251
35497,6, 0.557999, 120.301, 2457730.9580,   31.778, 2, 2457706.3347,  394.94,    3.251
35497,7, 0.472449, 134.366, 2457679.0155,  -23.017, 2, 2457706.3347,  394.94,    3.251
35497,8, 0.357981, 153.733, 2457681.7113,  -76.566, 2, 2457706.3347,  394.94,    3.251
37151,1, 0.557811,  74.846,       0.0000,    0.000, 0, 2457358.6794,  293.51,   -0.109
37151,2, 0.529969,  57.916,       0.0000,    0.000, 0, 2457358.6794,  293.51,   -0.109
37151,3, 0.515672,  82.368, 2457394.4413,    6.326, 0, 2457358.6794,  293.51,   -0.109
37151,4, 0.509620,  83.926, 2457268.2093,  -17.174, 0, 2457358.6794,  293.51,   -0.109
37151,5, 0.480690,  68.293, 2457358.0995,   -0.326, 2, 2457358.6794,  293.51,   -0.109
37151,6, 0.416104,  70.578, 2458007.6488,  226.628, 0, 2457358.6794,  293.51,   -0.109
37151,7, 0.368550,  81.824, 2457347.9975,   -5.615, 2, 2457358.6794,  293.51,   -0.109
37151,8, 0.076509,  86.582, 2457359.2593,  -15.646, 2, 2457358.6794,  293.51,   -0.109
39615,1, 0.553545,  83.942, 2457618.9659,  -64.676, 0, 2458011.7101,  210.17,    0.035
39615,2, 0.525879,  51.636, 2458234.9852,   39.440, 2, 2458011.7101,  210.17,    0.035
39615,3, 0.494097,  65.425,       0.0000,    0.000, 0, 2458011.7101,  210.17,    0.035
39615,4, 0.483522,  81.775,       0.0000,    0.000, 0, 2458011.7101,  210.17,    0.035
39615,5, 0.443623,  75.044, 2457938.6257,  -18.154, 0, 2458011.7101,  210.17,    0.035
39615,6, 0.336251,  51.140, 2458118.5044,   54.151, 2, 2458011.7101,  210.17,    0.035
39615,7, 0.301060,  66.167, 2458010.4726,   -0.655, 0, 2458011.7101,  210.17,    0.035
39615,8, 0.115839,  48.366, 2458012.9477,   10.874, 2, 2458011.7101,  210.17,    0.035
27526,1, 0.570762,  70.231,       0.0000,    0.000, 0, 2456062.4184,  268.69,    0.961
27526,2, 0.498240,  79.298, 2456713.7125,  191.315, 0, 2456062.4184,  268.69,    0.961
27526,3, 0.446133,  79.072, 2456070.3446,    6.284, 0, 2456062.4184,  268.69,    0.961
27526,4, 0.428811,  90.257, 2456126.3578,   34.883, 0, 2456062.4184,  268.69,    0.961
27526,5, 0.409424,  83.568, 2456053.6102,   -1.606, 2, 2456062.4184,  268.69,    0.961
27526,6, 0.387952,  78.074, 2456062.4184,    3.702, 2, 2456062.4184,  268.69,    0.961
27526,7, 0.375897, 108.718, 2455993.6428,  -44.959, 2, 2456062.4184,  268.69,    0.961
