norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.278824,  97.450, 2458655.3646,   27.399, 0, 2458588.3890,   46.17,   10.696
42928,2, 0.273683, 118.990, 2458550.8665,    1.410, 2, 2458588.3890,   46.17,   10.696
42928,3, 0.269789, 149.289, 2458614.6817,   18.665, 2, 2458588.3890,   46.17,   10.696
42928,4, 0.235448, 107.026, 2458624.4185,   27.392, 0, 2458588.3890,   46.17,   10.696
42928,5, 0.210335,  77.255, 2458626.1886,   35.735, 2, 2458588.3890,   46.17,   10.696
42928,6, 0.163107,  75.900, 2458547.0554,    1.174, 0, 2458588.3890,   46.17,   10.696
42928,7, 0.133555,  93.696, 2458542.5570,   -3.269, 2, 2458588.3890,   46.17,   10.696
42928,8, 0.051538, 128.040, 2458545.9797,    4.143, 2, 2458588.3890,   46.17,   10.696
35497,1, 0.599262,  87.763,       0.0000,    0.000, 0, 2457938.7863,  336.90,   88.669
35497,2, 0.578074,  84.159, 2458413.7198,  415.392, 0, 2457938.7863,  336.90,   88.669
35497,3, 0.574182,  93.114, 2458358.5010,  407.926, 0, 2457938.7863,  336.90,   88.669
35497,4, 0.565348, 105.604, 2458068.3650,  262.731, 2, 2457938.7863,  336.90,   88.669
35497,5, 0.548221, 125.643, 2457682.3348,   -9.052, 2, 2457938.7863,  336.90,   88.669
35497,6, 0.499310, 156.277, 2457670.4536,  -31.134, 2, 2457938.7863,  336.90,   88.669
35497,7, 0.380061, 202.116, 2457687.8592,  -13.439, 2, 2457938.7863,  336.90,   88.669
35497,8, 0.217607, 252.478, 2457690.2708,  -55.306, 2, 2457938.7863,  336.90,   88.669
37151,1, 0.532034,  72.750,       0.0000,    0.000, 0, 2457432.1141,  203.94,   12.097
37151,2, 0.508779,  91.420, 2457301.9594,  -10.904, 0, 2457432.1141,  203.94,   12.097
37151,3, 0.498675,  74.436,       0.0000,    0.000, 0, 2457432.1141,  203.94,   12.097
37151,4, 0.486391,  59.699, 2457359.8072,    0.069, 2, 2457432.1141,  203.94,   12.097
37151,5, 0.482432,  63.681, 2457371.0092,    2.645, 0, 2457432.1141,  203.94,   12.097
37151,6, 0.461564,  70.420, 2457845.4185,  127.213, 0, 2457432.1141,  203.94,   12.097
37151,7, 0.319010,  81.925, 2457353.8651,   -3.901, 2, 2457432.1141,  203.94,   12.097
37151,8, 0.106190, 100.563, 2457360.6252,   10.787, 2, 2457432.1141,  203.94,   12.097
39615,1, 0.526060,  64.932,       0.0000,    0.000, 0, 2458011.2412,   48.01,   -0.046
39615,2, 0.469369,  81.927,       0.0000,    0.000, 0, 2458011.2412,   48.01,   -0.046
39615,3, 0.443138,  81.240, 2457951.3060,  -15.034, 0, 2458011.2412,   48.01,   -0.046
39615,4, 0.330366,  59.011, 2458096.0288,   44.612, 0, 2458011.2412,   48.01,   -0.046
39615,5, 0.313595,  57.355, 2457992.2751,  -11.372, 0, 2458011.2412,   48.01,   -0.046
39615,6, 0.302625,  57.261, 2457994.3294,  -10.831, 0, 2458011.2412,   48.01,   -0.046
39615,7, 0.281774,  54.356, 2458021.1212,    7.008, 0, 2458011.2412,   48.01,   -0.046
39615,8, 0.053041,  56.232, 2458012.3865,   98.917, 2, 2458011.2412,   48.01,   -0.046
27526,1, 0.563687,  48.532,       0.0000,    0.000, 0, 2456135.1293,  167.80,   13.541
27526,2, 0.510559,  58.825,       0.0000,    0.000, 0, 2456135.1293,  167.80,   13.541
27526,3, 0.495257,  79.876, 2456473.2986,  124.982, 0, 2456135.1293,  167.80,   13.541
27526,4, 0.407534,  74.379, 2456051.5366,   -2.790, 0, 2456135.1293,  167.80,   13.541
27526,5, 0.360708,  57.376, 2456058.0124,    1.105, 2, 2456135.1293,  167.80,   13.541
27526,6, 0.348005,  76.668, 2456050.0170,   -5.119, 2, 2456135.1293,  167.80,   13.541
27526,7, 0.305613,  97.615, 2456120.4703,   67.143, 0, 2456135.1293,  167.80,   13.541
27526,8, 0.051812,  78.597, 2456057.4407,   42.043, 2, 2456135.1293,  167.80,   13.541
32007,1, 0.286743,  68.947,       0.0000,    0.000, 0, 2455400.4081,   55.04,    4.819
32007,2, 0.250844,  85.790, 2455484.9707,   17.326, 0, 2455400.4081,   55.04,    4.819
32007,3, 0.222739,  55.166, 2455376.5645,    4.025, 2, 2455400.4081,   55.04,    4.819
32007,4, 0.181178,  59.409, 2455474.4844,   32.877, 0, 2455400.4081,   55.04,    4.819
32007,5, 0.141307,  50.687, 2455358.8651,    2.652, 0, 2455400.4081,   55.04,    4.819
32007,6, 0.136968,  44.690, 2455374.6557,   11.044, 0, 2455400.4081,   55.04,    4.819
32007,7, 0.108265,  47.683, 2455378.9464,   23.724, 0, 2455400.4081,   55.04,    4.819
32007,8, 0.022308,  50.462, 2455354.3701,   31.190, 2, 2455400.4081,   55.04,    4.819
37819,1, 0.445800,  71.550, 2456334.0460,  -40.313, 0, 2456494.0508,   66.82,  -10.094
37819,2, 0.341831,  64.595, 2456525.6358,   -8.314, 0, 2456494.0508,   66.82,  -10.094
37819,3, 0.316999,  53.867, 2456499.3484,  -21.696, 0, 2456494.0508,   66.82,  -10.094
37819,4, 0.295465,  58.697, 2456500.3731,  -24.663, 0, 2456494.0508,   66.82,  -10.094
37819,5, 0.276599,  54.474, 2456504.3923,  -25.525, 2, 2456494.0508,   66.82,  -10.094
37819,6, 0.266077,  48.492, 2456511.4088,  -22.717, 2, 2456494.0508,   66.82,  -10.094
37819,7, 0.234579,  57.589, 2456528.3537,  -14.888, 2, 2456494.0508,   66.82,  -10.094
37819,8, 0.043964,  43.841, 2456548.8480,   32.219, 2, 2456494.0508,   66.82,  -10.094
