norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320762,  86.377, 2458659.3446,   21.651, 0, 2458599.4450,   87.10,   10.259
42928,2, 0.294662, 113.089, 2458513.0562,   -7.292, 2, 2458599.4450,   87.10,   10.259
42928,3, 0.286784,  68.213, 2458485.0162,  -14.249, 2, 2458599.4450,   87.10,   10.259
42928,4, 0.279604,  94.182, 2458737.3460,   47.439, 0, 2458599.4450,   87.10,   10.259
42928,5, 0.273858, 119.192, 2458675.8078,   33.918, 2, 2458599.4450,   87.10,   10.259
42928,6, 0.225983, 108.675, 2458610.0387,   24.780, 0, 2458599.4450,   87.10,   10.259
42928,7, 0.137825,  87.317, 2458572.9695,   28.125, 2, 2458599.4450,   87.10,   10.259
42928,8, 0.080804, 121.709, 2458541.9807,  -21.574, 2, 2458599.4450,   87.10,   10.259
35497,1, 0.604933,  50.352,       0.0000,    0.000, 2, 2457872.3780,  345.07,   42.272
35497,2, 0.602383, 141.505,       0.0000,    0.000, 0, 2457872.3780,  345.07,   42.272
35497,3, 0.601999, 121.984,       0.0000,    0.000, 0, 2457872.3780,  345.07,   42.272
35497,4, 0.597874,  81.894,       0.0000,    0.000, 0, 2457872.3780,  345.07,   42.272
35497,5, 0.580989,  93.084, 2458388.8691,  383.321, 0, 2457872.3780,  345.07,   42.272
35497,6, 0.558555, 120.680, 2457732.2407,   32.838, 2, 2457872.3780,  345.07,   42.272
35497,7, 0.467573, 162.167, 2457685.2542,  -12.368, 2, 2457872.3780,  345.07,   42.272
35497,8, 0.358146, 222.820, 2457683.1480,  -66.371, 2, 2457872.3780,  345.07,   42.272
37151,1, 0.557667,  79.231,       0.0000,    0.000, 0, 2457432.2438,  225.65,    9.619
37151,2, 0.529945,  58.223,       0.0000,    0.000, 0, 2457432.2438,  225.65,    9.619
37151,3, 0.516021,  78.259, 2457381.2334,    3.935, 0, 2457432.2438,  225.65,    9.619
37151,4, 0.509575,  84.101, 2457268.5702,  -17.107, 0, 2457432.2438,  225.65,    9.619
37151,5, 0.480818,  68.556, 2457358.9104,   -0.137, 2, 2457432.2438,  225.65,    9.619
37151,6, 0.416384,  66.732, 2457886.0005,  184.093, 0, 2457432.2438,  225.65,    9.619
37151,7, 0.368951,  78.661, 2457339.3983,   -9.813, 2, 2457432.2438,  225.65,    9.619
37151,8, 0.076509,  94.664, 2457359.3500,   -9.750, 2, 2457432.2438,  225.65,    9.619
39615,1, 0.553545,  83.942, 2457618.9659,  -64.676, 0, 2457986.0791,  211.31,   -4.188
39615,2, 0.525879,  51.636, 2458234.9852,   39.440, 2, 2457986.0791,  211.31,   -4.188
39615,3, 0.493859,  62.287,       0.0000,    0.000, 0, 2457986.0791,  211.31,   -4.188
39615,4, 0.483636,  80.395,       0.0000,    0.000, 0, 2457986.0791,  211.31,   -4.188
39615,5, 0.443697,  66.815, 2457918.7893,  -23.096, 0, 2457986.0791,  211.31,   -4.188
39615,6, 0.336373,  52.350, 2458131.2169,   60.584, 0, 2457986.0791,  211.31,   -4.188
39615,7, 0.301189,  61.048, 2457998.4537,   -8.322, 2, 2457986.0791,  211.31,   -4.188
39615,8, 0.114246,  53.071, 2458014.0638,   19.258, 0, 2457986.0791,  211.31,   -4.188
27526,1, 0.570762,  70.231,       0.0000,    0.000, 0, 2456154.5631,  250.47,   15.929
27526,2, 0.498240,  79.298, 2456713.7125,  191.315, 0, 2456154.5631,  250.47,   15.929
27526,3, 0.446164,  79.960, 2456073.0411,    7.508, 0, 2456154.5631,  250.47,   15.929
27526,4, 0.428619,  92.707, 2456136.3879,   39.892, 2, 2456154.5631,  250.47,   15.929
27526,5, 0.409205,  86.709, 2456061.2012,    2.613, 0, 2456154.5631,  250.47,   15.929
27526,6, 0.389191,  74.621, 2456055.7460,   -0.472, 2, 2456154.5631,  250.47,   15.929
27526,7, 0.380253,  92.942, 2455985.0315,  -51.118, 2, 2456154.5631,  250.47,   15.929
27526,8, 0.134169,  92.878, 2456056.8218,    2.086, 0, 2456154.5631,  250.47,   15.929
32007,1, 0.284862,  69.319, 2455471.7663,   12.406, 0, 2455444.5958,  114.43,    9.556
32007,2, 0.277517,  43.032, 2455581.9456,   25.030, 2, 2455444.5958,  114.43,    9.556
32007,3, 0.264581,  56.950, 2455609.8257,   30.808, 0, 2455444.5958,  114.43,    9.556
32007,4, 0.224961,  52.259, 2455466.5712,   19.200, 0, 2455444.5958,  114.43,    9.556
32007,5, 0.199862,  53.000, 2455277.6023,  -17.016, 0, 2455444.5958,  114.43,    9.556
32007,6, 0.193845,  48.105, 2455440.8213,   20.505, 2, 2455444.5958,  114.43,    9.556
32007,7, 0.161351,  52.023, 2455353.4472,   -0.020, 0, 2455444.5958,  114.43,    9.556
32007,8, 0.051512,  55.968, 2455354.7867,    6.736, 2, 2455444.5958,  114.43,    9.556
37819,1, 0.410451,  73.340, 2456640.4469,   22.660, 0, 2456529.3333,   50.67,   -4.429
37819,2, 0.377105,  54.746, 2456548.6286,    0.343, 0, 2456529.3333,   50.67,   -4.429
37819,3, 0.354200,  44.946, 2456506.9968,  -14.036, 0, 2456529.3333,   50.67,   -4.429
37819,4, 0.344846,  49.524, 2456491.9922,  -20.669, 0, 2456529.3333,   50.67,   -4.429
37819,5, 0.321426,  50.582, 2456491.7442,  -24.457, 0, 2456529.3333,   50.67,   -4.429
37819,6, 0.293666,  52.294, 2456493.3837,  -28.909, 2, 2456529.3333,   50.67,   -4.429
37819,7, 0.274592,  53.949, 2456512.6673,  -20.880, 0, 2456529.3333,   50.67,   -4.429
37819,8, 0.045952,  55.380, 2456548.8067,   34.028, 2, 2456529.3333,   50.67,   -4.429
