norad,zone,e_opt,bn_opt,reentry_jd,rpe_pct,zstat,t_mean,t_std,ens_rpe_pct
42928,1, 0.320762,  86.377, 2458659.3446,   21.651, 0, 2458589.4341,   74.19,    8.355
42928,2, 0.294662, 113.089, 2458513.0562,   -7.292, 2, 2458589.4341,   74.19,    8.355
42928,3, 0.286953,  73.118, 2458508.6486,   -8.682, 0, 2458589.4341,   74.19,    8.355
42928,4, 0.279730,  91.247, 2458718.1162,   42.684, 2, 2458589.4341,   74.19,    8.355
42928,5, 0.274259, 104.912, 2458611.8892,   17.281, 2, 2458589.4341,   74.19,    8.355
42928,6, 0.225732, 114.451, 2458627.1749,   31.359, 2, 2458589.4341,   74.19,    8.355
42928,7, 0.138597,  82.746, 2458566.9790,   21.991, 0, 2458589.4341,   74.19,    8.355
42928,8, 0.081305, 116.967, 2458541.6036,  -23.886, 2, 2458589.4341,   74.19,    8.355
35497,1, 0.604933,  50.352,       0.0000,    0.000, 2, 2457706.9761,  394.56,    3.402
35497,2, 0.602383, 141.505,       0.0000,    0.000, 0, 2457706.9761,  394.56,    3.402
35497,3, 0.601999, 121.984,       0.0000,    0.000, 0, 2457706.9761,  394.56,    3.402
35497,4, 0.597874,  81.894,       0.0000,    0.000, 0, 2457706.9761,  394.56,    3.402
35497,5, 0.580989,  93.084, 2458388.8691,  383.321, 0, 2457706.9761,  394.56,    3.402
35497,6, 0.558555, 120.680, 2457732.2407,   32.838, 2, 2457706.9761,  394.56,    3.402
35497,7, 0.472449, 134.370, 2457679.0161,  -23.016, 2, 2457706.9761,  394.56,    3.402
35497,8, 0.357981, 153.737, 2457681.7115,  -76.565, 2, 2457706.9761,  394.56,    3.402
37151,1, 0.557667,  79.231,       0.0000,    0.000, 0, 2457359.0875,  317.63,   -0.055
37151,2, 0.529945,  58.223,       0.0000,    0.000, 0, 2457359.0875,  317.63,   -0.055
37151,3, 0.516021,  78.259, 2457381.2334,    3.935, 0, 2457359.0875,  317.63,   -0.055
37151,4, 0.509575,  84.101, 2457268.5702,  -17.107, 0, 2457359.0875,  317.63,   -0.055
37151,5, 0.480818,  68.556, 2457358.9104,   -0.137, 2, 2457359.0875,  317.63,   -0.055
